Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,kiibank.co.nz,,?,,co.nz,
Character Omission,kiwbank.co.nz,,?,,co.nz,
Character Omission,kiwiank.co.nz,,?,,co.nz,
Character Omission,kiwibak.co.nz,,?,,co.nz,
Character Omission,kiwiban.co.nz,,?,,co.nz,
Character Omission,kiwibnk.co.nz,185.53.177.29,,,co.nz,
Character Omission,kwibank.co.nz,,?,,co.nz,
Character Repeat,kiiwibank.co.nz,185.53.179.7,,mail.h-email.net,co.nz,
Character Repeat,kiwibaank.co.nz,,?,,co.nz,
Character Repeat,kiwibankk.co.nz,,?,,co.nz,
Character Repeat,kiwibannk.co.nz,,?,,co.nz,
Character Repeat,kiwibbank.co.nz,,?,,co.nz,
Character Repeat,kiwiibank.co.nz,,?,,co.nz,
Character Repeat,kiwwibank.co.nz,,?,,co.nz,
Character Repeat,kkiwibank.co.nz,,?,,co.nz,
Character Swap,ikwibank.co.nz,,?,,co.nz,
Character Swap,kiiwbank.co.nz,,?,,co.nz,
Character Swap,kiwbiank.co.nz,,?,,co.nz,
Character Swap,kiwiabnk.co.nz,,?,,co.nz,
Character Swap,kiwibakn.co.nz,,?,,co.nz,
Character Swap,kiwibnak.co.nz,,?,,co.nz,
Character Swap,kwiibank.co.nz,,?,,co.nz,
Character Replacement,jiwibank.co.nz,,?,,co.nz,
Character Replacement,kieibank.co.nz,,?,,co.nz,
Character Replacement,kiqibank.co.nz,,?,,co.nz,
Character Replacement,kiwibabk.co.nz,,?,,co.nz,
Character Replacement,kiwibamk.co.nz,,?,,co.nz,
Character Replacement,kiwibanj.co.nz,,?,,co.nz,
Character Replacement,kiwibank.co.bz,,?,,bz,
Character Replacement,kiwibank.co.mz,,?,,co.mz,
Character Replacement,kiwibanl.co.nz,,?,,co.nz,
Character Replacement,kiwibsnk.co.nz,,?,,co.nz,
Character Replacement,kiwinank.co.nz,,?,,co.nz,
Character Replacement,kiwivank.co.nz,,?,,co.nz,
Character Replacement,kiwobank.co.nz,,?,,co.nz,
Character Replacement,kiwubank.co.nz,,?,,co.nz,
Character Replacement,kowibank.co.nz,,?,,co.nz,
Character Replacement,kuwibank.co.nz,,?,,co.nz,
Character Replacement,liwibank.co.nz,,?,,co.nz,
Character Insertion,kiowibank.co.nz,,?,,co.nz,
Character Insertion,kiuwibank.co.nz,,?,,co.nz,
Character Insertion,kiweibank.co.nz,,?,,co.nz,
Character Insertion,kiwibanbk.co.nz,,?,,co.nz,
Character Insertion,kiwibankj.co.nz,,?,,co.nz,
Character Insertion,kiwibankl.co.nz,,?,,co.nz,
Character Insertion,kiwibanmk.co.nz,,?,,co.nz,
Character Insertion,kiwibasnk.co.nz,,?,,co.nz,
Character Insertion,kiwibnank.co.nz,,?,,co.nz,
Character Insertion,kiwibvank.co.nz,,?,,co.nz,
Character Insertion,kiwiobank.co.nz,,?,,co.nz,
Character Insertion,kiwiubank.co.nz,,?,,co.nz,
Character Insertion,kiwqibank.co.nz,,?,,co.nz,
Character Insertion,kjiwibank.co.nz,,?,,co.nz,
Character Insertion,kliwibank.co.nz,,?,,co.nz,
Missing Dot,wwwkiwibank.co.nz,,?,,co.nz,
Singular or Pluralise,kiwibanks.co.nz,72.52.4.122,US,UNITED STATES,localhost,co.nz,
