Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,khls.com,66.96.149.1,US,UNITED STATES,mx.khls.com,com,
Character Omission,kohl.com,103.224.182.244,,mx92.mb5p.com,com,
Character Omission,kohls.cm,76.74.212.106,US,UNITED STATES,,cm,
Character Omission,kohs.com,70.39.233.45,US,UNITED STATES,mx1.inmotionhosting.com,com,
Character Omission,kols.com,64.6.144.17,US,UNITED STATES,mail.colo.kansas.net,com,
Character Repeat,kkohls.com,,?,,com,
Character Repeat,kohhls.com,,?,,com,
Character Repeat,kohlls.com,37.60.227.83,RO,ROMANIA,alt1.aspmx.l.google.com,com,
Character Repeat,kohlss.com,54.72.130.67,US,UNITED STATES,mail.h-email.net,com,
Character Repeat,koohls.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Swap,khols.com,,?,,com,
Character Swap,kohsl.com,,?,,com,
Character Swap,kolhs.com,,?,,com,
Character Swap,okhls.com,,?,,com,
Character Replacement,johls.com,103.224.182.252,,mx92.m1bp.com,com,
Character Replacement,kihls.com,,?,,com,
Character Replacement,kogls.com,185.53.179.8,,mail.h-email.net,com,
Character Replacement,kohks.com,,?,,com,
Character Replacement,kohla.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Replacement,kohld.com,,?,,com,
Character Replacement,kojls.com,103.224.182.252,,mx92.mb5p.com,com,
Character Replacement,kphls.com,,?,,com,
Character Replacement,lohls.com,,?,,com,
Character Insertion,kjohls.com,,?,,com,
Character Insertion,klohls.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Insertion,kohgls.com,,?,,com,
Character Insertion,kohjls.com,,?,,com,
Character Insertion,kohlks.com,,?,,com,
Character Insertion,kohlsa.com,,?,,com,
Character Insertion,kohlsd.com,103.224.182.240,,mx92.mb5p.com,com,
Character Insertion,koihls.com,,?,,com,
Character Insertion,kophls.com,,?,,com,
Missing Dot,kohlscom.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Missing Dot,wwwkohls.com,,?,,com,
Homophones,kowels.com,216.239.38.21,US,UNITED STATES,,com,
Bit Flipping,cohls.com,208.73.211.165,US,UNITED STATES,,com,
Bit Flipping,iohls.com,158.69.143.112,CA,CANADA,,com,
Bit Flipping,kghls.com,,?,,com,
Bit Flipping,kkhls.com,,?,,com,
Bit Flipping,kmhls.com,,?,,com,
Bit Flipping,knhls.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,kohds.com,,?,,com,
Bit Flipping,kohhs.com,,?,,com,
Bit Flipping,kohl3.com,,?,,com,
Bit Flipping,kohlc.com,216.157.88.27,IR,IRAN (ISLAMIC REPUBLIC OF),,com,
Bit Flipping,kohlq.com,,?,,com,
Bit Flipping,kohlr.com,,?,,com,
Bit Flipping,kohlw.com,,?,,com,
Bit Flipping,kohms.com,216.55.128.100,US,UNITED STATES,kohms.com,com,
Bit Flipping,kohns.com,146.148.34.125,US,UNITED STATES,mail.hope-mail.com,com,
Bit Flipping,koils.com,68.178.213.61,KR,KOREA REPUBLIC OF,,com,
Bit Flipping,kolls.com,,?,,com,
Bit Flipping,koxls.com,,?,,com,
Bit Flipping,oohls.com,,?,,com,
Homoglyphs,k0hls.com,,?,,com,
Homoglyphs,koh1s.com,45.35.123.235,,,com,
Wrong TLD,kohls.ca,,?,,ca,
Wrong TLD,kohls.ch,,?,,ch,
Wrong TLD,kohls.de,81.169.145.78,DE,GERMANY,smtp.rzone.de,de,
Wrong TLD,kohls.edu,,?,,edu,
Wrong TLD,kohls.es,199.59.242.150,CN,CHINA,mx76.m2bp.com,es,
Wrong TLD,kohls.fr,173.254.28.83,US,UNITED STATES,mail.kohls.fr,fr,
Wrong TLD,kohls.it,185.53.178.6,,,it,
Wrong TLD,kohls.jp,,?,,jp,
Wrong TLD,kohls.net,,?,esa4.kohlsinbound.iphmx.com,net,
Wrong TLD,kohls.nl,72.52.4.122,US,UNITED STATES,localhost,nl,
Wrong TLD,kohls.no,185.53.178.7,,mail.h-email.net,no,
Wrong TLD,kohls.org,,?,esa4.kohlsinbound.iphmx.com,org,
Wrong TLD,kohls.ru,31.31.205.163,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,kohls.se,,?,,se,
Wrong TLD,kohls.us,103.224.212.222,,mx92.mb5p.com,us,

