Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,kngregate.com,199.191.50.73,,,com,
Character Omission,kogregate.com,68.178.213.61,AT,AUSTRIA,,com,
Character Omission,kongegate.com,167.114.156.214,IT,ITALY,,com,
Character Omission,kongreate.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,kongregae.com,103.224.182.253,,mx92.m1bp.com,com,
Character Omission,kongregat.com,,?,,com,
Character Omission,kongregate.cm,185.53.179.7,,mail.h-email.net,cm,
Character Omission,kongregte.com,103.224.212.222,,mx92.m1bp.com,com,
Character Omission,kongrgate.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,konregate.com,68.178.213.61,US,UNITED STATES,,com,
Character Repeat,kkongregate.com,54.72.130.67,US,UNITED STATES,mail.h-email.net,com,
Character Repeat,konggregate.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,kongreegate.com,173.239.5.6,US,UNITED STATES,mx7.kongreegate.com,com,
Character Repeat,kongregaate.com,,?,,com,
Character Repeat,kongregatee.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,kongregatte.com,,?,,com,
Character Repeat,kongreggate.com,103.224.212.222,,park-mx.above.com,com,
Character Repeat,kongrregate.com,,?,,com,
Character Repeat,konngregate.com,103.224.212.222,,mx92.mb5p.com,com,
Character Repeat,koongregate.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Swap,knogregate.com,,?,,com,
Character Swap,kognregate.com,213.247.47.190,NL,NETHERLANDS,mx7.kognregate.com,com,
Character Swap,kongergate.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,kongreagte.com,185.53.178.9,,mail.h-email.net,com,
Character Swap,kongregaet.com,,?,,com,
Character Swap,kongregtae.com,173.239.8.164,US,UNITED STATES,mx7.kongregtae.com,com,
Character Swap,kongrgeate.com,,?,,com,
Character Swap,konrgegate.com,,?,,com,
Character Swap,okngregate.com,,?,,com,
Character Replacement,jongregate.com,,?,,com,
Character Replacement,kingregate.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,kobgregate.com,,?,,com,
Character Replacement,komgregate.com,,?,,com,
