Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,laalle.com,,?,,com,
Character Omission,lasale.com,185.53.178.7,,,com,
Character Omission,lasall.com,35.182.187.225,US,UNITED STATES,mx2.ewebdevelopment.com,com,
Character Omission,lasalle.cm,,?,,cm,
Character Omission,laslle.com,,?,,com,
Character Omission,lsalle.com,,?,,com,
Character Repeat,laasalle.com,,?,,com,
Character Repeat,lasaalle.com,,?,,com,
Character Repeat,lasallee.com,,?,,com,
Character Repeat,lasallle.com,,?,,com,
Character Repeat,lassalle.com,81.88.48.95,IT,ITALY,mx1.lassalle.com,com,
Character Repeat,llasalle.com,98.124.204.16,US,UNITED STATES,,com,
Character Swap,alsalle.com,,?,,com,
Character Swap,laaslle.com,,?,,com,
Character Swap,lasalel.com,,?,,com,
Character Swap,laslale.com,,?,,com,
Character Swap,lsaalle.com,,?,,com,
Character Replacement,kasalle.com,,?,,com,
Character Replacement,laaalle.com,,?,,com,
Character Replacement,ladalle.com,52.73.71.92,CA,CANADA,,com,
Character Replacement,lasakle.com,,?,,com,
Character Replacement,lasalke.com,,?,,com,
Character Replacement,lasallr.com,,?,,com,
Character Replacement,lasallw.com,,?,,com,
Character Replacement,lasslle.com,,?,,com,
Character Replacement,lssalle.com,,?,,com,
Double Character Replacement,lasakke.com,,?,,com,
Character Insertion,lasalkle.com,,?,,com,
Character Insertion,lasaller.com,,?,,com,
Character Insertion,lasallew.com,,?,,com,
Character Insertion,lasallke.com,,?,,com,
Character Insertion,lasaslle.com,,?,,com,
Character Insertion,lasdalle.com,,?,,com,
Character Insertion,lkasalle.com,,?,,com,
Missing Dot,lasallecom.com,,?,,com,
Missing Dot,wwwlasalle.com,,?,,com,
Singular or Pluralise,lasalles.com,176.74.176.187,Dë,,,com,
Vowel Swap,lasalla.com,68.178.213.61,US,UNITED STATES,,com,
Vowel Swap,lasalli.com,,?,,com,
Vowel Swap,lasallo.com,,?,,com,
Vowel Swap,lasallu.com,,?,,com,
Vowel Swap,leselle.com,205.178.189.131,US,UNITED STATES,p.webcom.ctmail.com,com,
Vowel Swap,lisille.com,,?,,com,
Vowel Swap,losolle.com,,?,,com,
Vowel Swap,lusulle.com,,?,,com,
Homophones,lasawle.com,,?,,com,
Bit Flipping,dasalle.com,,?,,com,
Bit Flipping,hasalle.com,,?,,com,
Bit Flipping,la3alle.com,,?,,com,
Bit Flipping,lacalle.com,,?,,com,
Bit Flipping,laqalle.com,,?,,com,
Bit Flipping,laralle.com,,?,,com,
Bit Flipping,lasadle.com,,?,,com,
Bit Flipping,lasahle.com,,?,,com,
Bit Flipping,lasalde.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,lasalhe.com,,?,,com,
Bit Flipping,lasalld.com,,?,,com,
Bit Flipping,lasallg.com,,?,,com,
Bit Flipping,lasallm.com,,?,,com,
Bit Flipping,lasalme.com,,?,,com,
Bit Flipping,lasalne.com,,?,,com,
Bit Flipping,lasamle.com,,?,,com,
Bit Flipping,lasanle.com,,?,,com,
Bit Flipping,lasclle.com,,?,,com,
Bit Flipping,laselle.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,lasille.com,85.131.1.139,FI,FINLAND,mailscan.tietokeskus.com,com,
Bit Flipping,lasqlle.com,,?,,com,
Bit Flipping,lawalle.com,104.27.175.85,,,com,
Bit Flipping,lcsalle.com,,?,,com,
Bit Flipping,lesalle.com,185.123.97.131,,aspmx.l.google.com,com,
Bit Flipping,lisalle.com,187.84.237.203,BR,BRAZIL,mx783.umbler.com.br,com,
Bit Flipping,lqsalle.com,,?,,com,
Bit Flipping,masalle.com,52.71.185.125,MA,MOROCCO,,com,
Bit Flipping,nasalle.com,,?,,com,
Homoglyphs,1asa11e.com,,?,,com,
Homoglyphs,1asa1le.com,,?,,com,
Homoglyphs,1asal1e.com,,?,,com,
Homoglyphs,1asalle.com,,?,,com,
Homoglyphs,lasa11e.com,,?,,com,
Homoglyphs,lasa1le.com,,?,,com,
Homoglyphs,lasal1e.com,,?,,com,
Wrong TLD,lasalle.ca,192.67.33.49,,mail.lasalle.ca,ca,
Wrong TLD,lasalle.ch,213.239.215.42,DE,GERMANY,mail.lasalle.ch,ch,
Wrong TLD,lasalle.de,205.144.64.113,US,UNITED STATES,smtp4.eu.jll.com,de,
Wrong TLD,lasalle.edu,139.84.10.210,US,UNITED STATES,lasalle-edu.mail.protection.outlook.com,edu,
Wrong TLD,lasalle.es,188.165.131.65,FR,FRANCE,aspmx2.googlemail.com,es,
Wrong TLD,lasalle.fr,185.22.110.44,,lasalle.fr,fr,
Wrong TLD,lasalle.it,72.52.4.122,US,UNITED STATES,localhost,it,
Wrong TLD,lasalle.jp,219.166.31.58,JP,JAPAN,,jp,
Wrong TLD,lasalle.net,50.77.130.49,US,UNITED STATES,smtp.secureserver.net,net,
Wrong TLD,lasalle.nl,205.144.64.113,US,UNITED STATES,smtp1.am.jll.com,nl,
Wrong TLD,lasalle.no,46.30.213.69,DK,DENMARK,mxcluster1.one.com,no,
Wrong TLD,lasalle.org,37.187.76.124,AT,AUSTRIA,alt1.aspmx.l.google.com,org,
Wrong TLD,lasalle.ru,92.53.96.44,RU,RUSSIAN FEDERATION,mx2.timeweb.ru,ru,
Wrong TLD,lasalle.se,,?,mx2.tripnet.se,se,
Wrong TLD,lasalle.us,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,us,

