Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ld.org,72.249.159.218,US,UNITED STATES,ld-org.mail.eo.outlook.com,org,
Character Omission,ls.org,,?,,org,
Character Repeat,ldds.org,68.178.213.61,Ì,,,org,
Character Repeat,ldss.org,192.64.147.171,,,org,
Character Repeat,llds.org,205.178.189.131,US,UNITED STATES,mx1.netsolmail.net,org,
Character Swap,dls.org,,?,aspmx.l.google.com,org,
Character Swap,lsd.org,67.227.226.241,RU,RUSSIAN FEDERATION,mx174.mb5p.com,org,
Character Replacement,kds.org,66.206.89.16,US,UNITED STATES,kds.org,org,
Character Replacement,lda.org,66.147.244.136,US,UNITED STATES,mx.spamexperts.com,org,
Character Replacement,ldd.org,216.239.34.21,US,UNITED STATES,alt3.aspmx.l.google.com,org,
Character Replacement,lfs.org,65.36.196.41,US,UNITED STATES,win-mail11.hostmanagement.net,org,
Character Replacement,lss.org,107.23.142.222,US,UNITED STATES,aspmx3.googlemail.com,org,
Character Insertion,ldfs.org,207.148.248.143,US,UNITED STATES,,org,
Character Insertion,ldsa.org,72.52.4.122,US,UNITED STATES,localhost,org,
Character Insertion,ldsd.org,204.14.15.26,US,UNITED STATES,mail1.ldsd.org,org,
Character Insertion,lkds.org,,?,,org,
Missing Dot,ldsorg.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Missing Dot,wwwlds.org,74.117.114.66,KY,CAYMAN ISLANDS,,org,
Bit Flipping,dds.org,72.52.4.119,US,UNITED STATES,localhost,org,
Bit Flipping,hds.org,23.227.38.32,,mailstore1.secureserver.net,org,
Bit Flipping,ld3.org,62.149.128.160,IT,ITALY,mx.ld3.org,org,
Bit Flipping,ldc.org,67.225.147.155,US,UNITED STATES,alt1.aspmx.l.google.com,org,
Bit Flipping,ldq.org,176.74.176.187,US,UNITED STATES,,org,
Bit Flipping,ldr.org,96.45.82.165,US,UNITED STATES,,org,
Bit Flipping,ldw.org,198.245.61.59,CA,CANADA,pantheon.yossman.net,org,
Bit Flipping,les.org,208.91.197.27,B˜,,les-org.mail.protection.outlook.com,org,
Bit Flipping,lls.org,184.73.245.212,US,UNITED STATES,us-smtp-inbound-1.mimecast.com,org,
Bit Flipping,lts.org,192.240.170.122,,mail.lts.org,org,
Bit Flipping,mds.org,141.8.225.31,AT,AUSTRIA,,org,
Bit Flipping,nds.org,216.27.18.210,US,UNITED STATES,peer3334.imailcleaner.com,org,
Homoglyphs,1ds.org,,?,mx3.mail.name.com,org,
Homoglyphs,lcls.org,216.125.70.32,Ø$,,lists.illinoisheartland.org,org,
Wrong TLD,lds.ca,158.69.152.98,US,UNITED STATES,lds.ca,ca,
Wrong TLD,lds.ch,72.52.4.122,BD,BANGLADESH,localhost,ch,
Wrong TLD,lds.com,162.222.183.87,,mail.global.frontbridge.com,com,
Wrong TLD,lds.de,144.76.78.167,DE,GERMANY,system.ag.pri-mx.eu0102.smtproutes.com,de,
Wrong TLD,lds.edu,,?,,edu,
Wrong TLD,lds.es,,?,,es,
Wrong TLD,lds.fr,217.160.233.154,DE,GERMANY,mx01.1and1.fr,fr,
Wrong TLD,lds.it,178.237.2.242,IT,ITALY,mail.lds.it,it,
Wrong TLD,lds.jp,,?,,jp,
Wrong TLD,lds.net,104.28.8.47,,aspmx.l.google.com,net,
Wrong TLD,lds.nl,109.106.167.8,EU,EUROPEAN UNION,postduif.natuurpark.nl,nl,
Wrong TLD,lds.no,104.40.215.219,,nw-mx-02-001.iteracloud.com,no,
Wrong TLD,lds.ru,216.49.176.21,CA,CANADA,,ru,
Wrong TLD,lds.se,194.9.94.85,SE,SWEDEN,,se,
Wrong TLD,lds.us,72.52.4.122,US,UNITED STATES,localhost,us,

