Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,leg.com,208.97.150.21,US,UNITED STATES,mx1.sub5.homie.mail.dreamhost.com,com,
Character Omission,lego.cm,85.25.199.30,DE,GERMANY,mx1.emailparking.com,cm,
Character Omission,leo.com,204.9.55.28,US,UNITED STATES,aspmx2.googlemail.com,com,
Character Omission,lgo.com,75.126.100.20,US,UNITED STATES,,com,
Character Repeat,leego.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,leggo.com,208.73.211.70,CA,CANADA,,com,
Character Repeat,legoo.com,212.121.182.100,FR,FRANCE,,com,
Character Repeat,llego.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Swap,elgo.com,72.26.118.90,US,UNITED STATES,,com,
Character Swap,leog.com,209.61.212.154,US,UNITED STATES,smtp.getontheweb.com,com,
Character Swap,lgeo.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,kego.com,64.98.145.30,CA,CANADA,mx.hover.com.cust.hostedemail.com,com,
Character Replacement,lefo.com,,?,,com,
Character Replacement,legi.com,5.249.151.231,,mail.legi.com,com,
Character Replacement,legp.com,72.9.105.30,SG,SINGAPORE,,com,
Character Replacement,leho.com,101.200.30.200,CN,CHINA,mxbiz2.qq.com,com,
Character Replacement,lrgo.com,199.59.242.150,US,UNITED STATES,mx76.mb1p.com,com,
Character Replacement,lwgo.com,141.8.224.169,US,UNITED STATES,,com,
Character Insertion,legfo.com,85.25.199.30,DE,GERMANY,mail.legfo.com,com,
Character Insertion,legho.com,72.9.151.117,US,UNITED STATES,legho.com,com,
Character Insertion,legoi.com,146.148.34.125,US,UNITED STATES,mail.hope-mail.com,com,
Character Insertion,legop.com,103.224.182.243,,mx92.m1bp.com,com,
Character Insertion,lergo.com,,?,,com,
Character Insertion,lewgo.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,lkego.com,209.74.107.106,,,com,
Missing Dot,legocom.com,69.162.80.51,US,UNITED STATES,,com,
Missing Dot,wwwlego.com,165.160.13.20,US,UNITED STATES,,com,
Singular or Pluralise,legos.com,171.20.53.203,DK,DENMARK,,com,
Vowel Swap,lago.com,50.63.202.38,US,UNITED STATES,alt3.aspmx.l.google.com,com,
Vowel Swap,ligo.com,194.209.125.44,CH,SWITZERLAND,mx1.myvarcom.net,com,
Vowel Swap,logo.com,104.24.116.202,,mxa.mailgun.org,com,
Vowel Swap,lugo.com,64.99.80.121,AT,AUSTRIA,mx.netidentity.com.cust.hostedemail.com,com,
Bit Flipping,dego.com,69.175.14.76,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,hego.com,212.227.247.127,DE,GERMANY,mx01.kundenserver.de,com,
Bit Flipping,ldgo.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,leco.com,199.116.78.86,US,UNITED STATES,ppt.leco.com,com,
Bit Flipping,leeo.com,23.185.0.1,,aspmx3.googlemail.com,com,
Bit Flipping,legg.com,173.236.180.149,US,UNITED STATES,aspmx.l.google.com,com,
Bit Flipping,legk.com,,?,,com,
Bit Flipping,legm.com,195.149.84.100,GB,UNITED KINGDOM,,com,
Bit Flipping,legn.com,204.74.99.100,E­,,mail2.legn.com,com,
Bit Flipping,leoo.com,,?,,com,
Bit Flipping,lewo.com,192.64.147.150,,mx1.lewo.com,com,
Bit Flipping,lggo.com,72.9.105.30,US,UNITED STATES,,com,
Bit Flipping,lmgo.com,72.10.35.225,US,UNITED STATES,mail.lmgo.com,com,
Bit Flipping,mego.com,184.168.221.30,US,UNITED STATES,aspmx2.googlemail.com,com,
Bit Flipping,nego.com,49.212.207.31,JP,JAPAN,nego.com,com,
Homoglyphs,1ego.com,52.73.71.92,US,UNITED STATES,,com,
Homoglyphs,leg0.com,158.69.143.112,US,UNITED STATES,,com,
Wrong TLD,lego.ca,171.20.53.203,DK,DENMARK,smtp.domainnetwork.net,ca,
Wrong TLD,lego.ch,171.20.53.203,US,UNITED STATES,smtp.domainnetwork.net,ch,
Wrong TLD,lego.de,171.20.53.203,EU,EUROPEAN UNION,,de,
Wrong TLD,lego.edu,,?,,edu,
Wrong TLD,lego.es,171.20.53.203,DK,DENMARK,smtp.domainnetwork.net,es,
Wrong TLD,lego.fr,171.20.53.203,DK,DENMARK,smtp.domaintech.se,fr,
Wrong TLD,lego.it,171.20.53.203,US,UNITED STATES,,it,
Wrong TLD,lego.jp,171.20.53.203,DK,DENMARK,smtp.domainnetwork.net,jp,
Wrong TLD,lego.net,171.20.53.203,DK,DENMARK,,net,
Wrong TLD,lego.nl,171.20.53.203,DK,DENMARK,smtp.domainnetwork.net,nl,
Wrong TLD,lego.no,171.20.53.203,DK,DENMARK,,no,
Wrong TLD,lego.org,184.168.221.27,IR,IRAN (ISLAMIC REPUBLIC OF),smtp.secureserver.net,org,
Wrong TLD,lego.ru,171.20.53.203,DK,DENMARK,mx.lego.ru.cust.b.hostedemail.com,ru,
Wrong TLD,lego.se,171.20.53.203,DK,DENMARK,,se,
Wrong TLD,lego.us,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,us,

