Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,lfehack.org,,?,,org,
Character Omission,liehack.org,,?,,org,
Character Omission,lifeack.org,,?,,org,
Character Omission,lifehac.org,103.224.182.247,,park-mx.above.com,org,
Character Omission,lifehak.org,103.224.182.247,,mx92.mb5p.com,org,
Character Omission,lifehck.org,,?,,org,
Character Omission,lifhack.org,103.224.182.247,,park-mx.above.com,org,
Character Repeat,lifeehack.org,,?,,org,
Character Repeat,lifehaack.org,,?,,org,
Character Repeat,lifehacck.org,,?,,org,
Character Repeat,lifehackk.org,,?,,org,
Character Repeat,lifehhack.org,,?,,org,
Character Repeat,liffehack.org,,?,,org,
Character Repeat,liifehack.org,162.215.252.78,,,org,
Character Repeat,llifehack.org,,?,,org,
Character Swap,ilfehack.org,,?,,org,
Character Swap,lfiehack.org,,?,,org,
Character Swap,liefhack.org,,?,,org,
Character Swap,lifeahck.org,,?,,org,
Character Swap,lifehakc.org,,?,,org,
Character Swap,lifehcak.org,,?,,org,
Character Swap,lifheack.org,,?,,org,
Character Replacement,kifehack.org,,?,,org,
Character Replacement,lidehack.org,,?,,org,
Character Replacement,lifegack.org,,?,,org,
Character Replacement,lifehacj.org,,?,,org,
Character Replacement,lifehacl.org,,?,,org,
Character Replacement,lifehavk.org,,?,,org,
Character Replacement,lifehaxk.org,,?,,org,
Character Replacement,lifehsck.org,,?,,org,
Character Replacement,lifejack.org,,?,,org,
Character Replacement,lifrhack.org,,?,,org,
Character Replacement,lifwhack.org,,?,,org,
Character Replacement,ligehack.org,,?,,org,
Character Replacement,lofehack.org,,?,,org,
Character Replacement,lufehack.org,,?,,org,
Character Insertion,lifdehack.org,,?,,org,
Character Insertion,lifehackj.org,,?,,org,
Character Insertion,lifehackl.org,,?,,org,
Character Insertion,lifehacvk.org,,?,,org,
Character Insertion,lifehacxk.org,,?,,org,
Character Insertion,lifehasck.org,,?,,org,
Character Insertion,lifehgack.org,,?,,org,
Character Insertion,lifehjack.org,,?,,org,
Character Insertion,liferhack.org,,?,,org,
Character Insertion,lifewhack.org,,?,,org,
Character Insertion,lifgehack.org,,?,,org,
Character Insertion,liofehack.org,,?,,org,
Character Insertion,liufehack.org,,?,,org,
Character Insertion,lkifehack.org,,?,,org,
Missing Dot,lifehackorg.com,,?,,com,
Missing Dot,wwwlifehack.org,,?,,org,
Singular or Pluralise,lifehacks.org,72.52.4.122,US,UNITED STATES,localhost,org,
Vowel Swap,lafehack.org,,?,,org,
Vowel Swap,lefehack.org,,?,,org,
Vowel Swap,lifahack.org,,?,,org,
Vowel Swap,lifeheck.org,,?,,org,
Vowel Swap,lifehick.org,,?,,org,
Vowel Swap,lifehock.org,,?,,org,
Vowel Swap,lifehuck.org,,?,,org,
Vowel Swap,lifihack.org,,?,,org,
Vowel Swap,lifohack.org,,?,,org,
Vowel Swap,lifuhack.org,,?,,org,
Homophones,layefehack.org,,?,,org,
Homophones,leyefehack.org,,?,,org,
Bit Flipping,difehack.org,,?,,org,
Bit Flipping,hifehack.org,,?,,org,
Bit Flipping,lhfehack.org,,?,,org,
Bit Flipping,libehack.org,,?,,org,
Bit Flipping,lifdhack.org,,?,,org,
Bit Flipping,lifehaak.org,,?,,org,
Bit Flipping,lifehabk.org,,?,,org,
Bit Flipping,lifehacc.org,,?,,org,
Bit Flipping,lifehaci.org,,?,,org,
Bit Flipping,lifehaco.org,,?,,org,
Bit Flipping,lifehagk.org,,?,,org,
Bit Flipping,lifehakk.org,,?,,org,
Bit Flipping,lifehask.org,,?,,org,
Bit Flipping,lifehcck.org,,?,,org,
Bit Flipping,lifehqck.org,,?,,org,
Bit Flipping,lifeiack.org,,?,,org,
Bit Flipping,lifelack.org,,?,,org,
Bit Flipping,lifexack.org,,?,,org,
Bit Flipping,lifghack.org,,?,,org,
Bit Flipping,lifmhack.org,,?,,org,
Bit Flipping,linehack.org,,?,,org,
Bit Flipping,livehack.org,69.162.80.55,CN,CHINA,,org,
Bit Flipping,lkfehack.org,,?,,org,
Bit Flipping,lmfehack.org,,?,,org,
Bit Flipping,lyfehack.org,184.168.221.60,PL,POLAND,mailstore1.secureserver.net,org,
Bit Flipping,mifehack.org,,?,,org,
Bit Flipping,nifehack.org,,?,,org,
Homoglyphs,1ifehack.org,,?,,org,
Homoglyphs,llfehack.org,,?,,org,
Wrong TLD,lifehack.ca,66.96.149.20,US,UNITED STATES,mx.lifehack.ca,ca,
Wrong TLD,lifehack.ch,5.9.138.226,DE,GERMANY,,ch,
Wrong TLD,lifehack.com,66.6.44.4,H5,,aspmx4.googlemail.com,com,
Wrong TLD,lifehack.de,103.224.182.251,,park-mx.above.com,de,
Wrong TLD,lifehack.edu,,?,,edu,
Wrong TLD,lifehack.es,,?,,es,
Wrong TLD,lifehack.fr,213.186.33.5,·[,,redirect.ovh.net,fr,
Wrong TLD,lifehack.it,185.53.179.7,,mail.h-email.net,it,
Wrong TLD,lifehack.jp,183.90.228.37,JP,JAPAN,lifehack.jp,jp,
Wrong TLD,lifehack.net,216.157.88.25,US,UNITED STATES,,net,
Wrong TLD,lifehack.nl,149.210.181.106,RO,ROMANIA,,nl,
Wrong TLD,lifehack.no,194.63.248.52,NO,NORWAY,,no,
Wrong TLD,lifehack.ru,90.156.201.111,RU,RUSSIAN FEDERATION,mx1.masterhost.ru,ru,
Wrong TLD,lifehack.se,72.52.4.122,US,UNITED STATES,localhost,se,
Wrong TLD,lifehack.us,72.52.4.122,US,UNITED STATES,localhost,us,

