Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,litlewoods.com,72.32.239.210,US,UNITED STATES,mx94.mb1p.com,com,
Character Omission,littewoods.com,98.124.199.24,US,UNITED STATES,,com,
Character Omission,littleoods.com,98.124.199.10,US,UNITED STATES,,com,
Character Omission,littlewods.com,98.124.199.98,US,UNITED STATES,,com,
Character Omission,littlewood.com,72.32.239.210,US,UNITED STATES,mx94.mb1p.com,com,
Character Omission,littlewoods.cm,,?,,cm,
Character Omission,littlewoos.com,98.124.199.38,US,UNITED STATES,,com,
Character Omission,littlwoods.com,96.17.161.122,US,UNITED STATES,,com,
Character Omission,lttlewoods.com,98.124.199.43,US,UNITED STATES,,com,
Character Repeat,liittlewoods.com,98.124.199.9,DO,DOMINICAN REPUBLIC,,com,
Character Repeat,littleewoods.com,98.124.199.6,JP,JAPAN,,com,
Character Repeat,littlewoodds.com,98.124.199.93,CH,SWITZERLAND,,com,
Character Repeat,littlewoodss.com,98.124.199.78,US,UNITED STATES,,com,
Character Repeat,littlewooods.com,98.124.199.41,US,UNITED STATES,,com,
Character Repeat,littlewwoods.com,98.124.199.49,US,UNITED STATES,,com,
Character Repeat,littllewoods.com,98.124.199.77,US,UNITED STATES,,com,
Character Repeat,litttlewoods.com,98.124.199.16,US,UNITED STATES,,com,
Character Repeat,llittlewoods.com,72.32.239.210,US,UNITED STATES,mx94.mb1p.com,com,
Character Swap,ilttlewoods.com,45.33.9.234,,mail.mxproc.com,com,
Character Swap,litltewoods.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,littelwoods.com,98.124.199.81,US,UNITED STATES,,com,
Character Swap,littleowods.com,,?,,com,
Character Swap,littlewodos.com,,?,,com,
Character Swap,littlewoosd.com,,?,,com,
Character Swap,littlweoods.com,199.191.50.73,,,com,
Character Swap,ltitlewoods.com,,?,,com,
Character Replacement,kittlewoods.com,,?,,com,
Character Replacement,lirtlewoods.com,,?,,com,
Character Replacement,litrlewoods.com,,?,,com,
Character Replacement,littkewoods.com,141.8.224.93,H#,,,com,
Character Replacement,littleeoods.com,,?,,com,
Character Replacement,littleqoods.com,,?,,com,
Character Replacement,littlewiods.com,185.53.179.8,,mail.h-email.net,com,
Character Replacement,littlewoids.com,185.53.178.8,,mail.h-email.net,com,
Character Replacement,littlewooda.com,72.32.239.210,US,UNITED STATES,mx94.mb1p.com,com,
Character Replacement,littlewoodd.com,141.8.224.93,GE,GEORGIA,,com,
Character Replacement,littlewoofs.com,207.148.248.143,CA,CANADA,,com,
Character Replacement,littlewooss.com,,?,,com,
Character Replacement,littlewopds.com,104.217.109.166,,,com,
Character Replacement,littlewpods.com,,?,,com,
Character Replacement,littlrwoods.com,72.32.239.210,US,UNITED STATES,mx94.mb1p.com,com,
Character Replacement,littlwwoods.com,,?,,com,
Character Replacement,litylewoods.com,,?,,com,
Character Replacement,liytlewoods.com,,?,,com,
Character Replacement,lottlewoods.com,98.124.199.103,US,UNITED STATES,,com,
Character Replacement,luttlewoods.com,96.17.161.122,US,UNITED STATES,,com,
Double Character Replacement,lirrlewoods.com,,?,,com,
Double Character Replacement,littlewiids.com,,?,,com,
Double Character Replacement,littlewppds.com,,?,,com,
Double Character Replacement,liyylewoods.com,,?,,com,
Character Insertion,liottlewoods.com,,?,,com,
Character Insertion,litrtlewoods.com,,?,,com,
Character Insertion,littlerwoods.com,,?,,com,
Character Insertion,littleweoods.com,,?,,com,
Character Insertion,littlewoiods.com,,?,,com,
Character Insertion,littlewoodfs.com,,?,,com,
Character Insertion,littlewoodsa.com,,?,,com,
Character Insertion,littlewoodsd.com,,?,,com,
Character Insertion,littlewooids.com,,?,,com,
Character Insertion,littlewoopds.com,,?,,com,
Character Insertion,littlewopods.com,,?,,com,
Character Insertion,littlewqoods.com,,?,,com,
Character Insertion,littlkewoods.com,,?,,com,
Character Insertion,littrlewoods.com,,?,,com,
Character Insertion,littylewoods.com,,?,,com,
Character Insertion,litytlewoods.com,,?,,com,
Character Insertion,liuttlewoods.com,,?,,com,
Character Insertion,lkittlewoods.com,,?,,com,
Missing Dot,littlewoodscom.com,,?,,com,
Missing Dot,wwwlittlewoods.com,103.224.182.245,,mx92.m1bp.com,com,
Vowel Swap,lattlewoods.com,,?,,com,
Vowel Swap,lettlewoods.com,,?,,com,
Vowel Swap,littlawoods.com,,?,,com,
Vowel Swap,littliwoods.com,72.32.239.210,US,UNITED STATES,mx94.mb1p.com,com,
Vowel Swap,littlowoods.com,,?,,com,
Vowel Swap,littluwoods.com,,?,,com,
Homophones,layettlewoods.com,,?,,com,
Homophones,leyettlewoods.com,,?,,com,
Homophones,littlewoulds.com,,?,,com,
Bit Flipping,dittlewoods.com,,?,,com,
Bit Flipping,hittlewoods.com,,?,,com,
Bit Flipping,lhttlewoods.com,,?,,com,
Bit Flipping,li4tlewoods.com,,?,,com,
Bit Flipping,lidtlewoods.com,,?,,com,
Bit Flipping,liptlewoods.com,,?,,com,
Bit Flipping,lit4lewoods.com,,?,,com,
Bit Flipping,litdlewoods.com,,?,,com,
Bit Flipping,litplewoods.com,,?,,com,
