Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,liescience.com,,?,,com,
Character Omission,livecience.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Omission,livescence.com,,?,,com,
Character Omission,livesciece.com,,?,,com,
Character Omission,livescienc.com,,?,,com,
Character Omission,livescience.cm,,?,,cm,
Character Omission,livesciene.com,185.53.178.7,,mail.h-email.net,com,
Character Omission,livescince.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,livesience.com,213.247.47.190,BD,BANGLADESH,mx7.livesience.com,com,
Character Omission,livscience.com,94.136.40.51,GB,UNITED KINGDOM,mx1.123-reg.co.uk,com,
Character Omission,lvescience.com,,?,,com,
Character Repeat,liivescience.com,,?,,com,
Character Repeat,liveescience.com,,?,,com,
Character Repeat,livesccience.com,,?,,com,
Character Repeat,livescieence.com,,?,,com,
Character Repeat,livesciencce.com,,?,,com,
Character Repeat,livesciencee.com,,?,,com,
Character Repeat,livesciennce.com,,?,,com,
Character Repeat,livesciience.com,,?,,com,
Character Repeat,livesscience.com,104.238.71.250,,smtp.secureserver.net,com,
Character Repeat,livvescience.com,,?,,com,
Character Repeat,llivescience.com,,?,,com,
Character Swap,ilvescience.com,,?,,com,
Character Swap,lievscience.com,,?,,com,
Character Swap,livecsience.com,,?,,com,
Character Swap,livesceince.com,67.55.92.183,US,UNITED STATES,mx7.livesceince.com,com,
Character Swap,livesciecne.com,,?,,com,
Character Swap,livescienec.com,,?,,com,
Character Swap,livescinece.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,livesicence.com,67.55.92.184,ç,,mx7.livesicence.com,com,
Character Swap,livsecience.com,,?,,com,
Character Swap,lviescience.com,,?,,com,
Character Replacement,kivescience.com,,?,,com,
Character Replacement,libescience.com,,?,,com,
Character Replacement,licescience.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,liveacience.com,,?,,com,
Character Replacement,livedcience.com,,?,,com,
Character Replacement,livesciebce.com,,?,,com,
Character Replacement,livesciemce.com,104.237.132.90,,mail.mxproc.com,com,
Character Replacement,livesciencr.com,,?,,com,
Character Replacement,livesciencw.com,,?,,com,
Character Replacement,livescienve.com,,?,,com,
Character Replacement,livescienxe.com,,?,,com,
Character Replacement,livescirnce.com,,?,,com,
Character Replacement,livesciwnce.com,,?,,com,
Character Replacement,livescoence.com,,?,,com,
Character Replacement,livescuence.com,,?,,com,
Character Replacement,livesvience.com,141.8.224.93,RO,ROMANIA,,com,
Character Replacement,livesxience.com,,?,,com,
Character Replacement,livrscience.com,,?,,com,
Character Replacement,livwscience.com,,?,,com,
Character Replacement,lovescience.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,luvescience.com,,?,,com,
Character Insertion,liovescience.com,,?,,com,
Character Insertion,liuvescience.com,,?,,com,
Character Insertion,livbescience.com,,?,,com,
Character Insertion,livcescience.com,,?,,com,
Character Insertion,liverscience.com,184.168.221.96,US,UNITED STATES,10,com,
Character Insertion,livesacience.com,,?,,com,
Character Insertion,livescienbce.com,,?,,com,
Character Insertion,livesciencer.com,,?,,com,
Character Insertion,livesciencew.com,,?,,com,
Character Insertion,livesciencve.com,,?,,com,
Character Insertion,livesciencxe.com,,?,,com,
Character Insertion,livescienmce.com,,?,,com,
Character Insertion,livesciernce.com,,?,,com,
Character Insertion,livesciewnce.com,,?,,com,
Character Insertion,livescioence.com,,?,,com,
Character Insertion,livesciuence.com,,?,,com,
Character Insertion,livescvience.com,,?,,com,
Character Insertion,livescxience.com,,?,,com,
Character Insertion,livesdcience.com,,?,,com,
Character Insertion,livewscience.com,,?,,com,
Character Insertion,lkivescience.com,,?,,com,
Missing Dot,livesciencecom.com,,?,,com,
Missing Dot,wwwlivescience.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Singular or Pluralise,livesciences.com,185.51.8.52,,aspmx.l.google.com,com,
Vowel Swap,lavescaence.com,,?,,com,
Vowel Swap,levesceence.com,,?,,com,
Vowel Swap,livascianca.com,,?,,com,
Vowel Swap,livisciinci.com,,?,,com,
Vowel Swap,livoscionco.com,,?,,com,
Vowel Swap,livusciuncu.com,,?,,com,
Vowel Swap,lovescoence.com,,?,,com,
