Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,lnda.com,192.64.147.195,,,com,
Character Omission,lyda.com,64.99.80.121,CA,CANADA,mx.netidentity.com.cust.hostedemail.com,com,
Character Omission,lyna.com,184.168.221.24,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,lynd.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Omission,lynda.cm,199.59.242.150,NL,NETHERLANDS,mx76.m2bp.com,cm,
Character Repeat,llynda.com,,?,,com,
Character Repeat,lyndaa.com,67.55.92.182,US,UNITED STATES,mx7.lyndaa.com,com,
Character Repeat,lyndda.com,103.224.182.238,,park-mx.above.com,com,
Character Repeat,lynnda.com,69.172.201.153,US,UNITED STATES,,com,
Character Repeat,lyynda.com,213.247.47.190,NL,NETHERLANDS,mx7.lyynda.com,com,
Character Swap,lnyda.com,67.55.92.182,US,UNITED STATES,mx7.lnyda.com,com,
Character Swap,lydna.com,199.191.50.73,,,com,
Character Swap,lynad.com,208.73.210.202,US,UNITED STATES,,com,
Character Swap,ylnda.com,172.107.11.31,,,com,
Character Replacement,kynda.com,193.70.113.22,IT,ITALY,alt3.aspmx.l.google.com,com,
Character Replacement,ltnda.com,67.55.92.184,CA,CANADA,mx7.ltnda.com,com,
Character Replacement,lunda.com,65.254.250.195,US,UNITED STATES,mx.lunda.com,com,
Character Replacement,lybda.com,185.53.178.8,,mail.h-email.net,com,
Character Replacement,lymda.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,lynds.com,69.172.201.153,DE,GERMANY,,com,
Character Replacement,lynfa.com,217.160.233.116,DE,GERMANY,mx01.1and1.co.uk,com,
Character Replacement,lynsa.com,173.192.66.137,US,UNITED STATES,ismtp.digis.everyone.net,com,
Character Insertion,lkynda.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Insertion,lynbda.com,213.247.47.190,NL,NETHERLANDS,mx7.lynbda.com,com,
Character Insertion,lyndas.com,8.39.42.106,US,UNITED STATES,mx1.emailsrvr.com,com,
Character Insertion,lyndfa.com,,?,,com,
Character Insertion,lyndsa.com,184.168.221.41,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,lynmda.com,,?,,com,
Character Insertion,lytnda.com,,?,,com,
Character Insertion,lyunda.com,185.53.178.7,,mail.h-email.net,com,
Missing Dot,lyndacom.com,,?,,com,
Missing Dot,wwwlynda.com,199.59.242.150,UA,UKRAINE,mx76.mb1p.com,com,
Vowel Swap,lynde.com,5.135.20.121,JP,JAPAN,mx2.antispam.infoclip.fr,com,
Vowel Swap,lyndi.com,166.62.28.131,,mx2.zoho.com,com,
Vowel Swap,lyndo.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,lyndu.com,52.71.185.125,US,UNITED STATES,,com,
Bit Flipping,dynda.com,80.67.28.236,E,,mxlb.ispgateway.de,com,
Bit Flipping,hynda.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,l9nda.com,,?,,com,
Bit Flipping,linda.com,8.39.42.106,US,UNITED STATES,,com,
Bit Flipping,lqnda.com,,?,,com,
Bit Flipping,lxnda.com,,?,,com,
Bit Flipping,ly.da.com,,?,,com,
Bit Flipping,lyfda.com,,?,,com,
Bit Flipping,lyjda.com,,?,,com,
Bit Flipping,lylda.com,,?,,com,
Bit Flipping,lyndc.com,,?,,com,
Bit Flipping,lyndq.com,141.8.224.93,CH,SWITZERLAND,,com,
Bit Flipping,lynea.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,lynla.com,184.168.221.104,US,UNITED STATES,,com,
Bit Flipping,lynta.com,72.52.4.122,US,UNITED STATES,localhost,com,
Bit Flipping,lyoda.com,210.209.123.194,HK,HONG KONG,,com,
Bit Flipping,mynda.com,50.63.202.1,ÐI,,mailstore1.secureserver.net,com,
Bit Flipping,nynda.com,,?,vade-in2.mail.dreamhost.com,com,
Homoglyphs,1ynda.com,,?,,com,
Homoglyphs,lyncla.com,,?,,com,
Wrong TLD,lynda.ca,199.59.242.150,CN,CHINA,mx76.m2bp.com,ca,
Wrong TLD,lynda.ch,,?,,ch,
Wrong TLD,lynda.de,62.141.48.190,DE,GERMANY,mail.lynda.de,de,
Wrong TLD,lynda.edu,,?,,edu,
Wrong TLD,lynda.es,8.39.42.106,US,UNITED STATES,,es,
Wrong TLD,lynda.fr,8.39.42.106,US,UNITED STATES,,fr,
Wrong TLD,lynda.it,62.149.128.74,IT,ITALY,mx.lynda.it,it,
Wrong TLD,lynda.jp,108.174.10.14,US,UNITED STATES,,jp,
Wrong TLD,lynda.net,8.39.42.106,US,UNITED STATES,,net,
Wrong TLD,lynda.nl,178.20.253.162,NL,NETHERLANDS,mail.lynda.nl,nl,
Wrong TLD,lynda.no,194.63.248.47,NO,NORWAY,mx.domeneshop.no,no,
Wrong TLD,lynda.org,173.8.161.82,US,UNITED STATES,mail.cybertech.net,org,
Wrong TLD,lynda.ru,209.182.213.123,SE,SWEDEN,lynda.ru,ru,
Wrong TLD,lynda.se,8.39.42.106,NO,NORWAY,,se,
Wrong TLD,lynda.us,69.5.7.80,US,UNITED STATES,mx.futurequest.net,us,

