Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mahunt.net,103.224.182.238,,mx92.m1bp.com,net,
Character Omission,manhnt.net,69.172.201.153,US,UNITED STATES,,net,
Character Omission,manhun.net,69.16.230.43,US,UNITED STATES,mx156.hostedmxserver.com,net,
Character Omission,manhunt.ne,,?,,ne,
Character Omission,manhut.net,98.124.245.24,gö,,mail.b-io.co,net,
Character Omission,manunt.net,98.124.245.24,ID,INDONESIA,mail.b-io.co,net,
Character Omission,mnhunt.net,103.224.182.210,,mx92.m1bp.com,net,
Character Repeat,maanhunt.net,208.73.211.177,CA,CANADA,,net,
Character Repeat,manhhunt.net,208.73.211.165,BD,BANGLADESH,,net,
Character Repeat,manhunnt.net,,?,,net,
Character Repeat,manhuntt.net,,?,,net,
Character Repeat,manhuunt.net,208.91.197.46,VG,VIRGIN ISLANDS (BRITISH),,net,
Character Repeat,mannhunt.net,81.171.22.6,CH,SWITZERLAND,,net,
Character Repeat,mmanhunt.net,,?,,net,
Character Swap,amnhunt.net,,?,,net,
Character Swap,mahnunt.net,,?,,net,
Character Swap,manhnut.net,208.73.210.202,US,UNITED STATES,,net,
Character Swap,manhutn.net,103.224.182.210,,mx92.m1bp.com,net,
Character Swap,manuhnt.net,,?,,net,
Character Swap,mnahunt.net,103.224.212.222,,mx92.m1bp.com,net,
Character Replacement,mabhunt.net,45.56.124.98,,,net,
Character Replacement,mamhunt.net,103.224.212.244,,mx92.mb5p.com,net,
Character Replacement,mangunt.net,67.55.92.184,US,UNITED STATES,mx7.mangunt.net,net,
Character Replacement,manhint.net,199.191.50.73,,,net,
Character Replacement,manhubt.net,103.224.212.248,,mx92.m1bp.com,net,
Character Replacement,manhumt.net,208.73.211.177,ID,INDONESIA,,net,
Character Replacement,manhunr.net,208.91.196.105,ES,SPAIN,,net,
Character Replacement,manhuny.net,199.30.240.19,US,UNITED STATES,,net,
Character Replacement,manhynt.net,103.224.212.251,,mx92.mb5p.com,net,
Character Replacement,manjunt.net,68.178.213.61,US,UNITED STATES,,net,
Character Replacement,msnhunt.net,208.73.211.165,US,UNITED STATES,,net,
Character Replacement,nanhunt.net,208.91.196.102,VG,VIRGIN ISLANDS (BRITISH),,net,
Character Insertion,manbhunt.net,209.15.13.134,US,UNITED STATES,mail.b-io.co,net,
Character Insertion,manhgunt.net,,?,,net,
Character Insertion,manhjunt.net,,?,,net,
Character Insertion,manhuint.net,,?,,net,
Character Insertion,manhunbt.net,199.191.50.73,,,net,
Character Insertion,manhunmt.net,,?,,net,
Character Insertion,manhuntr.net,,?,,net,
Character Insertion,manhunty.net,69.64.147.28,US,UNITED STATES,,net,
Character Insertion,manhuynt.net,,?,,net,
Character Insertion,manmhunt.net,,?,,net,
Character Insertion,masnhunt.net,,?,,net,
Character Insertion,mnanhunt.net,103.224.212.222,,mx92.m1bp.com,net,
Missing Dot,manhuntnet.com,68.178.213.61,US,UNITED STATES,,com,
Missing Dot,wwwmanhunt.net,52.5.64.226,US,UNITED STATES,,net,
Singular or Pluralise,manhunts.net,,?,,net,
Vowel Swap,manhant.net,209.15.13.134,US,UNITED STATES,mail.b-io.co,net,
Vowel Swap,manhent.net,,?,,net,
Vowel Swap,manhont.net,68.178.213.61,ÐI,,,net,
Vowel Swap,menhunt.net,208.91.196.94,CO,COLOMBIA,,net,
Vowel Swap,minhunt.net,,?,,net,
Vowel Swap,monhunt.net,,?,,net,
Vowel Swap,munhunt.net,208.73.210.217,US,UNITED STATES,,net,
Bit Flipping,-anhunt.net,,?,,net,
Bit Flipping,eanhunt.net,,?,,net,
Bit Flipping,ianhunt.net,,?,,net,
Bit Flipping,lanhunt.net,,?,,net,
Bit Flipping,ma.hunt.net,,?,,net,
Bit Flipping,mafhunt.net,,?,,net,
Bit Flipping,majhunt.net,,?,,net,
Bit Flipping,malhunt.net,184.168.221.96,US,UNITED STATES,10,net,
Bit Flipping,manh5nt.net,,?,,net,
Bit Flipping,manhqnt.net,,?,,net,
Bit Flipping,manhtnt.net,,?,,net,
Bit Flipping,manhu.t.net,,?,,net,
Bit Flipping,manhuft.net,,?,,net,
Bit Flipping,manhujt.net,,?,,net,
Bit Flipping,manhult.net,,?,,net,
Bit Flipping,manhun4.net,,?,,net,
Bit Flipping,manhund.net,68.178.213.61,US,UNITED STATES,,net,
Bit Flipping,manhunp.net,,?,,net,
Bit Flipping,manhunu.net,,?,,net,
Bit Flipping,manhunv.net,,?,,net,
Bit Flipping,manhuot.net,,?,,net,
Bit Flipping,manhwnt.net,,?,,net,
Bit Flipping,maniunt.net,,?,,net,
Bit Flipping,manlunt.net,,?,,net,
Bit Flipping,manxunt.net,,?,,net,
Bit Flipping,maohunt.net,,?,,net,
Bit Flipping,mcnhunt.net,,?,,net,
Bit Flipping,mqnhunt.net,,?,,net,
Bit Flipping,oanhunt.net,,?,,net,
Homoglyphs,rnanhunt.net,,?,,net,
Wrong TLD,manhunt.ca,104.236.7.90,,,ca,
Wrong TLD,manhunt.ch,,?,,ch,
Wrong TLD,manhunt.com,52.5.64.226,US,UNITED STATES,,com,
Wrong TLD,manhunt.de,185.53.179.8,,mail.h-email.net,de,
Wrong TLD,manhunt.edu,,?,,edu,
Wrong TLD,manhunt.es,185.53.179.6,,mail.h-email.net,es,
Wrong TLD,manhunt.fr,72.52.4.122,US,UNITED STATES,localhost,fr,
Wrong TLD,manhunt.it,185.53.179.8,,mail.h-email.net,it,
Wrong TLD,manhunt.jp,,?,,jp,
Wrong TLD,manhunt.nl,31.3.99.199,NL,NETHERLANDS,smtp.nextgear.nl,nl,
Wrong TLD,manhunt.no,,?,,no,
Wrong TLD,manhunt.org,,?,,org,
Wrong TLD,manhunt.ru,82.98.86.167,DE,GERMANY,,ru,
Wrong TLD,manhunt.se,195.74.38.129,SE,SWEDEN,mail2.manhunt.se,se,
Wrong TLD,manhunt.us,185.53.178.6,,mail.h-email.net,us,

