Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mapreps.com,103.224.212.222,,mx92.mb5p.com,com,
Character Omission,maxpeps.com,209.99.64.43,US,UNITED STATES,,com,
Character Omission,maxprep.com,192.185.36.107,,maxprep.com,com,
Character Omission,maxpreps.cm,,?,,cm,
Character Omission,maxpres.com,205.178.189.131,US,UNITED STATES,mf.namesecure.com,com,
Character Omission,maxprps.com,103.224.182.245,,mx92.mb5p.com,com,
Character Omission,maxreps.com,192.254.251.135,,maxreps.com,com,
Character Omission,mxpreps.com,209.15.13.134,Ð[,,mail.b-io.co,com,
Character Repeat,maaxpreps.com,,?,,com,
Character Repeat,maxppreps.com,67.55.92.187,US,UNITED STATES,mx7.maxppreps.com,com,
Character Repeat,maxpreeps.com,199.191.50.73,,,com,
Character Repeat,maxprepps.com,199.191.50.73,,,com,
Character Repeat,maxprepss.com,,?,,com,
Character Repeat,maxprreps.com,,?,,com,
Character Repeat,maxxpreps.com,184.168.221.104,SG,SINGAPORE,,com,
Character Repeat,mmaxpreps.com,,?,,com,
Character Swap,amxpreps.com,,?,,com,
Character Swap,mapxreps.com,,?,,com,
Character Swap,maxperps.com,184.168.221.104,US,UNITED STATES,,com,
Character Swap,maxpresp.com,208.91.197.44,VG,VIRGIN ISLANDS (BRITISH),mail.hope-mail.com,com,
Character Swap,maxprpes.com,199.191.50.73,,,com,
Character Swap,maxrpeps.com,,?,,com,
Character Swap,mxapreps.com,,?,,com,
Character Replacement,macpreps.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,maxoreps.com,209.99.40.222,US,UNITED STATES,,com,
Character Replacement,maxpeeps.com,,?,,com,
Character Replacement,maxpreos.com,67.55.92.187,US,UNITED STATES,mx7.maxpreos.com,com,
Character Replacement,maxprepa.com,67.55.92.184,CA,CANADA,mx7.maxprepa.com,com,
Character Replacement,maxprepd.com,,?,,com,
Character Replacement,maxprrps.com,,?,,com,
Character Replacement,maxprwps.com,,?,,com,
Character Replacement,maxpteps.com,,?,,com,
Character Replacement,mazpreps.com,199.191.50.73,,,com,
Character Replacement,msxpreps.com,,?,,com,
Character Replacement,naxpreps.com,,?,,com,
Character Insertion,masxpreps.com,,?,,com,
Character Insertion,maxcpreps.com,,?,,com,
Character Insertion,maxporeps.com,,?,,com,
Character Insertion,maxprepos.com,,?,,com,
Character Insertion,maxprepsa.com,,?,,com,
Character Insertion,maxprepsd.com,,?,,com,
Character Insertion,maxprerps.com,,?,,com,
Character Insertion,maxprewps.com,,?,,com,
Character Insertion,maxprteps.com,,?,,com,
Character Insertion,maxzpreps.com,,?,,com,
Character Insertion,mnaxpreps.com,,?,,com,
Missing Dot,maxprepscom.com,,?,,com,
Missing Dot,wwwmaxpreps.com,185.53.178.24,,mail.h-email.net,com,
Vowel Swap,maxpraps.com,,?,,com,
Vowel Swap,maxprips.com,,?,,com,
Vowel Swap,maxprops.com,50.63.202.62,US,UNITED STATES,mailstore1.secureserver.net,com,
Vowel Swap,maxprups.com,,?,,com,
Vowel Swap,mexpreps.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Vowel Swap,mixpreps.com,,?,,com,
Vowel Swap,moxpreps.com,,?,,com,
Vowel Swap,muxpreps.com,,?,,com,
Homophones,mactspreps.com,,?,,com,
Homophones,maxepreps.com,,?,,com,
Bit Flipping,-axpreps.com,,?,,com,
Bit Flipping,eaxpreps.com,,?,,com,
Bit Flipping,iaxpreps.com,,?,,com,
Bit Flipping,laxpreps.com,50.63.202.45,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,ma8preps.com,,?,,com,
Bit Flipping,mahpreps.com,,?,,com,
Bit Flipping,mappreps.com,,?,,com,
Bit Flipping,max0reps.com,,?,,com,
Bit Flipping,maxp2eps.com,,?,,com,
Bit Flipping,maxpbeps.com,,?,,com,
Bit Flipping,maxppeps.com,,?,,com,
Bit Flipping,maxprdps.com,,?,,com,
Bit Flipping,maxpre0s.com,,?,,com,
Bit Flipping,maxprep3.com,,?,,com,
Bit Flipping,maxprepc.com,,?,,com,
Bit Flipping,maxprepq.com,,?,,com,
Bit Flipping,maxprepr.com,199.188.206.82,US,UNITED STATES,mail.maxprepr.com,com,
Bit Flipping,maxprepw.com,,?,,com,
Bit Flipping,maxpreqs.com,,?,,com,
Bit Flipping,maxprers.com,,?,,com,
Bit Flipping,maxprets.com,185.53.178.6,,,com,
Bit Flipping,maxprexs.com,,?,,com,
Bit Flipping,maxprgps.com,,?,,com,
Bit Flipping,maxprmps.com,,?,,com,
Bit Flipping,maxpseps.com,,?,,com,
Bit Flipping,maxpveps.com,,?,,com,
Bit Flipping,maxpzeps.com,,?,,com,
Bit Flipping,maxqreps.com,,?,,com,
Bit Flipping,maxrreps.com,,?,,com,
Bit Flipping,maxtreps.com,,?,,com,
Bit Flipping,maxxreps.com,,?,,com,
Bit Flipping,maypreps.com,,?,,com,
Bit Flipping,mcxpreps.com,,?,,com,
Bit Flipping,mqxpreps.com,,?,,com,
Bit Flipping,oaxpreps.com,,?,,com,
Homoglyphs,rnaxpreps.com,,?,,com,
Wrong TLD,maxpreps.ca,,?,,ca,
