Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mbrading.com,50.63.202.16,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,mbtading.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,mbtradig.com,,?,,com,
Character Omission,mbtradin.com,,?,,com,
Character Omission,mbtrading.cm,,?,,cm,
Character Omission,mbtradng.com,,?,,com,
Character Omission,mbtraing.com,50.63.202.2,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Omission,mbtrding.com,184.168.221.12,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,mtrading.com,54.72.241.30,CR,COSTA RICA,alt2.aspmx.l.google.com,com,
Character Repeat,mbbtrading.com,192.254.235.106,,mail.mbbtrading.com,com,
Character Repeat,mbtraading.com,50.63.202.16,US,UNITED STATES,smtp.secureserver.net,com,
Character Repeat,mbtradding.com,50.63.202.26,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Repeat,mbtradiing.com,,?,,com,
Character Repeat,mbtradingg.com,,?,,com,
Character Repeat,mbtradinng.com,,?,,com,
Character Repeat,mbtrrading.com,,?,,com,
Character Repeat,mbttrading.com,208.91.196.28,VG,VIRGIN ISLANDS (BRITISH),mail.b-io.co,com,
Character Repeat,mmbtrading.com,198.71.232.3,,aspmx.l.google.com,com,
Character Swap,bmtrading.com,173.239.23.228,CA,CANADA,,com,
Character Swap,mbrtading.com,,?,,com,
Character Swap,mbtarding.com,,?,,com,
Character Swap,mbtradign.com,,?,,com,
Character Swap,mbtradnig.com,,?,,com,
Character Swap,mbtraidng.com,,?,,com,
Character Swap,mbtrdaing.com,,?,,com,
Character Swap,mtbrading.com,,?,,com,
Character Replacement,mbrrading.com,,?,,com,
Character Replacement,mbteading.com,,?,,com,
Character Replacement,mbtradibg.com,,?,,com,
Character Replacement,mbtradimg.com,50.63.202.29,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Replacement,mbtradinf.com,,?,,com,
Character Replacement,mbtradinh.com,184.168.221.11,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Replacement,mbtradong.com,,?,,com,
