Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mdlineplus.gov,,?,,gov,
Character Omission,medineplus.gov,,?,,gov,
Character Omission,medlieplus.gov,,?,,gov,
Character Omission,medlinelus.gov,,?,,gov,
Character Omission,medlinepls.gov,,?,,gov,
Character Omission,medlineplu.gov,,?,,gov,
Character Omission,medlinepus.gov,,?,,gov,
Character Omission,medlinplus.gov,,?,,gov,
Character Omission,medlneplus.gov,,?,,gov,
Character Omission,melineplus.gov,,?,,gov,
Character Repeat,meddlineplus.gov,,?,,gov,
Character Repeat,medliineplus.gov,,?,,gov,
Character Repeat,medlineeplus.gov,,?,,gov,
Character Repeat,medlinepllus.gov,,?,,gov,
Character Repeat,medlinepluss.gov,,?,,gov,
Character Repeat,medlinepluus.gov,,?,,gov,
Character Repeat,medlinepplus.gov,,?,,gov,
Character Repeat,medlinneplus.gov,,?,,gov,
Character Repeat,medllineplus.gov,,?,,gov,
Character Repeat,meedlineplus.gov,,?,,gov,
Character Repeat,mmedlineplus.gov,,?,,gov,
Character Swap,emdlineplus.gov,,?,,gov,
Character Swap,mdelineplus.gov,,?,,gov,
Character Swap,medilneplus.gov,,?,,gov,
Character Swap,medlienplus.gov,,?,,gov,
Character Swap,medlinelpus.gov,,?,,gov,
Character Swap,medlineplsu.gov,,?,,gov,
Character Swap,medlinepuls.gov,,?,,gov,
Character Swap,medlinpelus.gov,,?,,gov,
Character Swap,medlnieplus.gov,,?,,gov,
Character Swap,meldineplus.gov,,?,,gov,
Character Replacement,medkineplus.gov,,?,,gov,
Character Replacement,medlibeplus.gov,,?,,gov,
Character Replacement,medlimeplus.gov,,?,,gov,
Character Replacement,medlineolus.gov,,?,,gov,
Character Replacement,medlinepkus.gov,,?,,gov,
Character Replacement,medlineplis.gov,,?,,gov,
Character Replacement,medlineplua.gov,,?,,gov,
Character Replacement,medlineplud.gov,,?,,gov,
Character Replacement,medlineplys.gov,,?,,gov,
Character Replacement,medlinrplus.gov,,?,,gov,
Character Replacement,medlinwplus.gov,,?,,gov,
Character Replacement,medloneplus.gov,,?,,gov,
Character Replacement,medluneplus.gov,,?,,gov,
Character Replacement,meflineplus.gov,,?,,gov,
Character Replacement,meslineplus.gov,,?,,gov,
Character Replacement,mrdlineplus.gov,,?,,gov,
Character Replacement,mwdlineplus.gov,,?,,gov,
Character Replacement,nedlineplus.gov,,?,,gov,
Character Insertion,medflineplus.gov,,?,,gov,
Character Insertion,medlinbeplus.gov,,?,,gov,
