Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mdscape.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,medcape.com,24.89.132.150,ES,SPAIN,,com,
Character Omission,medsape.com,24.89.132.150,US,UNITED STATES,,com,
Character Omission,medscae.com,185.53.178.8,,mail.h-email.net,com,
Character Omission,medscap.com,24.89.132.150,RO,ROMANIA,,com,
Character Omission,medscape.cm,,?,,cm,
Character Omission,medscpe.com,24.89.132.150,US,UNITED STATES,,com,
Character Omission,mescape.com,208.91.196.182,US,UNITED STATES,,com,
Character Repeat,meddscape.com,,?,,com,
Character Repeat,medscaape.com,,?,,com,
Character Repeat,medscapee.com,,?,,com,
Character Repeat,medscappe.com,,?,,com,
Character Repeat,medsccape.com,185.53.179.7,,mail.h-email.net,com,
Character Repeat,medsscape.com,85.17.25.242,NL,NETHERLANDS,,com,
Character Repeat,meedscape.com,,?,,com,
Character Repeat,mmedscape.com,,?,,com,
Character Swap,emdscape.com,,?,,com,
Character Swap,mdescape.com,207.148.248.145,US,UNITED STATES,,com,
Character Swap,medcsape.com,199.191.50.73,,,com,
Character Swap,medsacpe.com,185.53.179.6,,mail.h-email.net,com,
Character Swap,medscaep.com,,?,,com,
Character Swap,medscpae.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,mesdcape.com,67.55.92.187,US,UNITED STATES,mx7.mesdcape.com,com,
Character Replacement,medacape.com,103.224.182.252,,mx92.m1bp.com,com,
Character Replacement,meddcape.com,,?,,com,
Character Replacement,medscaoe.com,54.72.11.253,CH,SWITZERLAND,mail.h-email.net,com,
Character Replacement,medscapr.com,67.55.92.187,US,UNITED STATES,mx7.medscapr.com,com,
Character Replacement,medscapw.com,,?,,com,
Character Replacement,medscspe.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Replacement,medsvape.com,,?,,com,
Character Replacement,medsxape.com,,?,,com,
Character Replacement,mefscape.com,,?,,com,
Character Replacement,messcape.com,,?,,com,
Character Replacement,mrdscape.com,54.217.222.113,Çñ,,mail.h-email.net,com,
Character Replacement,mwdscape.com,,?,,com,
Character Replacement,nedscape.com,69.5.28.52,US,UNITED STATES,mx.futurequest.net,com,
Character Insertion,medfscape.com,,?,,com,
Character Insertion,medsacape.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Insertion,medscaper.com,184.168.221.40,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,medscapew.com,,?,,com,
Character Insertion,medscapoe.com,184.168.221.104,US,UNITED STATES,,com,
Character Insertion,medscaspe.com,,?,,com,
Character Insertion,medscvape.com,,?,,com,
Character Insertion,medscxape.com,,?,,com,
Character Insertion,medsdcape.com,,?,,com,
Character Insertion,merdscape.com,,?,,com,
Character Insertion,mewdscape.com,,?,,com,
Character Insertion,mnedscape.com,,?,,com,
Missing Dot,medscapecom.com,,?,,com,
Missing Dot,wwwmedscape.com,141.8.224.25,CH,SWITZERLAND,,com,
Singular or Pluralise,medscapes.com,52.58.78.16,US,UNITED STATES,mail.mailer-host.com,com,
Vowel Swap,madscapa.com,,?,,com,
Vowel Swap,medscepe.com,104.16.88.230,,mx.medscepe.com.cust.b.hostedemail.com,com,
Vowel Swap,medscipe.com,,?,,com,
Vowel Swap,medscope.com,216.40.47.17,CA,CANADA,mx.medscope.com,com,
Vowel Swap,medscupe.com,,?,,com,
Vowel Swap,midscapi.com,,?,,com,
Vowel Swap,modscapo.com,,?,,com,
Vowel Swap,mudscapu.com,,?,,com,
Bit Flipping,-edscape.com,,?,,com,
Bit Flipping,eedscape.com,,?,,com,
Bit Flipping,iedscape.com,,?,,com,
Bit Flipping,ledscape.com,72.52.4.122,US,UNITED STATES,localhost,com,
