Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,meacritic.com,,?,,com,
Character Omission,metacitic.com,37.48.65.143,NL,NETHERLANDS,,com,
Character Omission,metacriic.com,,?,,com,
Character Omission,metacritc.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,metacriti.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,metacritic.cm,,?,,cm,
Character Omission,metacrtic.com,199.191.50.73,,,com,
Character Omission,metaritic.com,78.41.204.27,UA,UKRAINE,,com,
Character Omission,metcritic.com,199.191.50.17,,,com,
Character Omission,mtacritic.com,,?,,com,
Character Repeat,meetacritic.com,,?,,com,
Character Repeat,metaacritic.com,,?,,com,
Character Repeat,metaccritic.com,,?,,com,
Character Repeat,metacriitic.com,,?,,com,
Character Repeat,metacriticc.com,,?,,com,
Character Repeat,metacritiic.com,,?,,com,
Character Repeat,metacrittic.com,,?,,com,
Character Repeat,metacrritic.com,,?,,com,
Character Repeat,mettacritic.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,mmetacritic.com,,?,,com,
Character Swap,emtacritic.com,,?,,com,
Character Swap,meatcritic.com,199.191.50.73,,,com,
Character Swap,metacirtic.com,,?,,com,
Character Swap,metacriitc.com,,?,,com,
Character Swap,metacritci.com,,?,,com,
Character Swap,metacrtiic.com,,?,,com,
Character Swap,metarcitic.com,185.53.179.7,,mail.h-email.net,com,
Character Swap,metcaritic.com,,?,,com,
Character Swap,mteacritic.com,,?,,com,
Character Replacement,meracritic.com,,?,,com,
Character Replacement,metaceitic.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,metacriric.com,78.41.204.29,US,UNITED STATES,,com,
Character Replacement,metacritiv.com,,?,,com,
Character Replacement,metacritix.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,metacritoc.com,103.224.182.243,,mx92.mb5p.com,com,
Character Replacement,metacrituc.com,141.8.224.93,ßÿ,,,com,
Character Replacement,metacriyic.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,metacrotic.com,,?,,com,
Character Replacement,metacrutic.com,,?,,com,
Character Replacement,metactitic.com,67.55.92.184,,mx7.metactitic.com,com,
Character Replacement,metavritic.com,23.239.26.205,,mail.mxproc.com,com,
Character Replacement,metaxritic.com,,?,,com,
Character Replacement,metscritic.com,,?,,com,
Character Replacement,meyacritic.com,,?,,com,
Character Replacement,mrtacritic.com,209.99.40.223,CN,CHINA,,com,
Character Replacement,mwtacritic.com,,?,,com,
Character Replacement,netacritic.com,67.55.121.97,US,UNITED STATES,,com,
Character Insertion,mertacritic.com,,?,,com,
Character Insertion,metacreitic.com,,?,,com,
Character Insertion,metacriotic.com,,?,,com,
Character Insertion,metacriticv.com,,?,,com,
Character Insertion,metacriticx.com,,?,,com,
Character Insertion,metacritioc.com,,?,,com,
Character Insertion,metacritiuc.com,,?,,com,
Character Insertion,metacritric.com,,?,,com,
Character Insertion,metacrityic.com,,?,,com,
Character Insertion,metacriutic.com,,?,,com,
Character Insertion,metacrtitic.com,208.91.197.54,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,metacvritic.com,,?,,com,
Character Insertion,metacxritic.com,,?,,com,
Character Insertion,metascritic.com,,?,,com,
Character Insertion,metracritic.com,208.91.196.126,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,metyacritic.com,,?,,com,
Character Insertion,mewtacritic.com,,?,,com,
Character Insertion,mnetacritic.com,,?,,com,
Missing Dot,metacriticcom.com,,?,,com,
Missing Dot,wwwmetacritic.com,,?,,com,
Singular or Pluralise,metacritics.com,23.23.171.117,US,UNITED STATES,,com,
Vowel Swap,matacritic.com,,?,,com,
Vowel Swap,metacratac.com,,?,,com,
Vowel Swap,metacretec.com,,?,,com,
Vowel Swap,metacrotoc.com,,?,,com,
Vowel Swap,metacrutuc.com,,?,,com,
Vowel Swap,metecritic.com,,?,,com,
Vowel Swap,meticritic.com,23.23.171.117,US,UNITED STATES,,com,
Vowel Swap,metocritic.com,,?,,com,
Vowel Swap,metucritic.com,,?,,com,
Vowel Swap,mitacritic.com,,?,,com,
Vowel Swap,motacritic.com,,?,,com,
Vowel Swap,mutacritic.com,,?,,com,
Homophones,metacrayetayec.com,,?,,com,
Homophones,metacreyeteyec.com,,?,,com,
Bit Flipping,-etacritic.com,,?,,com,
Bit Flipping,eetacritic.com,,?,,com,
Bit Flipping,ietacritic.com,,?,,com,
Bit Flipping,letacritic.com,,?,,com,
Bit Flipping,mdtacritic.com,,?,,com,
Bit Flipping,me4acritic.com,,?,,com,
Bit Flipping,medacritic.com,184.73.243.78,US,UNITED STATES,,com,
Bit Flipping,mepacritic.com,,?,,com,
Bit Flipping,metaaritic.com,,?,,com,
Bit Flipping,metabritic.com,,?,,com,
Bit Flipping,metac2itic.com,,?,,com,
Bit Flipping,metacbitic.com,,?,,com,
Bit Flipping,metacpitic.com,,?,,com,
Bit Flipping,metacratic.com,,?,,com,
Bit Flipping,metacrhtic.com,,?,,com,
Bit Flipping,metacri4ic.com,,?,,com,
Bit Flipping,metacridic.com,,?,,com,
Bit Flipping,metacripic.com,,?,,com,
Bit Flipping,metacritac.com,,?,,com,
Bit Flipping,metacrithc.com,,?,,com,
Bit Flipping,metacritia.com,,?,,com,
Bit Flipping,metacritib.com,,?,,com,
Bit Flipping,metacritig.com,,?,,com,
Bit Flipping,metacritik.com,217.70.184.38,FR,FRANCE,fb.mail.gandi.net,com,
Bit Flipping,metacritis.com,,?,,com,
Bit Flipping,metacritkc.com,,?,,com,
Bit Flipping,metacritmc.com,,?,,com,
Bit Flipping,metacrityc.com,,?,,com,
Bit Flipping,metacriuic.com,,?,,com,
Bit Flipping,metacrivic.com,,?,,com,
Bit Flipping,metacrktic.com,,?,,com,
Bit Flipping,metacrmtic.com,,?,,com,
