Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,miecraft.net,72.52.4.122,US,UNITED STATES,localhost,net,
Character Omission,mincraft.net,45.33.9.234,,mail.pickelhost.com,net,
Character Omission,minecaft.net,72.52.4.122,US,UNITED STATES,localhost,net,
Character Omission,minecraf.net,103.224.212.248,,mx92.mb5p.com,net,
Character Omission,minecraft.ne,,?,,ne,
Character Omission,minecrat.net,85.17.25.202,NL,NETHERLANDS,,net,
Character Omission,minecrft.net,85.17.25.214,[Ã,,,net,
Character Omission,mineraft.net,158.69.143.112,US,UNITED STATES,,net,
Character Omission,mnecraft.net,68.178.213.61,US,UNITED STATES,,net,
Character Repeat,miinecraft.net,103.224.212.254,,mx92.mb5p.com,net,
Character Repeat,mineccraft.net,103.224.212.222,,mx92.m1bp.com,net,
Character Repeat,minecraaft.net,103.224.212.248,,mx92.mb5p.com,net,
Character Repeat,minecrafft.net,185.53.179.6,,,net,
Character Repeat,minecraftt.net,103.224.212.249,,mx92.mb5p.com,net,
Character Repeat,minecrraft.net,103.224.182.245,,park-mx.above.com,net,
Character Repeat,mineecraft.net,81.171.22.6,GB,UNITED KINGDOM,,net,
Character Repeat,minnecraft.net,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,net,
Character Repeat,mminecraft.net,103.224.212.251,,mx92.mb5p.com,net,
Character Swap,imnecraft.net,185.53.179.7,,mail.h-email.net,net,
Character Swap,miencraft.net,103.224.212.249,,mx92.m1bp.com,net,
Character Swap,minceraft.net,103.224.212.253,,mx92.mb5p.com,net,
Character Swap,minecarft.net,85.17.25.215,IN,INDIA,,net,
Character Swap,minecratf.net,103.224.212.245,,park-mx.above.com,net,
Character Swap,minecrfat.net,103.224.182.210,,mx92.mb5p.com,net,
Character Swap,minercaft.net,103.224.212.240,,mx92.m1bp.com,net,
Character Swap,mniecraft.net,103.224.212.222,,mx92.m1bp.com,net,
Character Replacement,mibecraft.net,199.191.50.73,,,net,
Character Replacement,mimecraft.net,,?,,net,
Character Replacement,mineceaft.net,68.178.213.61,US,UNITED STATES,,net,
Character Replacement,minecradt.net,103.224.182.207,,mx92.mb5p.com,net,
Character Replacement,minecrafr.net,103.224.182.251,,park-mx.above.com,net,
Character Replacement,minecrafy.net,103.224.182.207,,mx92.mb5p.com,net,
Character Replacement,minecragt.net,103.224.182.214,,mx92.m1bp.com,net,
Character Replacement,minecrsft.net,103.224.182.207,,mx92.m1bp.com,net,
Character Replacement,minectaft.net,199.191.50.73,,,net,
Character Replacement,minevraft.net,91.195.241.72,DE,GERMANY,,net,
Character Replacement,minexraft.net,103.224.212.222,,mx92.m1bp.com,net,
Character Replacement,minrcraft.net,103.224.212.243,,mx92.m1bp.com,net,
Character Replacement,minwcraft.net,199.191.50.73,,,net,
Character Replacement,monecraft.net,185.53.179.8,,mail.h-email.net,net,
Character Replacement,munecraft.net,67.55.92.182,US,UNITED STATES,mx7.munecraft.net,net,
Character Replacement,ninecraft.net,158.69.143.112,US,UNITED STATES,,net,
Character Insertion,minbecraft.net,67.55.92.184,US,UNITED STATES,mx7.minbecraft.net,net,
Character Insertion,minecrafdt.net,103.224.212.239,,mx92.mb5p.com,net,
Character Insertion,minecrafgt.net,67.55.92.184,US,UNITED STATES,mx7.minecrafgt.net,net,
Character Insertion,minecraftr.net,72.52.4.122,US,UNITED STATES,localhost,net,
Character Insertion,minecrafty.net,47.190.14.22,CA,CANADA,nike.lostserver.net,net,
Character Insertion,minecrasft.net,103.224.212.222,,mx92.mb5p.com,net,
Character Insertion,minecreaft.net,103.224.212.251,,mx92.m1bp.com,net,
Character Insertion,minecrtaft.net,68.178.213.61,US,UNITED STATES,,net,
Character Insertion,minecvraft.net,103.224.212.222,,mx92.mb5p.com,net,
Character Insertion,minecxraft.net,67.55.92.184,BB,BARBADOS,mx7.minecxraft.net,net,
Character Insertion,minercraft.net,85.17.25.215,NL,NETHERLANDS,,net,
Character Insertion,minewcraft.net,,?,,net,
Character Insertion,minmecraft.net,103.224.212.231,,park-mx.above.com,net,
Character Insertion,mionecraft.net,199.191.50.73,,,net,
Character Insertion,miunecraft.net,67.55.92.187,US,UNITED STATES,mx7.miunecraft.net,net,
Character Insertion,mninecraft.net,,?,,net,
Missing Dot,minecraftnet.com,69.172.201.153,GB,UNITED KINGDOM,,com,
Missing Dot,wwwminecraft.net,103.224.212.254,,mx92.mb5p.com,net,
Singular or Pluralise,minecrafts.net,107.170.77.204,,,net,
Vowel Swap,manecraft.net,72.52.179.175,MN,MONGOLIA,mx156.hostedmxserver.com,net,
Vowel Swap,menecraft.net,103.224.182.207,,mx92.mb5p.com,net,
