Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mi.edu,104.199.125.83,,alt1.aspmx.l.google.com,edu,
Character Omission,mit.eu,109.106.167.8,EU,EUROPEAN UNION,postduif.natuurpark.nl,eu,
Character Omission,mt.edu,,?,,edu,
Character Repeat,miit.edu,,?,,edu,
Character Repeat,mitt.edu,,?,,edu,
Character Repeat,mmit.edu,,?,,edu,
Character Swap,imt.edu,43.255.154.38,,mail1.imt.edu,edu,
Character Swap,mti.edu,,?,,edu,
Character Replacement,mir.edu,,?,,edu,
Character Replacement,miy.edu,,?,,edu,
Character Replacement,mot.edu,,?,,edu,
Character Replacement,mut.edu,,?,,edu,
Character Replacement,nit.edu,,?,,edu,
Character Insertion,miot.edu,,?,,edu,
Character Insertion,mitr.edu,,?,,edu,
Character Insertion,mity.edu,,?,,edu,
Character Insertion,miut.edu,,?,,edu,
Character Insertion,mnit.edu,,?,,edu,
Missing Dot,mitedu.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Missing Dot,wwwmit.edu,,?,,edu,
Singular or Pluralise,mits.edu,202.71.129.99,IN,INDIA,mail.net4india.com,edu,
Vowel Swap,mat.edu,,?,,edu,
Vowel Swap,met.edu,144.76.173.126,DE,GERMANY,mx.met.edu,edu,
Homophones,mayet.edu,,?,,edu,
Homophones,meyet.edu,,?,,edu,
Bit Flipping,-it.edu,,?,,edu,
Bit Flipping,eit.edu,,?,,edu,
Bit Flipping,iit.edu,216.47.143.249,US,UNITED STATES,aspmx4.googlemail.com,edu,
Bit Flipping,lit.edu,52.173.247.53,US,UNITED STATES,mailgate.lit.edu,edu,
Bit Flipping,mht.edu,,?,,edu,
Bit Flipping,mi4.edu,,?,,edu,
Bit Flipping,mid.edu,,?,,edu,
Bit Flipping,mip.edu,,?,,edu,
Bit Flipping,miu.edu,204.200.195.88,US,UNITED STATES,aspmx.l.google.com,edu,
Bit Flipping,miv.edu,,?,,edu,
Bit Flipping,mkt.edu,,?,,edu,
Bit Flipping,mmt.edu,,?,,edu,
Bit Flipping,myt.edu,,?,,edu,
Bit Flipping,oit.edu,140.211.128.21,US,UNITED STATES,barracuda.oit.edu,edu,
Homoglyphs,mlt.edu,,?,,edu,
Homoglyphs,rnit.edu,,?,,edu,
Wrong TLD,mit.ca,199.59.242.150,CN,CHINA,mx76.m2bp.com,ca,
Wrong TLD,mit.ch,149.126.6.126,CH,SWITZERLAND,mit-ch.mail.protection.outlook.com,ch,
Wrong TLD,mit.com,,?,,com,
Wrong TLD,mit.de,148.251.247.155,DE,GERMANY,mx.mit.de,de,
Wrong TLD,mit.es,37.152.88.55,ES,SPAIN,,es,
Wrong TLD,mit.fr,95.142.101.112,ŒÕ,,mx01.nexthal.com,fr,
Wrong TLD,mit.it,46.252.155.131,IT,ITALY,mx.mit.it,it,
Wrong TLD,mit.jp,,?,mail.mit.jp,jp,
Wrong TLD,mit.net,,?,p.webcom.ctmail.com,net,
Wrong TLD,mit.nl,37.97.254.27,RO,ROMANIA,mit.nl,nl,
Wrong TLD,mit.no,89.221.243.251,SE,SWEDEN,mit.no,no,
Wrong TLD,mit.org,18.7.22.69,US,UNITED STATES,mit-org.mail.protection.outlook.com,org,
Wrong TLD,mit.ru,195.20.194.6,RU,RUSSIAN FEDERATION,mail.mit.ru,ru,
Wrong TLD,mit.se,217.70.33.134,SE,SWEDEN,smtp.levonline.com,se,
Wrong TLD,mit.us,74.117.221.209,KY,CAYMAN ISLANDS,,us,

