Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,moilla.org,208.91.196.152,FR,FRANCE,,org,
Character Omission,mozila.org,192.184.12.62,,mx92.mb5p.com,org,
Character Omission,mozill.org,103.224.182.219,,mx92.mb5p.com,org,
Character Omission,mozlla.org,185.53.178.6,,mail.h-email.net,org,
Character Omission,mzilla.org,,?,,org,
Character Repeat,mmozilla.org,192.184.12.62,,mx92.mb5p.com,org,
Character Repeat,moozilla.org,,?,,org,
Character Repeat,moziilla.org,192.184.12.62,,mx92.m1bp.com,org,
Character Repeat,mozillaa.org,164.138.218.50,BG,BULGARIA,mozillaa.org,org,
Character Repeat,mozillla.org,103.224.212.229,,mx92.mb5p.com,org,
Character Repeat,mozzilla.org,208.73.211.177,ID,INDONESIA,,org,
Character Swap,moizlla.org,,?,,org,
Character Swap,mozilal.org,107.149.23.171,,,org,
Character Swap,mozlila.org,,?,,org,
Character Swap,mzoilla.org,,?,,org,
Character Swap,omzilla.org,50.63.202.53,US,UNITED STATES,smtp.secureserver.net,org,
Character Replacement,mizilla.org,78.41.204.29,NL,NETHERLANDS,,org,
Character Replacement,moxilla.org,185.53.179.7,,mail.h-email.net,org,
Character Replacement,mozikla.org,,?,,org,
Character Replacement,mozilka.org,,?,,org,
Character Replacement,mozills.org,,?,,org,
Character Replacement,mozolla.org,103.224.182.247,,park-mx.above.com,org,
Character Replacement,mozulla.org,,?,,org,
Character Replacement,mpzilla.org,,?,,org,
Character Replacement,nozilla.org,73.206.74.61,US,UNITED STATES,mx.no-ip.com,org,
Double Character Replacement,mozikka.org,,?,,org,
Character Insertion,mnozilla.org,,?,,org,
Character Insertion,moizilla.org,,?,,org,
Character Insertion,mopzilla.org,,?,,org,
Character Insertion,mozilkla.org,,?,,org,
Character Insertion,mozillas.org,,?,,org,
Character Insertion,mozillka.org,,?,,org,
Character Insertion,moziolla.org,,?,,org,
Character Insertion,moziulla.org,,?,,org,
Character Insertion,mozxilla.org,,?,,org,
Missing Dot,mozillaorg.com,185.53.178.7,,mail.h-email.net,com,
Missing Dot,wwwmozilla.org,103.224.212.222,,mx92.mb5p.com,org,
Vowel Swap,mozalla.org,,?,,org,
Vowel Swap,mozella.org,78.41.204.29,NL,NETHERLANDS,,org,
Vowel Swap,mozille.org,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,org,
Vowel Swap,mozilli.org,,?,,org,
Vowel Swap,mozillo.org,,?,,org,
Vowel Swap,mozillu.org,,?,,org,
Homophones,mozayella.org,,?,,org,
Homophones,mozeyella.org,,?,,org,
Bit Flipping,-ozilla.org,,?,,org,
Bit Flipping,eozilla.org,,?,,org,
Bit Flipping,iozilla.org,81.19.151.128,AT,AUSTRIA,,org,
Bit Flipping,lozilla.org,50.87.141.14,FI,FINLAND,mail.lozilla.org,org,
Bit Flipping,mgzilla.org,,?,,org,
Bit Flipping,mkzilla.org,,?,,org,
Bit Flipping,mmzilla.org,,?,,org,
Bit Flipping,mnzilla.org,,?,,org,
Bit Flipping,mojilla.org,98.124.245.24,US,UNITED STATES,mail.fabulous.com,org,
Bit Flipping,morilla.org,,?,,org,
Bit Flipping,mozhlla.org,,?,,org,
Bit Flipping,mozidla.org,,?,,org,
Bit Flipping,mozihla.org,,?,,org,
Bit Flipping,mozilda.org,,?,,org,
Bit Flipping,mozilha.org,,?,,org,
Bit Flipping,mozillc.org,,?,,org,
Bit Flipping,mozillq.org,,?,,org,
Bit Flipping,mozilma.org,,?,,org,
Bit Flipping,mozilna.org,,?,,org,
Bit Flipping,mozimla.org,,?,,org,
Bit Flipping,mozinla.org,,?,,org,
Bit Flipping,mozklla.org,,?,,org,
Bit Flipping,mozmlla.org,,?,,org,
Bit Flipping,mozylla.org,,?,,org,
Bit Flipping,oozilla.org,,?,,org,
Homoglyphs,m0zilla.org,,?,,org,
Homoglyphs,mozi11a.org,,?,,org,
Homoglyphs,mozi1la.org,,?,,org,
Homoglyphs,mozil1a.org,,?,,org,
Homoglyphs,mozllla.org,,?,,org,
Homoglyphs,rnozilla.org,,?,,org,
Wrong TLD,mozilla.ca,63.245.213.22,US,UNITED STATES,,ca,
Wrong TLD,mozilla.ch,52.44.126.94,US,UNITED STATES,alt2.aspmx.l.google.com,ch,
Wrong TLD,mozilla.com,63.245.213.17,GB,UNITED KINGDOM,alt2.aspmx.l.google.com,com,
Wrong TLD,mozilla.de,85.13.129.114,DE,GERMANY,aspmx.l.google.com,de,
Wrong TLD,mozilla.edu,,?,,edu,
Wrong TLD,mozilla.es,178.33.115.14,FR,FRANCE,,es,
Wrong TLD,mozilla.fr,63.245.213.22,US,UNITED STATES,,fr,
Wrong TLD,mozilla.it,63.245.213.22,US,UNITED STATES,,it,
Wrong TLD,mozilla.jp,163.221.12.37,JP,JAPAN,ml.mozilla-japan.org,jp,
Wrong TLD,mozilla.net,,?,mx1.scl3.mozilla.com,net,
Wrong TLD,mozilla.nl,213.136.0.188,NL,NETHERLANDS,,nl,
Wrong TLD,mozilla.no,94.231.103.30,DK,DENMARK,mx.unoeuro.com,no,
Wrong TLD,mozilla.ru,195.208.1.105,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,mozilla.se,108.59.84.193,US,UNITED STATES,alt2.aspmx.l.google.com,se,
Wrong TLD,mozilla.us,80.74.147.24,CH,SWITZERLAND,mail.mozilla.us,us,

