Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nantcketbank.com,,?,,com,
Character Omission,nantucetbank.com,,?,,com,
Character Omission,nantuckebank.com,,?,,com,
Character Omission,nantucketank.com,,?,,com,
Character Omission,nantucketbak.com,,?,,com,
Character Omission,nantucketban.com,,?,,com,
Character Omission,nantucketbank.cm,,?,,cm,
Character Omission,nantucketbnk.com,,?,,com,
Character Omission,nantucktbank.com,,?,,com,
Character Omission,nantuketbank.com,,?,,com,
Character Omission,nanucketbank.com,,?,,com,
Character Omission,natucketbank.com,,?,,com,
Character Omission,nntucketbank.com,,?,,com,
Character Repeat,naantucketbank.com,,?,,com,
Character Repeat,nanntucketbank.com,,?,,com,
Character Repeat,nanttucketbank.com,,?,,com,
Character Repeat,nantuccketbank.com,,?,,com,
Character Repeat,nantuckeetbank.com,,?,,com,
Character Repeat,nantucketbaank.com,,?,,com,
Character Repeat,nantucketbankk.com,,?,,com,
Character Repeat,nantucketbannk.com,,?,,com,
Character Repeat,nantucketbbank.com,,?,,com,
Character Repeat,nantuckettbank.com,,?,,com,
Character Repeat,nantuckketbank.com,,?,,com,
Character Repeat,nantuucketbank.com,,?,,com,
Character Repeat,nnantucketbank.com,,?,,com,
Character Swap,anntucketbank.com,,?,,com,
Character Swap,nantcuketbank.com,,?,,com,
Character Swap,nantucektbank.com,,?,,com,
Character Swap,nantuckebtank.com,,?,,com,
Character Swap,nantucketabnk.com,,?,,com,
Character Swap,nantucketbakn.com,,?,,com,
Character Swap,nantucketbnak.com,,?,,com,
Character Swap,nantucktebank.com,,?,,com,
Character Swap,nantukcetbank.com,,?,,com,
Character Swap,nanutcketbank.com,,?,,com,
Character Swap,natnucketbank.com,,?,,com,
Character Swap,nnatucketbank.com,,?,,com,
Character Replacement,bantucketbank.com,,?,,com,
Character Replacement,mantucketbank.com,,?,,com,
Character Replacement,nabtucketbank.com,,?,,com,
Character Replacement,namtucketbank.com,,?,,com,
Character Replacement,nanrucketbank.com,,?,,com,
Character Replacement,nanticketbank.com,,?,,com,
Character Replacement,nantucjetbank.com,,?,,com,
Character Replacement,nantuckerbank.com,,?,,com,
Character Replacement,nantucketbabk.com,,?,,com,
Character Replacement,nantucketbamk.com,,?,,com,
Character Replacement,nantucketbanj.com,,?,,com,
Character Replacement,nantucketbanl.com,,?,,com,
Character Replacement,nantucketbsnk.com,,?,,com,
Character Replacement,nantucketnank.com,,?,,com,
Character Replacement,nantucketvank.com,,?,,com,
Character Replacement,nantuckeybank.com,,?,,com,
Character Replacement,nantuckrtbank.com,,?,,com,
Character Replacement,nantuckwtbank.com,,?,,com,
Character Replacement,nantucletbank.com,,?,,com,
Character Replacement,nantuvketbank.com,,?,,com,
Character Replacement,nantuxketbank.com,,?,,com,
Character Replacement,nantycketbank.com,,?,,com,
Character Replacement,nanyucketbank.com,,?,,com,
Character Replacement,nsntucketbank.com,,?,,com,
Character Insertion,nanbtucketbank.com,,?,,com,
Character Insertion,nanmtucketbank.com,,?,,com,
Character Insertion,nantrucketbank.com,,?,,com,
Character Insertion,nantuckertbank.com,,?,,com,
Character Insertion,nantucketbanbk.com,,?,,com,
Character Insertion,nantucketbankj.com,,?,,com,
Character Insertion,nantucketbankl.com,,?,,com,
Character Insertion,nantucketbanmk.com,,?,,com,
Character Insertion,nantucketbasnk.com,,?,,com,
Character Insertion,nantucketbnank.com,,?,,com,
Character Insertion,nantucketbvank.com,,?,,com,
Character Insertion,nantucketrbank.com,,?,,com,
Character Insertion,nantucketybank.com,,?,,com,
Character Insertion,nantuckewtbank.com,,?,,com,
Character Insertion,nantuckjetbank.com,,?,,com,
Character Insertion,nantuckletbank.com,,?,,com,
Character Insertion,nantucvketbank.com,,?,,com,
Character Insertion,nantucxketbank.com,,?,,com,
Character Insertion,nantuicketbank.com,,?,,com,
Character Insertion,nantuycketbank.com,,?,,com,
Character Insertion,nantyucketbank.com,,?,,com,
Character Insertion,nasntucketbank.com,,?,,com,
Character Insertion,nbantucketbank.com,,?,,com,
Character Insertion,nmantucketbank.com,,?,,com,
Missing Dot,nantucketbankcom.com,,?,,com,
Missing Dot,wwwnantucketbank.com,,?,,com,
Singular or Pluralise,nantucketbanks.com,,?,,com,
Vowel Swap,nantacketbank.com,,?,,com,
Vowel Swap,nantecketbank.com,,?,,com,
Vowel Swap,nantocketbank.com,,?,,com,
Vowel Swap,nantuckatbank.com,,?,,com,
Vowel Swap,nantuckitbank.com,,?,,com,
Vowel Swap,nantuckotbank.com,,?,,com,
Vowel Swap,nantuckutbank.com,,?,,com,
