Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,naionalcityca.gov,,?,,gov,
Character Omission,natinalcityca.gov,,?,,gov,
Character Omission,natioalcityca.gov,,?,,gov,
Character Omission,nationacityca.gov,,?,,gov,
Character Omission,nationalcitca.gov,,?,,gov,
Character Omission,nationalcitya.gov,,?,,gov,
Character Omission,nationalcityc.gov,,?,,gov,
Character Omission,nationalciyca.gov,,?,,gov,
Character Omission,nationalctyca.gov,,?,,gov,
Character Omission,nationalityca.gov,,?,,gov,
Character Omission,nationlcityca.gov,,?,,gov,
Character Omission,natonalcityca.gov,,?,,gov,
Character Omission,ntionalcityca.gov,,?,,gov,
Character Repeat,naationalcityca.gov,,?,,gov,
Character Repeat,natiionalcityca.gov,,?,,gov,
Character Repeat,nationaalcityca.gov,,?,,gov,
Character Repeat,nationalccityca.gov,,?,,gov,
Character Repeat,nationalciityca.gov,,?,,gov,
Character Repeat,nationalcittyca.gov,,?,,gov,
Character Repeat,nationalcitycaa.gov,,?,,gov,
Character Repeat,nationalcitycca.gov,,?,,gov,
Character Repeat,nationalcityyca.gov,,?,,gov,
Character Repeat,nationallcityca.gov,,?,,gov,
Character Repeat,nationnalcityca.gov,,?,,gov,
Character Repeat,natioonalcityca.gov,,?,,gov,
Character Repeat,nattionalcityca.gov,,?,,gov,
Character Repeat,nnationalcityca.gov,,?,,gov,
Character Swap,antionalcityca.gov,,?,,gov,
Character Swap,naitonalcityca.gov,,?,,gov,
Character Swap,natinoalcityca.gov,,?,,gov,
Character Swap,natioanlcityca.gov,,?,,gov,
Character Swap,nationaclityca.gov,,?,,gov,
Character Swap,nationalcitcya.gov,,?,,gov,
Character Swap,nationalcityac.gov,,?,,gov,
Character Swap,nationalciytca.gov,,?,,gov,
Character Swap,nationalctiyca.gov,,?,,gov,
Character Swap,nationalictyca.gov,,?,,gov,
Character Swap,nationlacityca.gov,,?,,gov,
Character Swap,natoinalcityca.gov,,?,,gov,
Character Swap,ntaionalcityca.gov,,?,,gov,
Character Replacement,bationalcityca.gov,,?,,gov,
Character Replacement,mationalcityca.gov,,?,,gov,
Character Replacement,narionalcityca.gov,,?,,gov,
Character Replacement,natiinalcityca.gov,,?,,gov,
Character Replacement,natiobalcityca.gov,,?,,gov,
Character Replacement,natiomalcityca.gov,,?,,gov,
Character Replacement,nationakcityca.gov,,?,,gov,
Character Replacement,nationalciryca.gov,,?,,gov,
Character Replacement,nationalcittca.gov,,?,,gov,
Character Replacement,nationalcituca.gov,,?,,gov,
Character Replacement,nationalcitycs.gov,,?,,gov,
Character Replacement,nationalcityva.gov,,?,,gov,
Character Replacement,nationalcityxa.gov,,?,,gov,
Character Replacement,nationalciyyca.gov,,?,,gov,
Character Replacement,nationalcotyca.gov,,?,,gov,
Character Replacement,nationalcutyca.gov,,?,,gov,
Character Replacement,nationalvityca.gov,,?,,gov,
Character Replacement,nationalxityca.gov,,?,,gov,
Character Replacement,nationslcityca.gov,,?,,gov,
