Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,naionalgeographic.com,185.26.230.129,,,com,
Character Omission,natinalgeographic.com,141.8.224.25,CH,SWITZERLAND,,com,
Character Omission,natioalgeographic.com,103.224.182.221,,mx92.mb5p.com,com,
Character Omission,nationageographic.com,208.73.210.202,US,UNITED STATES,,com,
Character Omission,nationaleographic.com,,?,,com,
Character Omission,nationalgegraphic.com,74.217.81.233,US,UNITED STATES,,com,
Character Omission,nationalgeogaphic.com,,?,,com,
Character Omission,nationalgeograhic.com,98.124.199.100,US,UNITED STATES,,com,
Character Omission,nationalgeographc.com,185.26.230.129,,,com,
Character Omission,nationalgeographi.com,98.124.199.16,US,UNITED STATES,,com,
Character Omission,nationalgeographic.cm,192.64.147.196,,,cm,
Character Omission,nationalgeograpic.com,103.224.182.249,,mx92.mb5p.com,com,
Character Omission,nationalgeogrphic.com,98.124.199.83,US,UNITED STATES,,com,
Character Omission,nationalgeoraphic.com,98.124.199.117,US,UNITED STATES,,com,
Character Omission,nationalgographic.com,74.217.81.233,PL,POLAND,,com,
Character Omission,nationlgeographic.com,208.73.211.165,US,UNITED STATES,,com,
Character Omission,natonalgeographic.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,ntionalgeographic.com,69.172.201.153,US,UNITED STATES,,com,
Character Repeat,naationalgeographic.com,,?,,com,
Character Repeat,natiionalgeographic.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Repeat,nationaalgeographic.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,nationalgeeographic.com,185.26.230.129,,,com,
Character Repeat,nationalgeoggraphic.com,,?,,com,
Character Repeat,nationalgeograaphic.com,95.211.219.67,NL,NETHERLANDS,,com,
Character Repeat,nationalgeographhic.com,,?,,com,
Character Repeat,nationalgeographicc.com,54.221.207.100,bé,,mx94.mb1p.com,com,
Character Repeat,nationalgeographiic.com,,?,,com,
Character Repeat,nationalgeograpphic.com,,?,,com,
Character Repeat,nationalgeogrraphic.com,,?,,com,
Character Repeat,nationalgeoographic.com,,?,,com,
Character Repeat,nationalggeographic.com,103.224.182.246,,mx92.m1bp.com,com,
Character Repeat,nationallgeographic.com,,?,,com,
Character Repeat,nationnalgeographic.com,185.26.230.129,,,com,
Character Repeat,natioonalgeographic.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,nattionalgeographic.com,,?,,com,
Character Repeat,nnationalgeographic.com,127.0.0.1,ZZ,RESERVED,mx156.hostedmxserver.com,com,
Character Swap,antionalgeographic.com,,?,,com,
Character Swap,naitonalgeographic.com,98.124.245.24,US,UNITED STATES,mail.fabulous.com,com,
Character Swap,natinoalgeographic.com,185.26.230.129,,,com,
Character Swap,natioanlgeographic.com,198.50.233.226,,,com,
Character Swap,nationagleographic.com,,?,,com,
Character Swap,nationalegographic.com,,?,,com,
Character Swap,nationalgegoraphic.com,,?,,com,
Character Swap,nationalgeogarphic.com,,?,,com,
Character Swap,nationalgeograhpic.com,209.99.64.18,US,UNITED STATES,,com,
Character Swap,nationalgeographci.com,,?,,com,
Character Swap,nationalgeograpihc.com,,?,,com,
Character Swap,nationalgeogrpahic.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Swap,nationalgeorgaphic.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Swap,nationalgoegraphic.com,208.73.211.177,US,UNITED STATES,,com,
Character Swap,nationlageographic.com,,?,,com,
Character Swap,natoinalgeographic.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Swap,ntaionalgeographic.com,,?,,com,
Character Replacement,bationalgeographic.com,,?,,com,
Character Replacement,mationalgeographic.com,50.117.120.251,UA,UKRAINE,mail.skrimple.com,com,
Character Replacement,narionalgeographic.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,natiinalgeographic.com,,?,,com,
Character Replacement,natiobalgeographic.com,,?,,com,
Character Replacement,natiomalgeographic.com,103.224.182.214,,park-mx.above.com,com,
Character Replacement,nationakgeographic.com,,?,,com,
Character Replacement,nationalfeographic.com,,?,,com,
Character Replacement,nationalgeigraphic.com,,?,,com,
Character Replacement,nationalgeofraphic.com,208.73.211.165,CA,CANADA,,com,
Character Replacement,nationalgeogeaphic.com,,?,,com,
Character Replacement,nationalgeograohic.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,nationalgeograpgic.com,198.50.233.236,,,com,
Character Replacement,nationalgeographiv.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,nationalgeographix.com,,?,,com,
Character Replacement,nationalgeographoc.com,103.224.182.214,,mx92.mb5p.com,com,
Character Replacement,nationalgeographuc.com,,?,,com,
Character Replacement,nationalgeograpjic.com,,?,,com,
Character Replacement,nationalgeogrsphic.com,103.224.182.214,,park-mx.above.com,com,
Character Replacement,nationalgeogtaphic.com,185.26.230.129,,,com,
Character Replacement,nationalgeohraphic.com,,?,,com,
Character Replacement,nationalgepgraphic.com,78.41.204.27,NL,NETHERLANDS,,com,
Character Replacement,nationalgrographic.com,,?,,com,
Character Replacement,nationalgwographic.com,,?,,com,
Character Replacement,nationalheographic.com,,?,,com,
Character Replacement,nationslgeographic.com,198.50.233.237,,,com,
Character Replacement,natipnalgeographic.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,natoonalgeographic.com,,?,,com,
Character Replacement,natuonalgeographic.com,,?,,com,
Character Replacement,nayionalgeographic.com,,?,,com,
Character Replacement,nstionalgeographic.com,,?,,com,
Character Insertion,nastionalgeographic.com,,?,,com,
Character Insertion,natioinalgeographic.com,,?,,com,
Character Insertion,nationalgeogfraphic.com,,?,,com,
