Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,naionwide.com,,?,,com,
Character Omission,natinwide.com,185.53.178.8,,mail.h-email.net,com,
Character Omission,nationide.com,103.224.212.253,,mx92.m1bp.com,com,
Character Omission,nationwde.com,81.171.22.7,›À,,,com,
Character Omission,nationwid.com,155.188.165.139,CA,CANADA,hogan.nationwide.com,com,
Character Omission,nationwide.cm,85.25.199.30,H5,,mx1.emailparking.com,cm,
Character Omission,nationwie.com,51.254.28.162,PH,PHILIPPINES,,com,
Character Omission,natiowide.com,155.188.165.139,US,UNITED STATES,pepper.nationwide.com,com,
Character Omission,natonwide.com,155.188.165.139,US,UNITED STATES,hogan.nationwide.com,com,
Character Omission,ntionwide.com,,?,,com,
Character Repeat,naationwide.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,natiionwide.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,nationnwide.com,185.53.178.7,,mail.h-email.net,com,
Character Repeat,nationwidde.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,nationwidee.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,nationwiide.com,72.52.4.122,²þ,,localhost,com,
Character Repeat,nationwwide.com,95.211.219.67,US,UNITED STATES,,com,
Character Repeat,natioonwide.com,72.52.178.23,¶6,,allmail.parklogic.com,com,
Character Repeat,nattionwide.com,95.211.219.66,US,UNITED STATES,,com,
Character Repeat,nnationwide.com,76.74.212.106,US,UNITED STATES,,com,
Character Swap,antionwide.com,,?,,com,
Character Swap,naitonwide.com,69.172.201.153,CA,CANADA,,com,
Character Swap,natinowide.com,,?,,com,
Character Swap,nationiwde.com,,?,,com,
Character Swap,nationwdie.com,155.188.165.139,US,UNITED STATES,raza.nationwide.com,com,
Character Swap,nationwied.com,184.168.221.37,US,UNITED STATES,,com,
Character Swap,natiownide.com,,?,,com,
Character Swap,natoinwide.com,185.53.178.7,,,com,
Character Swap,ntaionwide.com,,?,,com,
Character Replacement,bationwide.com,204.11.56.48,,,com,
Character Replacement,mationwide.com,81.171.22.4,NL,NETHERLANDS,,com,
Character Replacement,narionwide.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,natiinwide.com,,?,,com,
Character Replacement,natiobwide.com,155.188.165.139,US,UNITED STATES,obadiah.nationwide.com,com,
Character Replacement,natiomwide.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,nationeide.com,98.124.199.58,US,UNITED STATES,,com,
Character Replacement,nationqide.com,103.224.182.247,,mx92.mb5p.com,com,
Character Replacement,nationwidr.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,nationwidw.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,nationwife.com,185.53.179.6,,mail.h-email.net,com,
Character Replacement,nationwise.com,77.104.139.82,RO,ROMANIA,mx10.mailspamprotection.com,com,
Character Replacement,nationwode.com,,?,,com,
Character Replacement,nationwude.com,103.224.212.233,,mx92.mb5p.com,com,
Character Replacement,natipnwide.com,185.53.178.6,,,com,
Character Replacement,natoonwide.com,155.188.165.139,Cæ,,hogan.nationwide.com,com,
Character Replacement,natuonwide.com,95.211.219.66,NL,NETHERLANDS,,com,
Character Replacement,nayionwide.com,103.224.212.244,,mx92.m1bp.com,com,
Character Replacement,nstionwide.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Insertion,nastionwide.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Insertion,natioinwide.com,208.91.196.74,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,nationbwide.com,155.188.165.139,CO,COLOMBIA,raza.nationwide.com,com,
Character Insertion,nationmwide.com,,?,,com,
Character Insertion,nationweide.com,,?,,com,
Character Insertion,nationwider.com,185.53.178.8,,mail.h-email.net,com,
Character Insertion,nationwidew.com,,?,,com,
Character Insertion,nationwidfe.com,,?,,com,
Character Insertion,nationwidse.com,,?,,com,
Character Insertion,nationwiode.com,,?,,com,
Character Insertion,nationwiude.com,,?,,com,
Character Insertion,nationwqide.com,,?,,com,
Character Insertion,natiopnwide.com,,?,,com,
Character Insertion,natiuonwide.com,,?,,com,
Character Insertion,natrionwide.com,,?,,com,
Character Insertion,natyionwide.com,,?,,com,
Character Insertion,nbationwide.com,,?,,com,
Character Insertion,nmationwide.com,184.168.221.104,US,UNITED STATES,,com,
Missing Dot,nationwidecom.com,5.22.149.135,DE,GERMANY,,com,
Missing Dot,wwwnationwide.com,,?,,com,
Singular or Pluralise,nationwides.com,52.71.185.125,US,UNITED STATES,,com,
Vowel Swap,nataonwade.com,,?,,com,
Vowel Swap,nateonwede.com,,?,,com,
Vowel Swap,nationwida.com,,?,,com,
Vowel Swap,nationwidi.com,,?,,com,
Vowel Swap,nationwido.com,,?,,com,
Vowel Swap,nationwidu.com,,?,,com,
Vowel Swap,natoonwode.com,,?,,com,
Vowel Swap,natuonwude.com,,?,,com,
Vowel Swap,netionwide.com,95.211.219.65,AU,AUSTRALIA,,com,
Vowel Swap,nitionwide.com,,?,,com,
Vowel Swap,notionwide.com,72.52.4.122,US,UNITED STATES,localhost,com,
Vowel Swap,nutionwide.com,,?,,com,
Homophones,natayeonwayede.com,,?,,com,
Homophones,nateyeonweyede.com,,?,,com,
Bit Flipping,.ationwide.com,,?,,com,
Bit Flipping,fationwide.com,,?,,com,
Bit Flipping,jationwide.com,,?,,com,
Bit Flipping,lationwide.com,,?,,com,
Bit Flipping,na4ionwide.com,,?,,com,
Bit Flipping,nadionwide.com,,?,,com,
Bit Flipping,napionwide.com,,?,,com,
Bit Flipping,nataonwide.com,,?,,com,
Bit Flipping,nathonwide.com,,?,,com,
Bit Flipping,natignwide.com,,?,,com,
Bit Flipping,natiknwide.com,,?,,com,
Bit Flipping,natimnwide.com,,?,,com,
Bit Flipping,natinnwide.com,,?,,com,
Bit Flipping,natio.wide.com,,?,,com,
Bit Flipping,natiofwide.com,,?,,com,
Bit Flipping,natiojwide.com,,?,,com,
