Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,na.com,208.100.38.104,US,UNITED STATES,na-com.mail.protection.outlook.com,com,
Character Omission,nb.com,63.117.9.181,US,UNITED STATES,mx0a-0017ae02.pphosted.com,com,
Character Omission,nba.cm,,?,,cm,
Character Repeat,nbaa.com,104.25.101.117,,,com,
Character Repeat,nbba.com,184.168.221.53,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Repeat,nnba.com,,?,,com,
Character Swap,bna.com,170.75.226.42,,bna-com.mail.protection.outlook.com,com,
Character Swap,nab.com,,?,,com,
Character Replacement,bba.com,192.64.147.192,,,com,
Character Replacement,mba.com,107.154.102.70,,mx1.gmac.iphmx.com,com,
Character Replacement,nbs.com,12.47.138.50,US,UNITED STATES,nbs-com.mail.protection.outlook.com,com,
Character Replacement,nna.com,192.64.147.192,,,com,
Character Replacement,nva.com,63.251.38.172,US,UNITED STATES,mail.nva.com,com,
Character Insertion,nbas.com,67.55.92.183,CR,COSTA RICA,mx7.nbas.com,com,
Character Insertion,nbna.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,nbva.com,141.8.225.80,CH,SWITZERLAND,,com,
Character Insertion,nmba.com,108.175.168.68,US,UNITED STATES,nmba.com,com,
Missing Dot,nbacom.com,103.224.182.252,,mx92.mb5p.com,com,
Missing Dot,wwwnba.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Vowel Swap,nbe.com,184.168.221.104,US,UNITED STATES,,com,
Vowel Swap,nbi.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,nbo.com,194.9.95.105,SE,SWEDEN,,com,
Vowel Swap,nbu.com,,?,ns2.nbu.com,com,
Bit Flipping,.ba.com,163.166.156.201,GB,UNITED KINGDOM,ba-com.mail.protection.outlook.com,com,
Bit Flipping,fba.com,109.109.128.102,GB,UNITED KINGDOM,mx.zoho.com,com,
Bit Flipping,jba.com,173.236.224.61,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Bit Flipping,lba.com,66.96.146.129,US,UNITED STATES,mx.lba.com,com,
Bit Flipping,nbc.com,23.202.232.140,,mx0b-00176a04.pphosted.com,com,
Bit Flipping,nbq.com,75.126.102.241,US,UNITED STATES,,com,
Bit Flipping,nca.com,104.239.189.26,,,com,
Bit Flipping,nfa.com,216.22.21.83,US,UNITED STATES,cluster8.us.messagelabs.com,com,
Bit Flipping,nja.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,nra.com,184.168.221.23,GB,UNITED KINGDOM,,com,
Bit Flipping,oba.com,71.146.225.102,US,UNITED STATES,all.secureyourmail.com,com,
Wrong TLD,nba.ca,54.84.45.2,US,UNITED STATES,,ca,
Wrong TLD,nba.ch,80.74.133.2,CH,SWITZERLAND,mail.nba.ch,ch,
Wrong TLD,nba.de,54.84.45.2,JP,JAPAN,,de,
Wrong TLD,nba.edu,,?,,edu,
Wrong TLD,nba.es,54.84.45.2,US,UNITED STATES,,es,
Wrong TLD,nba.fr,178.33.198.14,FR,FRANCE,mx.mailbox.orange-business.com,fr,
Wrong TLD,nba.it,209.15.13.134,US,UNITED STATES,mail.b-io.co,it,
Wrong TLD,nba.jp,150.95.255.38,JP,JAPAN,,jp,
Wrong TLD,nba.net,54.84.45.2,US,UNITED STATES,,net,
Wrong TLD,nba.nl,213.214.123.95,NL,NETHERLANDS,mail.nba.nl,nl,
Wrong TLD,nba.no,89.221.243.251,SE,SWEDEN,nba.no,no,
Wrong TLD,nba.org,192.168.0.2,ZZ,RESERVED,mailstore1.secureserver.net,org,
Wrong TLD,nba.ru,194.58.112.165,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,nba.se,82.99.18.5,SE,SWEDEN,mx3-1.ilait.se,se,
Wrong TLD,nba.us,52.52.34.204,US,UNITED STATES,,us,

