Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ndbank.co.za,185.53.178.29,,,co.za,
Character Omission,nebank.co.za,208.73.211.165,US,UNITED STATES,,co.za,
Character Omission,nedank.co.za,208.73.210.202,US,UNITED STATES,,co.za,
Character Omission,nedbak.co.za,185.53.179.7,,mail.h-email.net,co.za,
Character Omission,nedban.co.za,185.53.178.7,,mail.h-email.net,co.za,
Character Omission,nedbnk.co.za,185.53.178.7,,mail.h-email.net,co.za,
Character Repeat,nedbaank.co.za,,?,,co.za,
Character Repeat,nedbankk.co.za,,?,,co.za,
Character Repeat,nedbannk.co.za,,?,,co.za,
Character Repeat,nedbbank.co.za,,?,,co.za,
Character Repeat,neddbank.co.za,192.64.147.176,,,co.za,
Character Repeat,needbank.co.za,,?,,co.za,
Character Repeat,nnedbank.co.za,,?,,co.za,
Character Swap,endbank.co.za,,?,,co.za,
Character Swap,ndebank.co.za,,?,,co.za,
Character Swap,nebdank.co.za,,?,,co.za,
Character Swap,nedabnk.co.za,,?,,co.za,
Character Swap,nedbakn.co.za,,?,,co.za,
Character Swap,nedbank.co.az,,?,,az,
Character Swap,nedbnak.co.za,,?,mx1.ssl-secure-mail.com,co.za,
Character Replacement,bedbank.co.za,196.25.69.13,ZA,SOUTH AFRICA,mail.telkomsa.net,co.za,
Character Replacement,medbank.co.za,,?,,co.za,
Character Replacement,nedbabk.co.za,,?,,co.za,
Character Replacement,nedbamk.co.za,192.64.147.176,,,co.za,
Character Replacement,nedbanj.co.za,,?,,co.za,
Character Replacement,nedbanl.co.za,,?,,co.za,
Character Replacement,nedbsnk.co.za,,?,,co.za,
Character Replacement,nednank.co.za,,?,,co.za,
Character Replacement,nedvank.co.za,,?,,co.za,
Character Replacement,nefbank.co.za,,?,,co.za,
Character Replacement,nesbank.co.za,,?,,co.za,
Character Replacement,nrdbank.co.za,,?,,co.za,
Character Replacement,nwdbank.co.za,,?,,co.za,
Character Insertion,nbedbank.co.za,,?,,co.za,
Character Insertion,nedbanbk.co.za,,?,,co.za,
Character Insertion,nedbankj.co.za,,?,,co.za,
Character Insertion,nedbankl.co.za,,?,,co.za,
Character Insertion,nedbanmk.co.za,,?,,co.za,
Character Insertion,nedbasnk.co.za,,?,,co.za,
Character Insertion,nedbnank.co.za,,?,,co.za,
Character Insertion,nedbvank.co.za,,?,,co.za,
Character Insertion,nedfbank.co.za,,?,,co.za,
Character Insertion,nedsbank.co.za,,?,,co.za,
Character Insertion,nerdbank.co.za,41.185.64.43,ZA,SOUTH AFRICA,fw2a.nerdbank.co.za,co.za,
Character Insertion,newdbank.co.za,,?,,co.za,
Character Insertion,nmedbank.co.za,,?,,co.za,
Missing Dot,wwwnedbank.co.za,,?,,co.za,
Singular or Pluralise,nedbanks.co.za,,?,,co.za,
Vowel Swap,nadbank.co.za,185.53.177.29,,,co.za,
