Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nes.eu,91.185.211.58,SI,SLOVENIA,mail.nes.eu,eu,
Character Omission,net.eu,78.46.90.98,DE,GERMANY,mail.net.eu,eu,
Character Omission,nts.eu,91.227.204.35,AT,AUSTRIA,mx2.nts.eu,eu,
Character Repeat,neets.eu,94.231.103.100,IT,ITALY,,eu,
Character Repeat,netss.eu,,?,,eu,
Character Repeat,netts.eu,,?,,eu,
Character Repeat,nnets.eu,,?,,eu,
Character Swap,ents.eu,217.160.0.128,DE,GERMANY,mx00.kundenserver.de,eu,
Character Swap,nest.eu,217.19.237.54,BE,BELGIUM,,eu,
Character Swap,ntes.eu,109.106.167.8,EU,EUROPEAN UNION,postduif.natuurpark.nl,eu,
Character Replacement,bets.eu,185.53.178.9,,mail.h-email.net,eu,
Character Replacement,mets.eu,212.112.186.65,SE,SWEDEN,mail1.emailantidote.com,eu,
Character Replacement,ners.eu,89.188.31.238,NL,NETHERLANDS,mail.ners.eu,eu,
Character Replacement,neta.eu,72.52.4.122,IE,IRELAND,localhost,eu,
Character Replacement,netd.eu,,?,,eu,
Character Replacement,nets.ru,,?,,ru,
Character Replacement,neys.eu,91.192.36.68,NL,NETHERLANDS,fb.mail.gandi.net,eu,
Character Replacement,nrts.eu,,?,,eu,
Character Replacement,nwts.eu,,?,,eu,
Character Insertion,nbets.eu,,?,,eu,
Character Insertion,nerts.eu,,?,,eu,
Character Insertion,netrs.eu,85.13.157.86,DE,GERMANY,w0167252.kasserver.com,eu,
Character Insertion,netsa.eu,,?,,eu,
Character Insertion,netsd.eu,,?,,eu,
Character Insertion,netys.eu,,?,,eu,
Character Insertion,newts.eu,52.58.78.16,US,UNITED STATES,,eu,
Character Insertion,nmets.eu,,?,,eu,
Missing Dot,netseu.com,,?,,com,
Missing Dot,wwwnets.eu,,?,,eu,
Vowel Swap,nets.ee,137.135.160.13,US,UNITED STATES,smtp1.speednames.com,ee,
Bit Flipping,.ets.eu,,?,,eu,
Bit Flipping,fets.eu,52.58.78.16,US,UNITED STATES,,eu,
Bit Flipping,jets.eu,185.38.44.195,,jets-eu.mail.protection.outlook.com,eu,
Bit Flipping,lets.eu,109.106.167.8,EU,EUROPEAN UNION,postduif.natuurpark.nl,eu,
Bit Flipping,nats.eu,,?,,eu,
Bit Flipping,ndts.eu,,?,,eu,
Bit Flipping,ne4s.eu,,?,,eu,
Bit Flipping,neds.eu,,?,,eu,
Bit Flipping,neps.eu,,?,,eu,
Bit Flipping,net3.eu,185.53.178.6,,mail.h-email.net,eu,
Bit Flipping,netc.eu,213.182.54.23,FR,FRANCE,mx-domain.netcourrier.com,eu,
Bit Flipping,netq.eu,78.31.117.149,NL,NETHERLANDS,netq-eu.mail.protection.outlook.com,eu,
Bit Flipping,netr.eu,,?,,eu,
Bit Flipping,nets.gu,,?,,gu,
Bit Flipping,nets.mu,,?,,mu,
Bit Flipping,netw.eu,,?,netw-eu.mail.protection.outlook.com,eu,
Bit Flipping,neus.eu,109.106.167.8,EU,EUROPEAN UNION,postduif.natuurpark.nl,eu,
Bit Flipping,nevs.eu,,?,,eu,
Bit Flipping,ngts.eu,81.92.80.55,[ã,,alt2.aspmx.l.google.com,eu,
Bit Flipping,nmts.eu,208.91.197.24,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,eu,
Bit Flipping,nuts.eu,5.9.40.102,DE,GERMANY,mail.nuts.eu,eu,
Bit Flipping,oets.eu,,?,,eu,
Wrong TLD,nets.ca,72.52.4.122,US,UNITED STATES,localhost,ca,
Wrong TLD,nets.ch,176.10.108.148,CH,SWITZERLAND,nets-ch.mail.protection.outlook.com,ch,
Wrong TLD,nets.com,65.19.58.135,US,UNITED STATES,nets.com.mx1.cybermesa.rcimx.net,com,
Wrong TLD,nets.de,193.189.247.181,DE,GERMANY,mail.nets.de,de,
Wrong TLD,nets.edu,,?,,edu,
Wrong TLD,nets.es,72.52.4.122,US,UNITED STATES,localhost,es,
Wrong TLD,nets.fr,212.43.221.34,GB,UNITED KINGDOM,mail.oxywork.com,fr,
Wrong TLD,nets.it,81.88.48.78,°
,,pop.nets.it,it,
Wrong TLD,nets.jp,210.155.248.27,JP,JAPAN,mail.nets.jp,jp,
Wrong TLD,nets.net,24.229.124.26,US,UNITED STATES,nets-net.p10.mxthunder.com,net,
Wrong TLD,nets.nl,91.195.240.92,DE,GERMANY,,nl,
Wrong TLD,nets.no,137.135.160.13,Ù,,mx1.nets.no,no,
Wrong TLD,nets.org,52.52.34.204,US,UNITED STATES,,org,
Wrong TLD,nets.se,137.135.160.13,US,UNITED STATES,custmx.cscdns.net,se,
Wrong TLD,nets.us,192.64.147.215,,,us,

