Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nesuite.com,185.26.230.129,,relay2.netnames.net,com,
Character Omission,netsite.com,,?,mail.sigg.com,com,
Character Omission,netsuie.com,67.55.92.184,NL,NETHERLANDS,mx7.netsuie.com,com,
Character Omission,netsuit.com,216.157.88.27,US,UNITED STATES,,com,
Character Omission,netsuite.cm,72.52.179.174,US,UNITED STATES,mx156.hostedmxserver.com,cm,
Character Omission,netsute.com,72.52.179.175,UA,UKRAINE,mx156.hostedmxserver.com,com,
Character Omission,netuite.com,67.55.121.97,CO,COLOMBIA,,com,
Character Omission,ntsuite.com,,?,,com,
Character Repeat,neetsuite.com,185.26.230.129,,relay1.netnames.net,com,
Character Repeat,netssuite.com,52.73.71.92,US,UNITED STATES,,com,
Character Repeat,netsuiite.com,,?,,com,
Character Repeat,netsuitee.com,50.63.202.35,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Repeat,netsuitte.com,,?,,com,
Character Repeat,netsuuite.com,,?,,com,
Character Repeat,nettsuite.com,34.209.81.226,RO,ROMANIA,,com,
Character Repeat,nnetsuite.com,,?,,com,
Character Swap,entsuite.com,,?,,com,
Character Swap,nestuite.com,69.162.80.51,US,UNITED STATES,,com,
Character Swap,netsiute.com,69.172.201.153,US,UNITED STATES,,com,
Character Swap,netsuiet.com,,?,,com,
Character Swap,netsutie.com,167.216.129.13,US,UNITED STATES,us-smtp-inbound-1.mimecast.com,com,
Character Swap,netusite.com,173.239.22.42,US,UNITED STATES,,com,
Character Swap,ntesuite.com,,?,,com,
Character Replacement,betsuite.com,109.68.33.25,GB,UNITED KINGDOM,,com,
Character Replacement,metsuite.com,184.168.221.38,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Replacement,nersuite.com,185.26.230.129,,relay1.netnames.net,com,
Character Replacement,netauite.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,netduite.com,185.26.230.129,,relay2.netnames.net,com,
Character Replacement,netsiite.com,185.26.230.129,,relay2.netnames.net,com,
Character Replacement,netsuire.com,185.26.230.129,,relay1.netnames.net,com,
Character Replacement,netsuitr.com,185.53.178.7,,,com,
Character Replacement,netsuitw.com,50.28.24.220,mD,,netsuitw.com,com,
Character Replacement,netsuiye.com,185.26.230.129,,relay1.netnames.net,com,
Character Replacement,netsuote.com,185.26.230.129,,relay1.netnames.net,com,
Character Replacement,netsuute.com,167.216.129.13,US,UNITED STATES,,com,
Character Replacement,netsyite.com,,?,,com,
Character Replacement,neysuite.com,,?,,com,
Character Replacement,nrtsuite.com,,?,,com,
Character Replacement,nwtsuite.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Insertion,nbetsuite.com,,?,,com,
Character Insertion,nertsuite.com,,?,,com,
Character Insertion,netrsuite.com,,?,,com,
Character Insertion,netsauite.com,,?,,com,
Character Insertion,netsduite.com,,?,,com,
Character Insertion,netsuiote.com,,?,,com,
Character Insertion,netsuiter.com,,?,,com,
Character Insertion,netsuitew.com,,?,,com,
Character Insertion,netsuitre.com,,?,,com,
Character Insertion,netsuitye.com,,?,,com,
Character Insertion,netsuiute.com,,?,,com,
Character Insertion,netsuyite.com,,?,,com,
Character Insertion,netysuite.com,,?,,com,
Character Insertion,newtsuite.com,,?,,com,
Character Insertion,nmetsuite.com,,?,,com,
Missing Dot,netsuitecom.com,,?,,com,
Missing Dot,wwwnetsuite.com,72.52.4.120,US,UNITED STATES,localhost,com,
Singular or Pluralise,netsuites.com,209.99.64.45,US,UNITED STATES,,com,
Vowel Swap,natsuita.com,,?,,com,
Vowel Swap,netsaite.com,,?,,com,
Vowel Swap,netseite.com,,?,,com,
Vowel Swap,netsoite.com,,?,,com,
Vowel Swap,netsuate.com,,?,,com,
Vowel Swap,netsuete.com,185.26.230.129,,relay1.netnames.net,com,
Vowel Swap,nitsuiti.com,,?,,com,
Vowel Swap,notsuito.com,,?,,com,
Vowel Swap,nutsuitu.com,,?,,com,
Homophones,netsuayete.com,,?,,com,
Homophones,netsueyete.com,,?,,com,
Homophones,netsweet.com,72.52.10.14,US,UNITED STATES,,com,
Bit Flipping,.etsuite.com,185.53.178.6,,mail.h-email.net,com,
Bit Flipping,fetsuite.com,,?,,com,
Bit Flipping,jetsuite.com,54.68.72.234,H-,,aspmx3.googlemail.com,com,
Bit Flipping,letsuite.com,,?,,com,
Bit Flipping,natsuite.com,64.143.106.50,US,UNITED STATES,p.webcom.ctmail.com,com,
Bit Flipping,ndtsuite.com,,?,,com,
Bit Flipping,ne4suite.com,,?,,com,
Bit Flipping,nedsuite.com,,?,,com,
Bit Flipping,nepsuite.com,,?,,com,
Bit Flipping,net3uite.com,,?,,com,
Bit Flipping,netcuite.com,,?,,com,
Bit Flipping,netquite.com,47.91.229.49,CA,CANADA,,com,
Bit Flipping,netruite.com,,?,,com,
