Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nes.com.au,119.15.105.8,AU,AUSTRALIA,nes.com.au,com.au,
Character Omission,new.com.au,,?,new-com-au.mail.protection.outlook.com,com.au,
Character Omission,nws.com.au,103.18.109.124,,mail2.nws.com.au,com.au,
Character Repeat,neews.com.au,127.0.0.1,ZZ,RESERVED,,com.au,
Character Repeat,newss.com.au,,?,,com.au,
Character Repeat,newws.com.au,72.52.4.122,US,UNITED STATES,localhost,com.au,
Character Repeat,nnews.com.au,72.29.65.177,US,UNITED STATES,nnews.com.au,com.au,
Character Swap,enws.com.au,,?,,com.au,
Character Swap,nesw.com.au,,?,,com.au,
Character Swap,news.com.ua,31.31.205.163,RU,RUSSIAN FEDERATION,,com.ua,
Character Swap,nwes.com.au,,?,nwes-com-au.mail.protection.outlook.com,com.au,
Character Replacement,bews.com.au,74.117.114.108,KY,CAYMAN ISLANDS,,com.au,
Character Replacement,mews.com.au,203.0.178.91,AU,AUSTRALIA,cusdomain.iinet.net.au,com.au,
Character Replacement,nees.com.au,202.191.63.6,AU,AUSTRALIA,,com.au,
Character Replacement,neqs.com.au,,?,,com.au,
Character Replacement,newa.com.au,54.252.148.190,US,UNITED STATES,mx.newa.com.au.cust.b.hostedemail.com,com.au,
Character Replacement,newd.com.au,203.98.95.61,AU,AUSTRALIA,newd.com.au,com.au,
Character Replacement,news.com.ai,184.95.38.200,US,UNITED STATES,mail.news.com.ai,ai,
Character Replacement,news.com.su,,?,,su,
Character Replacement,nrws.com.au,,?,,com.au,
Character Replacement,nwws.com.au,101.0.104.2,AU,AUSTRALIA,mx102.everycloudtech.com,com.au,
Character Insertion,nbews.com.au,,?,,com.au,
Character Insertion,nerws.com.au,,?,,com.au,
Character Insertion,newes.com.au,,?,,com.au,
Character Insertion,newqs.com.au,,?,,com.au,
Character Insertion,newsa.com.au,27.124.113.142,AU,AUSTRALIA,mail.newsa.com.au,com.au,
Character Insertion,newsd.com.au,,?,,com.au,
Character Insertion,nmews.com.au,,?,,com.au,
Missing Dot,wwwnews.com.au,,?,,com.au,
Vowel Swap,naws.com.au,,?,,com.au,
Vowel Swap,news.com.ae,,?,,ae,
Vowel Swap,news.com.eu,,?,,eu,
Vowel Swap,niws.com.au,,?,,com.au,
