Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nesweek.com,24.89.132.150,US,UNITED STATES,,com,
Character Omission,newseek.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Omission,newswee.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Omission,newsweek.cm,,?,,cm,
Character Omission,newswek.com,,?,,com,
Character Omission,newweek.com,198.72.14.16,,,com,
Character Omission,nwsweek.com,141.8.224.93,ID,INDONESIA,,com,
Character Repeat,neewsweek.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,newssweek.com,,?,,com,
Character Repeat,newsweeek.com,98.124.199.38,US,UNITED STATES,,com,
Character Repeat,newsweekk.com,,?,,com,
Character Repeat,newswweek.com,141.8.224.93,US,UNITED STATES,,com,
Character Repeat,newwsweek.com,50.63.202.39,US,UNITED STATES,,com,
Character Repeat,nnewsweek.com,,?,,com,
Character Swap,enwsweek.com,,?,,com,
Character Swap,neswweek.com,,?,,com,
Character Swap,newsewek.com,,?,,com,
Character Swap,newsweke.com,,?,,com,
Character Swap,newwseek.com,,?,,com,
Character Swap,nwesweek.com,51.254.28.160,US,UNITED STATES,,com,
Character Replacement,bewsweek.com,,?,,com,
Character Replacement,mewsweek.com,52.71.185.125,US,UNITED STATES,,com,
Character Replacement,neesweek.com,,?,,com,
Character Replacement,neqsweek.com,,?,,com,
Character Replacement,newaweek.com,141.8.224.169,bé,,,com,
Character Replacement,newdweek.com,,?,,com,
Character Replacement,newseeek.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,newsqeek.com,,?,,com,
Character Replacement,newsweej.com,,?,,com,
Character Replacement,newsweel.com,76.74.212.106,PL,POLAND,,com,
Character Replacement,newswerk.com,134.119.247.16,NO,NORWAY,mxlb.ispgateway.de,com,
Character Replacement,newswewk.com,,?,,com,
Character Replacement,newswrek.com,,?,,com,
Character Replacement,newswwek.com,54.217.222.113,US,UNITED STATES,mail.h-email.net,com,
Character Replacement,nrwsweek.com,,?,,com,
Character Replacement,nwwsweek.com,,?,,com,
Double Character Replacement,newswrrk.com,,?,,com,
Double Character Replacement,newswwwk.com,,?,,com,
Character Insertion,nbewsweek.com,,?,,com,
Character Insertion,nerwsweek.com,,?,,com,
Character Insertion,newesweek.com,,?,,com,
Character Insertion,newqsweek.com,,?,,com,
Character Insertion,newsaweek.com,,?,,com,
Character Insertion,newsdweek.com,,?,,com,
Character Insertion,newsweekj.com,,?,,com,
Character Insertion,newsweekl.com,,?,,com,
Character Insertion,newsweerk.com,,?,,com,
Character Insertion,newsweewk.com,,?,,com,
Character Insertion,newswerek.com,,?,,com,
Character Insertion,newswewek.com,,?,,com,
Character Insertion,newswqeek.com,,?,,com,
Character Insertion,nmewsweek.com,,?,,com,
Missing Dot,newsweekcom.com,69.172.201.153,US,UNITED STATES,,com,
Missing Dot,wwwnewsweek.com,103.224.182.246,,mx92.mb5p.com,com,
Singular or Pluralise,newsweeks.com,103.224.212.222,,mx92.m1bp.com,com,
Vowel Swap,nawswaak.com,,?,,com,
Vowel Swap,niwswiik.com,,?,,com,
Vowel Swap,nowswook.com,,?,,com,
Vowel Swap,nuwswuuk.com,,?,,com,
Homophones,knewsweek.com,,?,,com,
Homophones,newsweak.com,,?,,com,
Bit Flipping,.ewsweek.com,,?,,com,
Bit Flipping,fewsweek.com,,?,,com,
Bit Flipping,jewsweek.com,184.168.221.12,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,lewsweek.com,,?,,com,
Bit Flipping,nawsweek.com,,?,,com,
Bit Flipping,ndwsweek.com,,?,,com,
Bit Flipping,ne7sweek.com,,?,,com,
Bit Flipping,negsweek.com,,?,,com,
Bit Flipping,nessweek.com,,?,,com,
Bit Flipping,neusweek.com,,?,,com,
Bit Flipping,nevsweek.com,,?,,com,
Bit Flipping,new3week.com,,?,,com,
Bit Flipping,newcweek.com,,?,,com,
Bit Flipping,newqweek.com,,?,,com,
Bit Flipping,newrweek.com,,?,,com,
