Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,neworker.com,207.148.248.143,US,UNITED STATES,,com,
Character Omission,newyoker.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Omission,newyorer.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,newyorke.com,67.227.226.241,US,UNITED STATES,mx174.mb5p.com,com,
Character Omission,newyorker.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,newyorkr.com,52.73.71.92,Cã,,,com,
Character Omission,newyrker.com,,?,,com,
Character Omission,neyorker.com,67.55.92.183,CA,CANADA,mx7.neyorker.com,com,
Character Omission,nwyorker.com,,?,,com,
Character Repeat,neewyorker.com,,?,,com,
Character Repeat,newwyorker.com,,?,,com,
Character Repeat,newyoorker.com,97.74.42.79,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Repeat,newyorkeer.com,141.8.224.93,DE,GERMANY,,com,
Character Repeat,newyorkerr.com,,?,,com,
Character Repeat,newyorkker.com,199.184.144.27,US,UNITED STATES,,com,
Character Repeat,newyorrker.com,,?,,com,
Character Repeat,newyyorker.com,141.8.224.93,CA,CANADA,,com,
Character Repeat,nnewyorker.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Swap,enwyorker.com,,?,,com,
Character Swap,newoyrker.com,,?,,com,
Character Swap,newyokrer.com,,?,,com,
Character Swap,newyorekr.com,,?,,com,
Character Swap,newyorkre.com,5.45.112.248,RU,RUSSIAN FEDERATION,mail.newyorkre.com,com,
Character Swap,newyroker.com,69.162.80.54,US,UNITED STATES,,com,
Character Swap,neyworker.com,,?,,com,
Character Swap,nweyorker.com,103.224.212.253,,mx92.m1bp.com,com,
Character Replacement,bewyorker.com,,?,,com,
Character Replacement,mewyorker.com,,?,vade-in2.mail.dreamhost.com,com,
Character Replacement,neeyorker.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,neqyorker.com,199.59.242.150,NL,NETHERLANDS,mx76.m2bp.com,com,
Character Replacement,newtorker.com,103.224.212.247,,mx92.mb5p.com,com,
Character Replacement,newuorker.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,newyirker.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,newyoeker.com,213.247.47.190,NL,NETHERLANDS,mx7.newyoeker.com,com,
Character Replacement,newyorjer.com,,?,,com,
Character Replacement,newyorkee.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,newyorket.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,newyorkrr.com,,?,,com,
Character Replacement,newyorkwr.com,45.56.68.98,,mail.mxproc.com,com,
Character Replacement,newyorler.com,199.59.242.150,FR,FRANCE,mx76.m2bp.com,com,
Character Replacement,newyotker.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,newyprker.com,103.224.182.243,,mx92.mb5p.com,com,
Character Replacement,nrwyorker.com,199.115.116.216,US,UNITED STATES,,com,
Character Replacement,nwwyorker.com,,?,,com,
Character Insertion,nbewyorker.com,,?,,com,
Character Insertion,nerwyorker.com,,?,,com,
Character Insertion,neweyorker.com,,?,,com,
Character Insertion,newqyorker.com,,?,,com,
Character Insertion,newyoirker.com,,?,,com,
Character Insertion,newyoprker.com,,?,,com,
Character Insertion,newyoreker.com,,?,,com,
Character Insertion,newyorkere.com,,?,,com,
Character Insertion,newyorkert.com,,?,,com,
Character Insertion,newyorkewr.com,,?,,com,
Character Insertion,newyorkjer.com,,?,,com,
Character Insertion,newyorkler.com,,?,,com,
Character Insertion,newyortker.com,,?,,com,
Character Insertion,newytorker.com,,?,,com,
Character Insertion,newyuorker.com,,?,,com,
Character Insertion,nmewyorker.com,,?,,com,
Missing Dot,newyorkercom.com,,?,,com,
Missing Dot,wwwnewyorker.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Singular or Pluralise,newyorkers.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Vowel Swap,nawyorkar.com,,?,,com,
Vowel Swap,niwyorkir.com,,?,,com,
Vowel Swap,nowyorkor.com,,?,,com,
Vowel Swap,nuwyorkur.com,,?,,com,
Homophones,knewyorker.com,184.168.221.36,AU,AUSTRALIA,smtp.secureserver.net,com,
Homophones,newyoarker.com,,?,,com,
Bit Flipping,.ewyorker.com,69.162.80.59,US,UNITED STATES,,com,
Bit Flipping,fewyorker.com,,?,,com,
Bit Flipping,jewyorker.com,72.52.4.121,US,UNITED STATES,localhost,com,
Bit Flipping,lewyorker.com,,?,,com,
Bit Flipping,nawyorker.com,,?,,com,
Bit Flipping,ndwyorker.com,,?,,com,
Bit Flipping,ne7yorker.com,,?,,com,
Bit Flipping,negyorker.com,,?,,com,
Bit Flipping,nesyorker.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Bit Flipping,neuyorker.com,216.239.32.21,Ç;,,,com,
Bit Flipping,nevyorker.com,,?,,com,
Bit Flipping,new9orker.com,,?,,com,
Bit Flipping,newiorker.com,,?,,com,
Bit Flipping,newqorker.com,,?,,com,
Bit Flipping,newxorker.com,,?,,com,
Bit Flipping,newygrker.com,,?,,com,
Bit Flipping,newykrker.com,,?,,com,
Bit Flipping,newymrker.com,,?,,com,
Bit Flipping,newynrker.com,,?,,com,
Bit Flipping,newyo2ker.com,,?,,com,
Bit Flipping,newyobker.com,,?,,com,
Bit Flipping,newyopker.com,,?,,com,
Bit Flipping,newyorcer.com,,?,,com,
Bit Flipping,newyorier.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
