Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,neusmods.com,,?,,com,
Character Omission,nexsmods.com,185.53.178.9,,mail.h-email.net,com,
Character Omission,nexumods.com,69.162.80.59,US,UNITED STATES,,com,
Character Omission,nexusmds.com,,?,,com,
Character Omission,nexusmod.com,103.224.182.250,,mx92.m1bp.com,com,
Character Omission,nexusmods.cm,,?,,cm,
Character Omission,nexusmos.com,104.202.158.186,,,com,
Character Omission,nexusods.com,,?,,com,
Character Omission,nxusmods.com,104.151.209.48,,,com,
Character Repeat,neexusmods.com,,?,,com,
Character Repeat,nexusmmods.com,,?,,com,
Character Repeat,nexusmodds.com,,?,,com,
Character Repeat,nexusmodss.com,,?,,com,
Character Repeat,nexusmoods.com,,?,,com,
Character Repeat,nexussmods.com,104.237.132.90,,mail.mxproc.com,com,
Character Repeat,nexuusmods.com,,?,,com,
Character Repeat,nexxusmods.com,,?,,com,
Character Repeat,nnexusmods.com,,?,,com,
Character Swap,enxusmods.com,,?,,com,
Character Swap,neuxsmods.com,67.227.226.240,US,UNITED STATES,,com,
Character Swap,nexsumods.com,,?,,com,
Character Swap,nexumsods.com,,?,,com,
Character Swap,nexusmdos.com,103.224.212.222,,mx92.m1bp.com,com,
Character Swap,nexusmosd.com,,?,,com,
Character Swap,nexusomds.com,,?,,com,
Character Swap,nxeusmods.com,,?,,com,
Character Replacement,bexusmods.com,,?,,com,
Character Replacement,mexusmods.com,,?,,com,
Character Replacement,necusmods.com,,?,,com,
Character Replacement,nexismods.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,nexuamods.com,,?,,com,
Character Replacement,nexudmods.com,,?,,com,
Character Replacement,nexusmids.com,,?,,com,
Character Replacement,nexusmoda.com,,?,,com,
Character Replacement,nexusmodd.com,,?,,com,
Character Replacement,nexusmofs.com,,?,,com,
Character Replacement,nexusmoss.com,,?,,com,
Character Replacement,nexusmpds.com,,?,,com,
Character Replacement,nexusnods.com,,?,,com,
Character Replacement,nexysmods.com,,?,,com,
Character Replacement,nezusmods.com,,?,,com,
Character Replacement,nrxusmods.com,,?,,com,
Character Replacement,nwxusmods.com,,?,,com,
Character Insertion,nbexusmods.com,,?,,com,
Character Insertion,nerxusmods.com,,?,,com,
Character Insertion,newxusmods.com,,?,,com,
Character Insertion,nexcusmods.com,,?,,com,
Character Insertion,nexuismods.com,,?,,com,
Character Insertion,nexusamods.com,,?,,com,
Character Insertion,nexusdmods.com,,?,,com,
Character Insertion,nexusmnods.com,,?,,com,
Character Insertion,nexusmodfs.com,,?,,com,
Character Insertion,nexusmodsa.com,,?,,com,
Character Insertion,nexusmodsd.com,,?,,com,
Character Insertion,nexusmoids.com,,?,,com,
Character Insertion,nexusmopds.com,,?,,com,
Character Insertion,nexuysmods.com,,?,,com,
