Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nentai.net,207.244.67.215,US,UNITED STATES,,net,
Character Omission,nhenai.net,45.33.9.234,,mail.mxproc.com,net,
Character Omission,nhenta.net,81.171.22.5,MK,MACEDONIA,,net,
Character Omission,nhentai.ne,,?,,ne,
Character Omission,nhenti.net,81.171.22.5,NL,NETHERLANDS,,net,
Character Omission,nhetai.net,81.171.22.5,GB,UNITED KINGDOM,,net,
Character Omission,nhntai.net,207.244.67.214,US,UNITED STATES,,net,
Character Repeat,nheentai.net,184.168.221.7,US,UNITED STATES,mailstore1.secureserver.net,net,
Character Repeat,nhenntai.net,50.63.202.7,US,UNITED STATES,mailstore1.secureserver.net,net,
Character Repeat,nhentaai.net,,?,,net,
Character Repeat,nhentaii.net,50.63.202.29,US,UNITED STATES,mailstore1.secureserver.net,net,
Character Repeat,nhenttai.net,184.168.221.14,US,UNITED STATES,mailstore1.secureserver.net,net,
Character Repeat,nhhentai.net,184.168.221.24,US,UNITED STATES,mailstore1.secureserver.net,net,
Character Repeat,nnhentai.net,69.162.80.58,US,UNITED STATES,,net,
Character Swap,hnentai.net,,?,,net,
Character Swap,nehntai.net,103.224.212.230,,mx92.mb5p.com,net,
Character Swap,nhenati.net,207.244.67.214,US,UNITED STATES,,net,
Character Swap,nhentia.net,78.41.204.29,PL,POLAND,,net,
Character Swap,nhetnai.net,158.69.145.48,US,UNITED STATES,,net,
Character Swap,nhnetai.net,69.162.80.56,US,UNITED STATES,,net,
Character Replacement,bhentai.net,104.27.188.187,,,net,
Character Replacement,mhentai.net,104.28.11.30,,,net,
Character Replacement,ngentai.net,81.171.22.4,BE,BELGIUM,,net,
Character Replacement,nhebtai.net,199.115.116.216,¸©,,,net,
Character Replacement,nhemtai.net,78.41.204.27,NL,NETHERLANDS,,net,
Character Replacement,nhenrai.net,81.171.22.7,DE,GERMANY,,net,
Character Replacement,nhentao.net,184.168.221.18,US,UNITED STATES,mailstore1.secureserver.net,net,
Character Replacement,nhentau.net,50.63.202.7,US,UNITED STATES,smtp.secureserver.net,net,
Character Replacement,nhentsi.net,103.224.212.233,,mx92.m1bp.com,net,
Character Replacement,nhenyai.net,,?,,net,
Character Replacement,nhrntai.net,162.210.196.168,,,net,
Character Replacement,nhwntai.net,103.224.212.227,,mx92.m1bp.com,net,
Character Replacement,njentai.net,184.168.221.23,US,UNITED STATES,smtp.secureserver.net,net,
Character Insertion,nbhentai.net,184.168.221.16,US,UNITED STATES,smtp.secureserver.net,net,
Character Insertion,nhenbtai.net,50.63.202.22,US,UNITED STATES,smtp.secureserver.net,net,
Character Insertion,nhenmtai.net,184.168.221.14,US,UNITED STATES,mailstore1.secureserver.net,net,
Character Insertion,nhentaio.net,184.168.221.22,US,UNITED STATES,smtp.secureserver.net,net,
Character Insertion,nhentaiu.net,50.63.202.25,US,UNITED STATES,smtp.secureserver.net,net,
Character Insertion,nhentasi.net,50.63.202.16,IN,INDIA,mailstore1.secureserver.net,net,
Character Insertion,nhentrai.net,,?,,net,
Character Insertion,nhentyai.net,50.63.202.3,PL,POLAND,smtp.secureserver.net,net,
Character Insertion,nherntai.net,184.168.221.23,US,UNITED STATES,smtp.secureserver.net,net,
Character Insertion,nhewntai.net,184.168.221.17,¸©,,mailstore1.secureserver.net,net,
Character Insertion,nhgentai.net,50.63.202.10,US,UNITED STATES,smtp.secureserver.net,net,
Character Insertion,nhjentai.net,184.168.221.2,US,UNITED STATES,mailstore1.secureserver.net,net,
Character Insertion,nmhentai.net,184.168.221.19,US,UNITED STATES,mailstore1.secureserver.net,net,
Missing Dot,nhentainet.com,,?,,com,
Missing Dot,wwwnhentai.net,,?,,net,
Singular or Pluralise,nhentais.net,,?,,net,
Common Misspelling,nhtentai.net,,?,,net,
Vowel Swap,nhentaa.net,,?,,net,
Vowel Swap,nhentae.net,,?,,net,
Vowel Swap,nhentei.net,207.244.67.214,US,UNITED STATES,,net,
Vowel Swap,nhentii.net,,?,,net,
Vowel Swap,nhentoi.net,,?,,net,
Vowel Swap,nhentui.net,,?,,net,
Homophones,nhentaaye.net,,?,,net,
Homophones,nhentaeye.net,,?,,net,
Bit Flipping,.hentai.net,216.157.88.24,US,UNITED STATES,,net,
Bit Flipping,fhentai.net,,?,,net,
