Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nh.com,208.73.211.70,US,UNITED STATES,,com,
Character Omission,nhl.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,nl.com,23.235.208.237,,nl.com,com,
Character Repeat,nhhl.com,209.61.212.120,US,UNITED STATES,smtp.getontheweb.com,com,
Character Repeat,nhll.com,209.61.212.120,ES,SPAIN,smtp.getontheweb.com,com,
Character Repeat,nnhl.com,209.61.212.120,US,UNITED STATES,smtp.getontheweb.com,com,
Character Swap,hnl.com,205.178.189.131,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Swap,nlh.com,192.200.118.154,,mx.ufobe.com,com,
Character Replacement,bhl.com,206.188.192.219,US,UNITED STATES,bhl-com.mail.protection.outlook.com,com,
Character Replacement,mhl.com,192.199.248.220,,mx1-us1.ppe-hosted.com,com,
Character Replacement,ngl.com,54.72.215.189,US,UNITED STATES,mail.nglnow.com,com,
Character Replacement,nhk.com,107.180.0.192,,mail.nhk.com,com,
Character Replacement,njl.com,50.53.107.253,US,UNITED STATES,njl.com,com,
Character Insertion,nbhl.com,209.61.212.137,KR,KOREA REPUBLIC OF,smtp.getontheweb.com,com,
Character Insertion,nhgl.com,72.9.105.30,PH,PHILIPPINES,,com,
Character Insertion,nhjl.com,,?,,com,
Character Insertion,nhlk.com,185.53.178.7,,mail.h-email.net,com,
Character Insertion,nmhl.com,209.61.212.120,CN,CHINA,smtp.getontheweb.com,com,
Missing Dot,nhlcom.com,68.178.213.61,US,UNITED STATES,,com,
Missing Dot,wwwnhl.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Singular or Pluralise,nhls.com,198.55.244.85,,nhls-com.mail.protection.outlook.com,com,
Bit Flipping,.hl.com,107.154.105.117,,mail3.hl.com,com,
Bit Flipping,fhl.com,52.52.155.86,US,UNITED STATES,parkmail.dynadot.com,com,
Bit Flipping,jhl.com,68.117.112.133,US,UNITED STATES,mail.jhl.com,com,
Bit Flipping,lhl.com,203.78.142.12,IN,INDIA,,com,
Bit Flipping,nhd.com,,?,nhdeuml002.nhd.com,com,
Bit Flipping,nhh.com,47.52.114.151,CA,CANADA,,com,
Bit Flipping,nhm.com,75.126.101.241,DE,GERMANY,,com,
Bit Flipping,nhn.com,125.209.210.19,KR,KOREA REPUBLIC OF,mx2.navercorp.com,com,
Bit Flipping,nil.com,193.110.145.49,SI,SLOVENIA,ironport2.nil.com,com,
Bit Flipping,nll.com,104.31.83.166,,alt2.aspmx.l.google.com,com,
Bit Flipping,nxl.com,208.113.168.106,US,UNITED STATES,ironport.cptechgroup.com,com,
Bit Flipping,ohl.com,205.186.136.112,US,UNITED STATES,mxa-001c8301.gslb.pphosted.com,com,
Homoglyphs,nh1.com,35.188.246.85,MA,MOROCCO,mx2-us1.ppe-hosted.com,com,
Wrong TLD,nhl.ca,108.163.177.234,CA,CANADA,nhl.ca,ca,
Wrong TLD,nhl.ch,149.126.4.15,CH,SWITZERLAND,nhl.ch,ch,
Wrong TLD,nhl.de,,?,,de,
Wrong TLD,nhl.edu,,?,,edu,
Wrong TLD,nhl.es,185.53.178.9,,mail.h-email.net,es,
Wrong TLD,nhl.fr,149.202.133.35,DE,GERMANY,mail.nhl.fr,fr,
Wrong TLD,nhl.it,72.52.4.122,US,UNITED STATES,localhost,it,
Wrong TLD,nhl.jp,,?,,jp,
Wrong TLD,nhl.net,,?,,net,
Wrong TLD,nhl.nl,37.203.223.30,NL,NETHERLANDS,smtpgate.nhl.nl,nl,
Wrong TLD,nhl.no,185.125.168.76,,mail.nhl.no,no,
Wrong TLD,nhl.org,216.92.253.149,US,UNITED STATES,mailwash23.pair.com,org,
Wrong TLD,nhl.ru,78.46.76.39,DE,GERMANY,alt1.aspmx.l.google.com,ru,
Wrong TLD,nhl.se,81.236.49.249,SE,SWEDEN,nhl-se.mail.protection.outlook.com,se,
Wrong TLD,nhl.us,,?,,us,

