Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,naa.gov,,?,,gov,
Character Omission,noa.gov,,?,,gov,
Character Repeat,nnoaa.gov,,?,,gov,
Character Repeat,noaaa.gov,,?,,gov,
Character Repeat,nooaa.gov,,?,,gov,
Character Swap,naoa.gov,,?,,gov,
Character Swap,onaa.gov,,?,,gov,
Character Replacement,boaa.gov,,?,,gov,
Character Replacement,moaa.gov,,?,,gov,
Character Replacement,niaa.gov,,?,,gov,
Character Replacement,noas.gov,,?,,gov,
Character Replacement,nosa.gov,,?,,gov,
Character Replacement,npaa.gov,,?,,gov,
Double Character Replacement,noss.gov,,?,,gov,
Character Insertion,nboaa.gov,,?,,gov,
Character Insertion,nmoaa.gov,,?,,gov,
Character Insertion,noaas.gov,,?,,gov,
Character Insertion,noasa.gov,,?,,gov,
Character Insertion,noiaa.gov,,?,,gov,
Character Insertion,nopaa.gov,,?,,gov,
Missing Dot,noaagov.com,,?,,com,
Missing Dot,wwwnoaa.gov,,?,,gov,
Vowel Swap,noee.gov,,?,,gov,
Vowel Swap,noii.gov,,?,,gov,
Vowel Swap,nooo.gov,,?,,gov,
Vowel Swap,nouu.gov,,?,,gov,
Homophones,knowaa.gov,,?,,gov,
Bit Flipping,.oaa.gov,,?,,gov,
Bit Flipping,foaa.gov,,?,,gov,
Bit Flipping,joaa.gov,,?,,gov,
Bit Flipping,loaa.gov,,?,,gov,
Bit Flipping,ngaa.gov,,?,,gov,
Bit Flipping,nkaa.gov,,?,,gov,
Bit Flipping,nmaa.gov,,?,,gov,
Bit Flipping,nnaa.gov,,?,,gov,
Bit Flipping,noac.gov,,?,,gov,
Bit Flipping,noae.gov,,?,,gov,
Bit Flipping,noai.gov,,?,,gov,
Bit Flipping,noaq.gov,,?,,gov,
Bit Flipping,noca.gov,,?,,gov,
Bit Flipping,noea.gov,,?,,gov,
Bit Flipping,noia.gov,,?,,gov,
Bit Flipping,noqa.gov,,?,,gov,
Bit Flipping,ooaa.gov,,?,,gov,
Homoglyphs,n0aa.gov,,?,,gov,
Wrong TLD,noaa.ca,198.49.23.145,,,ca,
Wrong TLD,noaa.ch,,?,,ch,
Wrong TLD,noaa.com,140.172.17.21,US,UNITED STATES,,com,
Wrong TLD,noaa.de,72.52.4.122,US,UNITED STATES,localhost,de,
Wrong TLD,noaa.edu,,?,,edu,
Wrong TLD,noaa.es,,?,,es,
Wrong TLD,noaa.fr,,?,,fr,
Wrong TLD,noaa.it,94.23.64.18,FR,FRANCE,mx3.mail.ovh.net,it,
Wrong TLD,noaa.jp,202.124.214.198,JP,JAPAN,fumi.kits.ne.jp,jp,
Wrong TLD,noaa.net,,?,,net,
Wrong TLD,noaa.nl,195.14.1.150,US,UNITED STATES,mx1.byshosting.nl,nl,
Wrong TLD,noaa.no,,?,,no,
Wrong TLD,noaa.org,,?,,org,
Wrong TLD,noaa.ru,82.98.86.165,CA,CANADA,localhost,ru,
Wrong TLD,noaa.se,185.53.178.8,,mail.h-email.net,se,
Wrong TLD,noaa.us,,?,,us,

