Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nu.edu,198.17.145.124,US,UNITED STATES,mxa-002b4301.gslb.pphosted.com,edu,
Character Omission,ny.edu,128.228.38.47,US,UNITED STATES,,edu,
Character Omission,nyu.eu,134.98.80.231,DE,GERMANY,,eu,
Character Repeat,nnyu.edu,,?,,edu,
Character Repeat,nyuu.edu,,?,,edu,
Character Repeat,nyyu.edu,,?,,edu,
Character Swap,nuy.edu,,?,,edu,
Character Swap,ynu.edu,,?,,edu,
Character Replacement,byu.edu,128.187.16.98,US,UNITED STATES,gw9.byu.edu,edu,
Character Replacement,myu.edu,,?,,edu,
Character Replacement,ntu.edu,,?,,edu,
Character Replacement,nuu.edu,,?,,edu,
Character Replacement,nyi.edu,,?,,edu,
Character Replacement,nyy.edu,,?,,edu,
Character Insertion,nbyu.edu,,?,,edu,
Character Insertion,nmyu.edu,,?,,edu,
Character Insertion,nytu.edu,,?,,edu,
Character Insertion,nyui.edu,,?,,edu,
Character Insertion,nyuy.edu,,?,,edu,
Missing Dot,nyuedu.com,208.73.210.202,US,UNITED STATES,,com,
Missing Dot,wwwnyu.edu,,?,,edu,
Singular or Pluralise,nyus.edu,,?,,edu,
Bit Flipping,.yu.edu,23.185.0.2,,yu-edu.mail.protection.outlook.com,edu,
Bit Flipping,fyu.edu,,?,,edu,
Bit Flipping,jyu.edu,,?,,edu,
Bit Flipping,lyu.edu,,?,,edu,
Bit Flipping,n9u.edu,,?,,edu,
Bit Flipping,niu.edu,131.156.69.43,US,UNITED STATES,niu-edu.mail.protection.outlook.com,edu,
Bit Flipping,nqu.edu,,?,,edu,
Bit Flipping,nxu.edu,,?,,edu,
Bit Flipping,ny5.edu,,?,,edu,
Bit Flipping,nye.edu,,?,,edu,
Bit Flipping,nyq.edu,,?,,edu,
Bit Flipping,nyt.edu,,?,,edu,
Bit Flipping,nyw.edu,,?,,edu,
Bit Flipping,oyu.edu,,?,,edu,
Wrong TLD,nyu.ca,199.59.242.150,CN,CHINA,mx76.mb1p.com,ca,
Wrong TLD,nyu.ch,217.26.51.214,CH,SWITZERLAND,mx1.mail.hostpoint.ch,ch,
Wrong TLD,nyu.com,69.172.201.153,US,UNITED STATES,,com,
Wrong TLD,nyu.de,81.169.145.160,DE,GERMANY,smtp.rzone.de,de,
Wrong TLD,nyu.es,75.119.203.52,US,UNITED STATES,,es,
Wrong TLD,nyu.fr,,?,fb.mail.gandi.net,fr,
Wrong TLD,nyu.it,216.165.47.12,US,UNITED STATES,mx.nyu.edu,it,
Wrong TLD,nyu.jp,219.94.254.37,JP,JAPAN,mail.nyu.jp,jp,
Wrong TLD,nyu.net,128.122.108.35,US,UNITED STATES,mx.nyu.edu,net,
Wrong TLD,nyu.nl,213.136.12.232,NL,NETHERLANDS,mx.nyu.nl,nl,
Wrong TLD,nyu.no,,?,,no,
Wrong TLD,nyu.org,216.165.47.12,US,UNITED STATES,mx.nyu.edu,org,
Wrong TLD,nyu.ru,31.31.205.163,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,nyu.se,185.53.178.6,,mail.h-email.net,se,
Wrong TLD,nyu.us,69.172.201.153,US,UNITED STATES,,us,

