Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,oforddictionaries.com,,?,,com,
Character Omission,oxfoddictionaries.com,,?,,com,
Character Omission,oxforddctionaries.com,,?,,com,
Character Omission,oxforddicionaries.com,,?,,com,
Character Omission,oxforddictinaries.com,67.55.92.187,CA,CANADA,mx7.oxforddictinaries.com,com,
Character Omission,oxforddictioaries.com,,?,,com,
Character Omission,oxforddictionaies.com,,?,,com,
Character Omission,oxforddictionares.com,,?,,com,
Character Omission,oxforddictionarie.com,,?,,com,
Character Omission,oxforddictionaries.cm,,?,,cm,
Character Omission,oxforddictionaris.com,213.247.47.190,NL,NETHERLANDS,mx7.oxforddictionaris.com,com,
Character Omission,oxforddictionries.com,,?,,com,
Character Omission,oxforddictonaries.com,70.32.1.32,US,UNITED STATES,park-mx.above.com,com,
Character Omission,oxfordditionaries.com,,?,,com,
Character Omission,oxfordictionaries.com,207.244.67.218,UA,UKRAINE,,com,
Character Omission,oxfrddictionaries.com,,?,,com,
Character Omission,oxorddictionaries.com,,?,,com,
Character Repeat,ooxforddictionaries.com,,?,,com,
Character Repeat,oxfforddictionaries.com,,?,,com,
Character Repeat,oxfoorddictionaries.com,,?,,com,
Character Repeat,oxfordddictionaries.com,,?,,com,
Character Repeat,oxforddicctionaries.com,,?,,com,
Character Repeat,oxforddictiionaries.com,,?,,com,
Character Repeat,oxforddictionaaries.com,,?,,com,
Character Repeat,oxforddictionariees.com,,?,,com,
Character Repeat,oxforddictionariess.com,,?,,com,
Character Repeat,oxforddictionariies.com,,?,,com,
Character Repeat,oxforddictionarries.com,,?,,com,
Character Repeat,oxforddictionnaries.com,162.255.119.200,,eforward2.registrar-servers.com,com,
Character Repeat,oxforddictioonaries.com,,?,,com,
Character Repeat,oxforddicttionaries.com,,?,,com,
Character Repeat,oxforddiictionaries.com,,?,,com,
Character Repeat,oxforrddictionaries.com,,?,,com,
Character Repeat,oxxforddictionaries.com,,?,,com,
Character Swap,ofxorddictionaries.com,,?,,com,
Character Swap,oxfodrdictionaries.com,,?,,com,
Character Swap,oxforddcitionaries.com,,?,,com,
Character Swap,oxforddicitonaries.com,,?,,com,
Character Swap,oxforddictinoaries.com,,?,,com,
Character Swap,oxforddictioanries.com,,?,,com,
Character Swap,oxforddictionaires.com,67.55.92.183,US,UNITED STATES,mx7.oxforddictionaires.com,com,
Character Swap,oxforddictionareis.com,,?,,com,
Character Swap,oxforddictionarise.com,,?,,com,
Character Swap,oxforddictionraies.com,,?,,com,
Character Swap,oxforddictoinaries.com,,?,,com,
Character Swap,oxfordditcionaries.com,,?,,com,
Character Swap,oxfordidctionaries.com,,?,,com,
Character Swap,oxfroddictionaries.com,,?,,com,
Character Swap,oxofrddictionaries.com,,?,,com,
Character Swap,xoforddictionaries.com,,?,,com,
Character Replacement,ixforddictionaries.com,,?,,com,
Character Replacement,ocforddictionaries.com,,?,,com,
Character Replacement,oxdorddictionaries.com,,?,,com,
Character Replacement,oxfirddictionaries.com,,?,,com,
Character Replacement,oxfoeddictionaries.com,,?,,com,
Character Replacement,oxforddicrionaries.com,,?,,com,
Character Replacement,oxforddictiinaries.com,,?,,com,
Character Replacement,oxforddictiobaries.com,,?,,com,
Character Replacement,oxforddictiomaries.com,,?,,com,
Character Replacement,oxforddictionaeies.com,,?,,com,
Character Replacement,oxforddictionariea.com,,?,,com,
Character Replacement,oxforddictionaried.com,,?,,com,
Character Replacement,oxforddictionarirs.com,,?,,com,
Character Replacement,oxforddictionariws.com,,?,,com,
Character Replacement,oxforddictionaroes.com,,?,,com,
Character Replacement,oxforddictionarues.com,,?,,com,
Character Replacement,oxforddictionaties.com,,?,,com,
Character Replacement,oxforddictionsries.com,,?,,com,
Character Replacement,oxforddictipnaries.com,,?,,com,
Character Replacement,oxforddictoonaries.com,,?,,com,
Character Replacement,oxforddictuonaries.com,,?,,com,
Character Replacement,oxforddicyionaries.com,,?,,com,
Character Replacement,oxforddivtionaries.com,,?,,com,
Character Replacement,oxforddixtionaries.com,,?,,com,
Character Replacement,oxforddoctionaries.com,,?,,com,
Character Replacement,oxfordductionaries.com,,?,,com,
Character Replacement,oxfordfictionaries.com,,?,,com,
Character Replacement,oxfordsictionaries.com,,?,,com,
Character Replacement,oxforfdictionaries.com,,?,,com,
Character Replacement,oxforsdictionaries.com,,?,,com,
Character Replacement,oxfotddictionaries.com,,?,,com,
Character Replacement,oxfprddictionaries.com,,?,,com,
Character Replacement,oxgorddictionaries.com,,?,,com,
Character Replacement,ozforddictionaries.com,,?,,com,
Character Replacement,pxforddictionaries.com,,?,,com,
Double Character Replacement,oxforffictionaries.com,,?,,com,
Double Character Replacement,oxforssictionaries.com,,?,,com,
Character Insertion,oixforddictionaries.com,,?,,com,
Character Insertion,opxforddictionaries.com,,?,,com,
Character Insertion,oxcforddictionaries.com,,?,,com,
Character Insertion,oxfdorddictionaries.com,,?,,com,
Character Insertion,oxfgorddictionaries.com,,?,,com,
Character Insertion,oxfoirddictionaries.com,,?,,com,
Character Insertion,oxfoprddictionaries.com,,?,,com,
Character Insertion,oxforddfictionaries.com,,?,,com,
Character Insertion,oxforddictioinaries.com,,?,,com,
Character Insertion,oxforddictionareies.com,,?,,com,
Character Insertion,oxforddictionariers.com,,?,,com,
Character Insertion,oxforddictionariesa.com,,?,,com,
Character Insertion,oxforddictionariesd.com,,?,,com,
Character Insertion,oxforddictionariews.com,,?,,com,
Character Insertion,oxforddictionarioes.com,,?,,com,
