Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,paient.info,184.168.221.44,US,UNITED STATES,,info,
Character Omission,patent.info,193.246.38.196,CH,SWITZERLAND,mail.hostcenter.com,info,
Character Omission,patien.info,,?,,info,
Character Omission,patiet.info,50.63.202.35,US,UNITED STATES,,info,
Character Omission,patint.info,184.168.221.46,US,UNITED STATES,,info,
Character Omission,ptient.info,,?,,info,
Character Repeat,paatient.info,,?,,info,
Character Repeat,patieent.info,,?,,info,
Character Repeat,patiennt.info,,?,,info,
Character Repeat,patientt.info,,?,,info,
Character Repeat,patiient.info,,?,,info,
Character Repeat,pattient.info,185.53.178.8,,,info,
Character Repeat,ppatient.info,,?,,info,
Character Swap,aptient.info,72.52.4.122,US,UNITED STATES,localhost,info,
Character Swap,paitent.info,185.53.179.6,,,info,
Character Swap,pateint.info,185.53.178.8,,,info,
Character Swap,patietn.info,72.52.4.122,US,UNITED STATES,localhost,info,
Character Swap,patinet.info,141.8.224.93,CH,SWITZERLAND,,info,
Character Swap,ptaient.info,,?,,info,
Character Replacement,oatient.info,,?,,info,
Character Replacement,parient.info,50.63.202.53,US,UNITED STATES,,info,
Character Replacement,patiebt.info,,?,,info,
Character Replacement,patiemt.info,50.63.202.52,RO,ROMANIA,,info,
Character Replacement,patienr.info,184.168.221.56,US,UNITED STATES,,info,
Character Replacement,patieny.info,,?,,info,
Character Replacement,patirnt.info,,?,,info,
Character Replacement,patiwnt.info,50.63.202.43,US,UNITED STATES,,info,
Character Replacement,patoent.info,184.168.221.42,2@,,,info,
Character Replacement,patuent.info,,?,,info,
Character Replacement,payient.info,,?,,info,
Character Replacement,pstient.info,,?,,info,
Character Insertion,pastient.info,,?,,info,
Character Insertion,patienbt.info,,?,,info,
Character Insertion,patienmt.info,,?,,info,
Character Insertion,patientr.info,,?,,info,
Character Insertion,patienty.info,,?,,info,
Character Insertion,patiernt.info,,?,,info,
Character Insertion,patiewnt.info,,?,,info,
Character Insertion,patioent.info,,?,,info,
Character Insertion,patiuent.info,,?,,info,
Character Insertion,patrient.info,,?,,info,
Character Insertion,patyient.info,,?,,info,
Character Insertion,poatient.info,,?,,info,
Missing Dot,patientinfo.com,174.127.110.41,US,UNITED STATES,patientinfo.com,com,
Missing Dot,wwwpatient.info,,?,,info,
Singular or Pluralise,patients.info,185.53.178.6,,,info,
Vowel Swap,patiant.info,,?,,info,
Vowel Swap,patiint.info,,?,,info,
Vowel Swap,pationt.info,,?,,info,
Vowel Swap,patiunt.info,,?,,info,
Vowel Swap,petient.info,141.8.224.93,CH,SWITZERLAND,,info,
Vowel Swap,pitient.info,,?,,info,
Vowel Swap,potient.info,,?,,info,
Vowel Swap,putient.info,,?,,info,
Bit Flipping,0atient.info,,?,,info,
Bit Flipping,pa4ient.info,,?,,info,
Bit Flipping,padient.info,,?,,info,
Bit Flipping,papient.info,,?,,info,
Bit Flipping,pataent.info,,?,,info,
Bit Flipping,pathent.info,,?,,info,
Bit Flipping,patidnt.info,,?,,info,
Bit Flipping,patie.t.info,,?,,info,
Bit Flipping,patieft.info,,?,,info,
Bit Flipping,patiejt.info,,?,,info,
Bit Flipping,patielt.info,,?,,info,
Bit Flipping,patien4.info,,?,,info,
Bit Flipping,patiend.info,,?,,info,
Bit Flipping,patienp.info,,?,,info,
Bit Flipping,patient.i.fo,217.116.232.226,DK,DENMARK,mx1.gigahost.dk,fo,
Bit Flipping,patienu.info,,?,,info,
Bit Flipping,patienv.info,,?,,info,
Bit Flipping,patieot.info,,?,,info,
Bit Flipping,patignt.info,,?,,info,
Bit Flipping,patimnt.info,,?,,info,
Bit Flipping,patkent.info,,?,,info,
Bit Flipping,patment.info,,?,,info,
Bit Flipping,patyent.info,,?,,info,
Bit Flipping,pauient.info,,?,,info,
Bit Flipping,pavient.info,,?,,info,
Bit Flipping,pctient.info,,?,,info,
Bit Flipping,pqtient.info,,?,,info,
Bit Flipping,qatient.info,,?,,info,
Bit Flipping,ratient.info,,?,,info,
Bit Flipping,tatient.info,,?,,info,
Bit Flipping,xatient.info,184.168.221.45,US,UNITED STATES,mailstore1.secureserver.net,info,
Homoglyphs,patlent.info,,?,,info,
Wrong TLD,patient.ca,74.117.114.65,KY,CAYMAN ISLANDS,,ca,
Wrong TLD,patient.ch,80.74.152.50,CH,SWITZERLAND,mail.patient.ch,ch,
Wrong TLD,patient.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Wrong TLD,patient.de,217.160.122.176,DE,GERMANY,mx01.kundenserver.de,de,
Wrong TLD,patient.edu,,?,,edu,
Wrong TLD,patient.es,72.52.4.122,US,UNITED STATES,localhost,es,
Wrong TLD,patient.fr,185.26.230.137,,antares.mmsupport.com,fr,
Wrong TLD,patient.it,46.37.14.27,RU,RUSSIAN FEDERATION,,it,
Wrong TLD,patient.jp,150.95.255.38,JP,JAPAN,,jp,
Wrong TLD,patient.net,208.91.197.26,VG,VIRGIN ISLANDS (BRITISH),,net,
Wrong TLD,patient.nl,213.222.24.114,NL,NETHERLANDS,mx1.baseweb.nl,nl,
Wrong TLD,patient.no,,?,,no,
Wrong TLD,patient.org,109.73.239.140,RO,ROMANIA,mx30.mailspamprotection.com,org,
Wrong TLD,patient.ru,185.53.179.40,,,ru,
Wrong TLD,patient.se,91.201.60.56,SE,SWEDEN,patient.se,se,
Wrong TLD,patient.us,72.52.4.122,US,UNITED STATES,localhost,us,

