Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,pcorld.com,,?,,com,
Character Omission,pcwold.com,208.73.211.165,US,UNITED STATES,,com,
Character Omission,pcword.com,144.76.0.242,DE,GERMANY,,com,
Character Omission,pcworl.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Omission,pcworld.cm,185.26.230.129,,relay1.netnames.net,cm,
Character Omission,pcwrld.com,69.64.147.33,US,UNITED STATES,,com,
Character Omission,pworld.com,104.247.212.218,,mail.b-io.co,com,
Character Repeat,pccworld.com,67.227.226.241,DE,GERMANY,mx156.hostedmxserver.com,com,
Character Repeat,pcwoorld.com,,?,,com,
Character Repeat,pcworldd.com,,?,,com,
Character Repeat,pcworlld.com,103.224.212.222,,mx92.mb5p.com,com,
Character Repeat,pcworrld.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,pcwworld.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,ppcworld.com,69.64.147.33,US,UNITED STATES,,com,
Character Swap,cpworld.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Swap,pcowrld.com,,?,,com,
Character Swap,pcwolrd.com,141.8.224.25,CH,SWITZERLAND,,com,
Character Swap,pcwordl.com,67.227.226.241,CA,CANADA,mx156.hostedmxserver.com,com,
Character Swap,pcwrold.com,213.247.47.190,NL,NETHERLANDS,mx7.pcwrold.com,com,
Character Swap,pwcorld.com,,?,,com,
Character Replacement,ocworld.com,204.71.143.196,US,UNITED STATES,,com,
Character Replacement,pceorld.com,,?,,com,
Character Replacement,pcqorld.com,,?,,com,
Character Replacement,pcwirld.com,,?,,com,
Character Replacement,pcwoeld.com,,?,,com,
Character Replacement,pcworkd.com,64.98.145.30,CA,CANADA,mx.hover.com.cust.hostedemail.com,com,
Character Replacement,pcworlf.com,50.63.202.90,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,pcworls.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,pcwotld.com,,?,,com,
