Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,peole.com.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Omission,peope.com.cn,,?,,cn,
Character Omission,peopl.com.cn,123.60.79.249,PL,POLAND,,cn,
Character Omission,people.cm.cn,182.61.97.11,CN,CHINA,,cn,
Character Omission,people.co.cn,,?,,cn,
Character Omission,people.om.cn,,?,,cn,
Character Omission,peoplecom.cn,104.160.171.89,,,cn,
Character Omission,peple.com.cn,,?,,cn,
Character Omission,pople.com.cn,,?,,cn,
Character Repeat,peeople.com.cn,,?,,cn,
Character Repeat,peoople.com.cn,23.80.235.243,,,cn,
Character Repeat,people.ccom.cn,,?,,cn,
Character Repeat,people.comm.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Repeat,people.coom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Repeat,peoplee.com.cn,,?,,cn,
Character Repeat,peoplle.com.cn,,?,,cn,
Character Repeat,peopple.com.cn,47.91.140.235,CA,CANADA,,cn,
Character Repeat,ppeople.com.cn,,?,,cn,
Character Swap,epople.com.cn,,?,,cn,
Character Swap,peolpe.com.cn,96.0.206.249,MN,MONGOLIA,,cn,
Character Swap,peopel.com.cn,103.232.215.131,,mail.skrimple.com,cn,
Character Swap,peopl.ecom.cn,103.13.73.67,2u,,,cn,
Character Swap,people.cmo.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Swap,people.com.nc,,?,,nc,
Character Swap,people.ocm.cn,50.117.120.251,PK,PAKISTAN,mail.skrimple.com,cn,
Character Swap,peoplec.om.cn,,?,,cn,
Character Swap,pepole.com.cn,172.241.122.219,,,cn,
Character Swap,poeple.com.cn,103.30.7.196,,,cn,
Character Replacement,oeople.com.cn,,?,,cn,
Character Replacement,peiple.com.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Replacement,peoole.com.cn,,?,,cn,
Character Replacement,peopke.com.cn,,?,,cn,
Character Replacement,people.cim.cn,,?,,cn,
Character Replacement,people.com.cm,,?,,cm,
Character Replacement,people.com.vn,103.57.220.153,,,vn,
Character Replacement,people.con.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Replacement,people.cpm.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,people.vom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,people.xom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,peoplr.com.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Replacement,peoplw.com.cn,,?,,cn,
Character Replacement,pepple.com.cn,,?,,cn,
Character Replacement,prople.com.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Replacement,pwople.com.cn,,?,,cn,
Character Insertion,peoiple.com.cn,,?,,cn,
Character Insertion,people.coim.cn,101.201.73.96,CN,CHINA,,cn,
Character Insertion,people.comn.cn,211.151.64.46,CN,CHINA,,cn,
Character Insertion,people.copm.cn,199.59.242.150,CN,CHINA,,cn,
Character Insertion,people.cvom.cn,104.160.171.90,,,cn,
Character Insertion,people.cxom.cn,141.8.224.25,PL,POLAND,,cn,
Character Insertion,peopler.com.cn,139.196.1.2,CN,CHINA,,cn,
Character Insertion,peoplew.com.cn,,?,,cn,
Character Insertion,peoplke.com.cn,,?,,cn,
Character Insertion,peopole.com.cn,,?,,cn,
Character Insertion,perople.com.cn,,?,,cn,
Character Insertion,pewople.com.cn,,?,,cn,
Character Insertion,poeople.com.cn,,?,,cn,
Missing Dot,wwwpeople.com.cn,,?,,cn,
Singular or Pluralise,com.cn,,?,,cn,
Singular or Pluralise,coms.cn,122.115.37.43,CN,CHINA,hichina.com,cn,
Vowel Swap,paopla.com.cn,,?,,cn,
Vowel Swap,peaple.cam.cn,185.53.179.6,,mail.h-email.net,cn,
Vowel Swap,peeple.cem.cn,,?,,cn,
Vowel Swap,peiple.cim.cn,,?,,cn,
Vowel Swap,peuple.cum.cn,,?,,cn,
