Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,pemanenttsb.ie,,?,,ie,
Character Omission,peranenttsb.ie,,?,,ie,
Character Omission,permaenttsb.ie,,?,,ie,
Character Omission,permanentsb.ie,193.120.216.145,IE,IRELAND,,ie,
Character Omission,permanenttb.ie,,?,,ie,
Character Omission,permanentts.ie,,?,,ie,
Character Omission,permanettsb.ie,,?,,ie,
Character Omission,permannttsb.ie,,?,,ie,
Character Omission,permnenttsb.ie,,?,,ie,
Character Omission,prmanenttsb.ie,,?,,ie,
Character Repeat,peermanenttsb.ie,,?,,ie,
Character Repeat,permaanenttsb.ie,,?,,ie,
Character Repeat,permaneenttsb.ie,,?,,ie,
Character Repeat,permanennttsb.ie,,?,,ie,
Character Repeat,permanenttsbb.ie,,?,,ie,
Character Repeat,permanenttssb.ie,,?,,ie,
Character Repeat,permanentttsb.ie,,?,,ie,
Character Repeat,permannenttsb.ie,,?,,ie,
Character Repeat,permmanenttsb.ie,,?,,ie,
Character Repeat,perrmanenttsb.ie,,?,,ie,
Character Repeat,ppermanenttsb.ie,,?,,ie,
Character Swap,eprmanenttsb.ie,,?,,ie,
Character Swap,pemranenttsb.ie,,?,,ie,
Character Swap,peramnenttsb.ie,,?,,ie,
Character Swap,permaennttsb.ie,,?,,ie,
Character Swap,permanentstb.ie,,?,,ie,
Character Swap,permanenttbs.ie,,?,,ie,
Character Swap,permanetntsb.ie,,?,,ie,
Character Swap,permannettsb.ie,,?,,ie,
Character Swap,permnaenttsb.ie,,?,,ie,
Character Swap,premanenttsb.ie,,?,,ie,
Character Replacement,oermanenttsb.ie,,?,,ie,
Character Replacement,peemanenttsb.ie,,?,,ie,
Character Replacement,permabenttsb.ie,,?,,ie,
Character Replacement,permamenttsb.ie,,?,,ie,
Character Replacement,permanebttsb.ie,,?,,ie,
Character Replacement,permanemttsb.ie,,?,,ie,
Character Replacement,permanenrtsb.ie,,?,,ie,
Character Replacement,permanentrsb.ie,,?,,ie,
Character Replacement,permanenttab.ie,,?,,ie,
Character Replacement,permanenttdb.ie,,?,,ie,
Character Replacement,permanenttsb.ir,,?,,ir,
Character Replacement,permanenttsn.ie,,?,,ie,
Character Replacement,permanenttsv.ie,,?,,ie,
Character Replacement,permanentysb.ie,,?,,ie,
Character Replacement,permanenytsb.ie,,?,,ie,
Character Replacement,permanrnttsb.ie,,?,,ie,
Character Replacement,permanwnttsb.ie,,?,,ie,
Character Replacement,permsnenttsb.ie,,?,,ie,
Character Replacement,pernanenttsb.ie,,?,,ie,
Character Replacement,petmanenttsb.ie,,?,,ie,
Character Replacement,prrmanenttsb.ie,,?,,ie,
Character Replacement,pwrmanenttsb.ie,,?,,ie,
Double Character Replacement,permanenrrsb.ie,,?,,ie,
Double Character Replacement,permanenyysb.ie,,?,,ie,
Character Insertion,peremanenttsb.ie,,?,,ie,
Character Insertion,permanbenttsb.ie,,?,,ie,
Character Insertion,permanenbttsb.ie,,?,,ie,
