Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,phnearena.com,,?,,com,
Character Omission,phoearena.com,,?,,com,
Character Omission,phonarena.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Omission,phoneaena.com,95.211.117.215,NL,NETHERLANDS,,com,
Character Omission,phonearea.com,176.74.176.187,NL,NETHERLANDS,,com,
Character Omission,phonearen.com,199.115.115.119,US,UNITED STATES,,com,
Character Omission,phonearena.cm,,?,,cm,
Character Omission,phonearna.com,103.224.212.247,,mx92.m1bp.com,com,
Character Omission,phonerena.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,ponearena.com,199.191.50.73,,,com,
Character Repeat,phhonearena.com,,?,,com,
Character Repeat,phoneaarena.com,,?,,com,
Character Repeat,phoneareena.com,,?,,com,
Character Repeat,phonearenaa.com,,?,,com,
Character Repeat,phonearenna.com,,?,,com,
Character Repeat,phonearrena.com,,?,,com,
Character Repeat,phoneearena.com,,?,,com,
Character Repeat,phonnearena.com,95.211.219.66,NL,NETHERLANDS,,com,
Character Repeat,phoonearena.com,173.239.8.164,US,UNITED STATES,mx7.phoonearena.com,com,
Character Repeat,pphonearena.com,,?,,com,
Character Swap,hponearena.com,,?,,com,
Character Swap,phnoearena.com,,?,,com,
Character Swap,phoenarena.com,199.191.50.73,,,com,
Character Swap,phonaerena.com,,?,,com,
Character Swap,phoneaerna.com,,?,,com,
Character Swap,phonearean.com,176.74.176.187,KZ,KAZAKHSTAN,,com,
Character Swap,phonearnea.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,phoneraena.com,,?,,com,
Character Swap,pohnearena.com,,?,,com,
Character Replacement,ohonearena.com,,?,,com,
Character Replacement,pgonearena.com,,?,,com,
Character Replacement,phinearena.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,phobearena.com,,?,,com,
Character Replacement,phomearena.com,184.168.221.104,US,UNITED STATES,,com,
Character Replacement,phoneaeena.com,,?,,com,
Character Replacement,phoneareba.com,,?,,com,
Character Replacement,phonearema.com,,?,,com,
Character Replacement,phonearens.com,,?,,com,
Character Replacement,phonearrna.com,,?,,com,
Character Replacement,phonearwna.com,,?,,com,
Character Replacement,phoneatena.com,,?,,com,
Character Replacement,phonesrena.com,67.55.92.187,US,UNITED STATES,mx7.phonesrena.com,com,
Character Replacement,phonrarena.com,199.191.50.73,,,com,
Character Replacement,phonwarena.com,,?,,com,
Character Replacement,phpnearena.com,,?,,com,
Character Replacement,pjonearena.com,,?,,com,
