Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,pose.it,46.37.14.27,IT,ITALY,,it,
Character Omission,post.it,212.52.84.147,IT,ITALY,,it,
Character Omission,pote.it,72.52.4.119,US,UNITED STATES,localhost,it,
Character Omission,pste.it,72.52.4.119,US,UNITED STATES,localhost,it,
Character Repeat,pooste.it,185.53.179.7,,mail.h-email.net,it,
Character Repeat,posste.it,185.53.177.29,,,it,
Character Repeat,postee.it,185.53.177.29,,,it,
Character Repeat,postte.it,,?,,it,
Character Repeat,pposte.it,199.59.242.150,CN,CHINA,mx76.m2bp.com,it,
Character Swap,opste.it,,?,,it,
Character Swap,poset.it,72.52.4.119,US,UNITED STATES,localhost,it,
Character Swap,potse.it,,?,,it,
Character Swap,psote.it,185.53.177.20,,mail.psote.it,it,
Character Replacement,ooste.it,,?,,it,
Character Replacement,piste.it,148.251.73.156,DE,GERMANY,mail.piste.it,it,
Character Replacement,poate.it,209.15.13.134,US,UNITED STATES,mail.b-io.co,it,
Character Replacement,podte.it,72.52.4.119,US,UNITED STATES,localhost,it,
Character Replacement,posre.it,185.53.178.29,,,it,
Character Replacement,poste.ir,,?,,ir,
Character Replacement,postr.it,185.53.179.8,,,it,
Character Replacement,postw.it,185.53.177.29,,,it,
Character Replacement,posye.it,185.53.177.29,,,it,
Character Replacement,ppste.it,141.8.224.169,CH,SWITZERLAND,,it,
Character Insertion,poiste.it,,?,,it,
Character Insertion,popste.it,185.53.178.7,,,it,
Character Insertion,posate.it,46.37.17.205,IT,ITALY,mail.posate.it,it,
Character Insertion,posdte.it,,?,,it,
Character Insertion,poster.it,,?,aspmx.l.google.com,it,
Character Insertion,postew.it,,?,,it,
Character Insertion,postre.it,185.53.178.9,,,it,
Character Insertion,postye.it,,?,,it,
Missing Dot,posteit.com,141.8.224.25,CH,SWITZERLAND,,com,
Missing Dot,wwwposte.it,,?,,it,
Singular or Pluralise,postes.it,,?,,it,
Vowel Swap,paste.it,109.168.114.103,IT,ITALY,mail.paste.it,it,
Vowel Swap,peste.it,46.37.14.7,IT,ITALY,,it,
Vowel Swap,posta.it,144.76.18.181,DE,GERMANY,mx02.posta.it,it,
Vowel Swap,poste.at,72.52.4.119,US,UNITED STATES,localhost,at,
Vowel Swap,posti.it,46.37.14.19,CH,SWITZERLAND,,it,
Vowel Swap,posto.it,192.185.76.77,,mail.posto.it,it,
Vowel Swap,postu.it,,?,,it,
Vowel Swap,puste.it,,?,,it,
Bit Flipping,0oste.it,,?,,it,
Bit Flipping,pgste.it,,?,,it,
Bit Flipping,pkste.it,,?,,it,
Bit Flipping,pmste.it,,?,,it,
Bit Flipping,pnste.it,,?,,it,
Bit Flipping,po3te.it,,?,,it,
Bit Flipping,pocte.it,,?,,it,
Bit Flipping,poqte.it,,?,,it,
Bit Flipping,porte.it,,?,mx1.aknet.it,it,
Bit Flipping,pos4e.it,,?,,it,
Bit Flipping,posde.it,,?,,it,
Bit Flipping,pospe.it,,?,,it,
Bit Flipping,postd.it,50.63.202.55,US,UNITED STATES,mailstore1.secureserver.net,it,
Bit Flipping,poste.ht,,?,,ht,
Bit Flipping,poste.yt,,?,mx2.je-eigen-domein.nl,yt,
Bit Flipping,postg.it,,?,,it,
Bit Flipping,postm.it,,?,,it,
Bit Flipping,posue.it,,?,,it,
Bit Flipping,posve.it,,?,,it,
Bit Flipping,powte.it,,?,,it,
Bit Flipping,qoste.it,,?,,it,
Bit Flipping,roste.it,,?,,it,
Bit Flipping,toste.it,69.172.201.153,US,UNITED STATES,,it,
Bit Flipping,xoste.it,,?,,it,
Homoglyphs,p0ste.it,72.52.4.119,US,UNITED STATES,localhost,it,
Homoglyphs,poste.lt,185.53.177.29,,,lt,
Wrong TLD,poste.ca,72.55.137.168,CA,CANADA,poste.ca,ca,
Wrong TLD,poste.ch,194.41.184.129,CH,SWITZERLAND,mx2.post.ch,ch,
Wrong TLD,poste.com,141.8.224.143,CH,SWITZERLAND,,com,
Wrong TLD,poste.de,138.201.184.65,US,UNITED STATES,mx00.udag.de,de,
Wrong TLD,poste.edu,,?,,edu,
Wrong TLD,poste.es,213.186.33.5,FR,FRANCE,redirect.ovh.net,es,
Wrong TLD,poste.fr,149.202.133.35,DE,GERMANY,mail.poste.fr,fr,
Wrong TLD,poste.jp,157.7.107.161,JP,JAPAN,mx01.lolipop.jp,jp,
Wrong TLD,poste.net,,?,,net,
Wrong TLD,poste.nl,213.136.12.232,NL,NETHERLANDS,mx.poste.nl,nl,
Wrong TLD,poste.no,217.170.192.97,ES,SPAIN,mail.poste.no,no,
Wrong TLD,poste.org,69.172.201.153,US,UNITED STATES,,org,
Wrong TLD,poste.ru,149.56.126.237,US,UNITED STATES,,ru,
Wrong TLD,poste.se,185.53.177.20,,mail.parking.se,se,
Wrong TLD,poste.us,68.178.213.61,US,UNITED STATES,,us,

