Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ps.edu,104.196.163.46,,ps-edu.mail.protection.outlook.com,edu,
Character Omission,psu.eu,72.52.4.119,US,UNITED STATES,localhost,eu,
Character Omission,pu.edu,,?,,edu,
Character Repeat,ppsu.edu,,?,,edu,
Character Repeat,pssu.edu,,?,,edu,
Character Repeat,psuu.edu,,?,,edu,
Character Swap,pus.edu,,?,,edu,
Character Swap,spu.edu,72.233.151.58,US,UNITED STATES,spu-edu.mail.protection.outlook.com,edu,
Character Replacement,osu.edu,140.254.112.130,CA,CANADA,osu-edu.mail.protection.outlook.com,edu,
Character Replacement,pau.edu,67.225.228.56,US,UNITED STATES,aspmx.l.google.com,edu,
Character Replacement,pdu.edu,,?,,edu,
Character Replacement,psi.edu,204.17.61.106,US,UNITED STATES,aspmx3.googlemail.com,edu,
Character Replacement,psy.edu,69.89.31.120,US,UNITED STATES,psy.edu.s6b1.psmtp.com,edu,
Character Insertion,posu.edu,,?,,edu,
Character Insertion,psau.edu,,?,,edu,
Character Insertion,psdu.edu,,?,,edu,
Character Insertion,psui.edu,,?,,edu,
Character Insertion,psuy.edu,,?,,edu,
Missing Dot,psuedu.com,54.217.222.113,US,UNITED STATES,mail.h-email.net,com,
Missing Dot,wwwpsu.edu,,?,,edu,
Singular or Pluralise,psus.edu,,?,,edu,
Bit Flipping,0su.edu,,?,,edu,
Bit Flipping,p3u.edu,,?,,edu,
Bit Flipping,pcu.edu,,?,,edu,
Bit Flipping,pqu.edu,,?,,edu,
Bit Flipping,pru.edu,,?,,edu,
Bit Flipping,ps5.edu,,?,,edu,
Bit Flipping,pse.edu,,?,,edu,
Bit Flipping,psq.edu,,?,,edu,
Bit Flipping,pst.edu,,?,,edu,
Bit Flipping,psw.edu,,?,,edu,
Bit Flipping,pwu.edu,,?,,edu,
Bit Flipping,qsu.edu,,?,,edu,
Bit Flipping,rsu.edu,104.27.142.181,,rsufsgw.rsu.edu,edu,
Bit Flipping,tsu.edu,67.66.218.201,US,UNITED STATES,spam.tsu.edu,edu,
Bit Flipping,xsu.edu,,?,,edu,
Wrong TLD,psu.ca,158.85.87.76,US,UNITED STATES,mail.psu.ca,ca,
Wrong TLD,psu.ch,83.166.138.2,NL,NETHERLANDS,mta-gw.infomaniak.ch,ch,
Wrong TLD,psu.com,104.25.43.7,,alt1.aspmx.l.google.com,com,
Wrong TLD,psu.de,82.165.69.229,DE,GERMANY,mx00.kundenserver.de,de,
Wrong TLD,psu.es,185.53.178.6,,mail.h-email.net,es,
Wrong TLD,psu.fr,46.166.189.98,GB,UNITED KINGDOM,,fr,
Wrong TLD,psu.it,72.52.4.119,US,UNITED STATES,localhost,it,
Wrong TLD,psu.jp,158.199.199.41,JP,JAPAN,vlmx22.secure.ne.jp,jp,
Wrong TLD,psu.net,184.168.221.18,US,UNITED STATES,smtp.secureserver.net,net,
Wrong TLD,psu.nl,212.204.243.14,NL,NETHERLANDS,,nl,
Wrong TLD,psu.no,46.250.210.147,NO,NORWAY,mail.psu.no,no,
Wrong TLD,psu.org,104.24.111.239,,smtp.secureserver.net,org,
Wrong TLD,psu.ru,212.192.64.44,RU,RUSSIAN FEDERATION,i-mail.psu.ru,ru,
Wrong TLD,psu.se,66.6.44.4,US,UNITED STATES,mail.citynetwork.se,se,
Wrong TLD,psu.us,172.245.8.222,,,us,

