Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,q.com,155.70.28.140,US,UNITED STATES,mx.centurylink.net,com,
Character Omission,qq.cm,47.88.136.144,CA,CANADA,,cm,
Character Repeat,qqq.com,,?,,com,
Character Replacement,qw.com,206.197.47.11,US,UNITED STATES,mail.qw.com,com,
Character Replacement,wq.com,137.59.148.114,,,com,
Double Character Replacement,ww.com,47.90.86.232,CA,CANADA,,com,
Character Insertion,qqw.com,106.75.135.126,CN,CHINA,smtp.faidns.com,com,
Character Insertion,qwq.com,103.224.182.212,,,com,
Missing Dot,qqcom.com,103.224.182.242,,mx92.m1bp.com,com,
Missing Dot,wwwqq.com,52.69.166.231,US,UNITED STATES,,com,
Singular or Pluralise,qqs.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,1q.com,54.225.114.232,US,UNITED STATES,alt2.aspmx.l.google.com,com,
Bit Flipping,aq.com,104.20.237.45,,mail.battleon.com,com,
Bit Flipping,pq.com,50.63.202.3,US,UNITED STATES,mxb-0024ec01.gslb.pphosted.com,com,
Bit Flipping,q1.com,121.14.46.228,CN,CHINA,mail.q1.com,com,
Bit Flipping,qa.com,54.154.85.53,US,UNITED STATES,arun.icritical.com,com,
Bit Flipping,qp.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Bit Flipping,qs.com,46.51.190.194,_Ž,,qs-com.mail.protection.outlook.com,com,
Bit Flipping,qu.com,96.45.82.110,US,UNITED STATES,mail.citynetwork.se,com,
Bit Flipping,qy.com,123.125.118.152,CN,CHINA,mx20.qy.com,com,
Bit Flipping,sq.com,67.135.105.9,US,UNITED STATES,,com,
Bit Flipping,uq.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,yq.com,47.89.30.121,CA,CANADA,mxbiz1.qq.com,com,
Wrong TLD,qq.ca,141.8.226.57,CH,SWITZERLAND,,ca,
Wrong TLD,qq.ch,,?,,ch,
Wrong TLD,qq.de,,?,,de,
Wrong TLD,qq.edu,,?,,edu,
Wrong TLD,qq.es,,?,,es,
Wrong TLD,qq.fr,95.142.101.112,NL,NETHERLANDS,mx02.nexthal.com,fr,
Wrong TLD,qq.it,,?,,it,
Wrong TLD,qq.jp,,?,,jp,
Wrong TLD,qq.net,119.147.106.136,CN,CHINA,,net,
Wrong TLD,qq.nl,185.53.179.7,,mail.h-email.net,nl,
Wrong TLD,qq.no,217.116.80.12,NO,NORWAY,forward1.registrar.no,no,
Wrong TLD,qq.org,72.52.4.119,US,UNITED STATES,localhost,org,
Wrong TLD,qq.ru,94.79.19.88,PH,PHILIPPINES,mail.qq.ru,ru,
Wrong TLD,qq.se,,?,,se,
Wrong TLD,qq.us,,?,,us,

