Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,rbcoyalbank.com,146.148.34.125,US,UNITED STATES,mail.hope-mail.com,com,
Character Omission,rbcroalbank.com,85.17.25.214,NL,NETHERLANDS,,com,
Character Omission,rbcroyabank.com,103.224.182.245,,mx92.mb5p.com,com,
Character Omission,rbcroyalank.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Omission,rbcroyalbak.com,199.115.115.118,US,UNITED STATES,,com,
Character Omission,rbcroyalban.com,185.53.178.9,,mail.h-email.net,com,
Character Omission,rbcroyalbank.cm,199.59.242.150,CN,CHINA,mx76.m2bp.com,cm,
Character Omission,rbcroyalbnk.com,199.115.115.118,US,UNITED STATES,,com,
Character Omission,rbcroylbank.com,103.224.182.210,,mx92.m1bp.com,com,
Character Omission,rbcryalbank.com,185.53.178.6,,mail.h-email.net,com,
Character Omission,rbroyalbank.com,158.69.145.48,US,UNITED STATES,,com,
Character Omission,rcroyalbank.com,185.53.178.8,,mail.h-email.net,com,
Character Repeat,rbbcroyalbank.com,185.53.178.9,,mail.h-email.net,com,
Character Repeat,rbccroyalbank.com,185.53.179.7,,mail.h-email.net,com,
Character Repeat,rbcrooyalbank.com,172.107.10.101,,,com,
Character Repeat,rbcroyaalbank.com,,?,,com,
Character Repeat,rbcroyalbaank.com,172.107.10.233,,,com,
Character Repeat,rbcroyalbankk.com,185.53.179.6,,mail.h-email.net,com,
Character Repeat,rbcroyalbannk.com,185.53.178.6,,mail.h-email.net,com,
Character Repeat,rbcroyalbbank.com,172.107.10.35,,,com,
Character Repeat,rbcroyallbank.com,146.148.34.125,US,UNITED STATES,mail.hope-mail.com,com,
Character Repeat,rbcroyyalbank.com,172.107.11.24,,,com,
Character Repeat,rbcrroyalbank.com,,?,,com,
Character Repeat,rrbcroyalbank.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,brcroyalbank.com,185.53.178.6,,mail.h-email.net,com,
Character Swap,rbcoryalbank.com,185.53.179.8,,mail.h-email.net,com,
Character Swap,rbcroaylbank.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,rbcroyablank.com,,?,smtp.sendgrid.net,com,
Character Swap,rbcroyalabnk.com,172.107.11.132,,,com,
Character Swap,rbcroyalbakn.com,172.107.11.215,,,com,
Character Swap,rbcroyalbnak.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,rbcroylabank.com,184.168.221.104,US,UNITED STATES,,com,
Character Swap,rbcryoalbank.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Swap,rbrcoyalbank.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Swap,rcbroyalbank.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,ebcroyalbank.com,72.52.4.119,SG,SINGAPORE,localhost,com,
Character Replacement,rbceoyalbank.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Replacement,rbcriyalbank.com,204.11.56.48,,,com,
Character Replacement,rbcrotalbank.com,141.8.224.179,CH,SWITZERLAND,,com,
Character Replacement,rbcroualbank.com,172.107.9.238,,,com,
Character Replacement,rbcroyakbank.com,69.162.80.56,US,UNITED STATES,,com,
Character Replacement,rbcroyalbabk.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Replacement,rbcroyalbamk.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,rbcroyalbanj.com,172.107.11.135,,,com,
Character Replacement,rbcroyalbanl.com,199.115.115.116,US,UNITED STATES,,com,
Character Replacement,rbcroyalbsnk.com,172.107.8.118,,,com,
Character Replacement,rbcroyalnank.com,172.107.9.7,,,com,
Character Replacement,rbcroyalvank.com,172.107.9.9,,,com,
Character Replacement,rbcroyslbank.com,,?,,com,
Character Replacement,rbcrpyalbank.com,54.235.212.68,VN,VIET NAM,,com,
Character Replacement,rbctoyalbank.com,69.16.230.43,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,rbvroyalbank.com,172.107.11.21,,,com,
Character Replacement,rbxroyalbank.com,104.202.158.178,,,com,
Character Replacement,rncroyalbank.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Replacement,rvcroyalbank.com,41.208.71.47,IT,ITALY,,com,
Character Replacement,tbcroyalbank.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Insertion,rbcreoyalbank.com,,?,,com,
Character Insertion,rbcroiyalbank.com,,?,,com,
Character Insertion,rbcropyalbank.com,,?,,com,
Character Insertion,rbcroyalbanbk.com,,?,,com,
Character Insertion,rbcroyalbankj.com,,?,,com,
Character Insertion,rbcroyalbankl.com,,?,,com,
Character Insertion,rbcroyalbanmk.com,,?,,com,
Character Insertion,rbcroyalbasnk.com,,?,,com,
Character Insertion,rbcroyalbnank.com,,?,,com,
Character Insertion,rbcroyalbvank.com,,?,,com,
Character Insertion,rbcroyalkbank.com,,?,,com,
Character Insertion,rbcroyaslbank.com,,?,,com,
Character Insertion,rbcroytalbank.com,,?,,com,
Character Insertion,rbcroyualbank.com,,?,,com,
Character Insertion,rbcrtoyalbank.com,,?,,com,
Character Insertion,rbcvroyalbank.com,,?,,com,
