Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,rhmezone.com,199.191.50.73,,,com,
Character Omission,rhyezone.com,67.55.92.184,US,UNITED STATES,mx7.rhyezone.com,com,
Character Omission,rhymeone.com,69.162.80.56,US,UNITED STATES,,com,
Character Omission,rhymezne.com,,?,,com,
Character Omission,rhymezoe.com,,?,,com,
Character Omission,rhymezon.com,199.191.50.73,,,com,
Character Omission,rhymezone.cm,,?,,cm,
Character Omission,rhymzone.com,185.53.178.8,,mail.h-email.net,com,
Character Omission,rymezone.com,98.124.199.102,US,UNITED STATES,,com,
Character Repeat,rhhymezone.com,,?,,com,
Character Repeat,rhymeezone.com,,?,,com,
Character Repeat,rhymezonee.com,,?,,com,
Character Repeat,rhymezonne.com,,?,,com,
Character Repeat,rhymezoone.com,,?,,com,
Character Repeat,rhymezzone.com,,?,,com,
Character Repeat,rhymmezone.com,,?,,com,
Character Repeat,rhyymezone.com,,?,,com,
Character Repeat,rrhymezone.com,,?,,com,
Character Swap,hrymezone.com,,?,,com,
Character Swap,rhmyezone.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Swap,rhyemzone.com,199.191.50.73,,,com,
Character Swap,rhymeozne.com,,?,,com,
Character Swap,rhymeznoe.com,,?,,com,
Character Swap,rhymezoen.com,,?,,com,
Character Swap,rhymzeone.com,,?,,com,
Character Swap,ryhmezone.com,23.253.58.227,,,com,
Character Replacement,ehymezone.com,,?,,com,
Character Replacement,rgymezone.com,,?,,com,
Character Replacement,rhtmezone.com,,?,,com,
Character Replacement,rhumezone.com,,?,,com,
Character Replacement,rhymexone.com,67.55.92.187,US,UNITED STATES,mx7.rhymexone.com,com,
Character Replacement,rhymezine.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,rhymezobe.com,67.55.121.97,US,UNITED STATES,,com,
Character Replacement,rhymezome.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,rhymezonr.com,,?,,com,
Character Replacement,rhymezonw.com,,?,,com,
Character Replacement,rhymezpne.com,,?,,com,
Character Replacement,rhymrzone.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,rhymwzone.com,,?,,com,
Character Replacement,rhynezone.com,199.115.115.116,US,UNITED STATES,,com,
Character Replacement,rjymezone.com,,?,,com,
Character Replacement,thymezone.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Insertion,rehymezone.com,,?,,com,
Character Insertion,rhgymezone.com,,?,,com,
Character Insertion,rhjymezone.com,,?,,com,
Character Insertion,rhymerzone.com,139.59.181.152,AU,AUSTRALIA,,com,
Character Insertion,rhymewzone.com,,?,,com,
Character Insertion,rhymezoine.com,,?,,com,
Character Insertion,rhymezonbe.com,,?,,com,
Character Insertion,rhymezoner.com,,?,,com,
Character Insertion,rhymezonew.com,,?,,com,
Character Insertion,rhymezonme.com,,?,,com,
Character Insertion,rhymezopne.com,,?,,com,
Character Insertion,rhymezxone.com,,?,,com,
Character Insertion,rhymnezone.com,185.53.179.29,,,com,
Character Insertion,rhytmezone.com,,?,,com,
Character Insertion,rhyumezone.com,,?,,com,
Character Insertion,rthymezone.com,,?,,com,
Missing Dot,rhymezonecom.com,,?,,com,
Missing Dot,wwwrhymezone.com,,?,,com,
Singular or Pluralise,rhymezones.com,,?,,com,
Vowel Swap,rhymazona.com,,?,,com,
Vowel Swap,rhymizoni.com,,?,,com,
Vowel Swap,rhymozono.com,,?,,com,
Vowel Swap,rhymuzonu.com,,?,,com,
Homophones,rhymezwon.com,,?,,com,
Homophones,rimezone.com,98.124.199.113,US,UNITED STATES,,com,
Bit Flipping,2hymezone.com,,?,,com,
Bit Flipping,bhymezone.com,,?,,com,
Bit Flipping,phymezone.com,,?,,com,
Bit Flipping,rh9mezone.com,,?,,com,
Bit Flipping,rhimezone.com,199.191.50.73,,,com,
Bit Flipping,rhqmezone.com,,?,,com,
Bit Flipping,rhxmezone.com,,?,,com,
Bit Flipping,rhy-ezone.com,,?,,com,
Bit Flipping,rhyeezone.com,,?,,com,
Bit Flipping,rhyiezone.com,,?,,com,
Bit Flipping,rhylezone.com,,?,,com,
Bit Flipping,rhymazone.com,,?,,com,
Bit Flipping,rhymdzone.com,,?,,com,
Bit Flipping,rhymejone.com,,?,,com,
Bit Flipping,rhymerone.com,,?,,com,
Bit Flipping,rhymezgne.com,,?,,com,
Bit Flipping,rhymezkne.com,,?,,com,
Bit Flipping,rhymezmne.com,,?,,com,
Bit Flipping,rhymeznne.com,,?,,com,
Bit Flipping,rhymezo.e.com,,?,,com,
Bit Flipping,rhymezofe.com,,?,,com,
Bit Flipping,rhymezoje.com,,?,,com,
Bit Flipping,rhymezole.com,,?,,com,
Bit Flipping,rhymezona.com,,?,,com,
Bit Flipping,rhymezond.com,,?,,com,
Bit Flipping,rhymezong.com,,?,,com,
Bit Flipping,rhymezonm.com,,?,,com,
Bit Flipping,rhymezonu.com,,?,,com,
Bit Flipping,rhymezooe.com,,?,,com,
Bit Flipping,rhymgzone.com,,?,,com,
Bit Flipping,rhymmzone.com,,?,,com,
Bit Flipping,rhymuzone.com,,?,,com,
Bit Flipping,rhyoezone.com,,?,,com,
Bit Flipping,riymezone.com,,?,,com,
Bit Flipping,rlymezone.com,,?,,com,
Bit Flipping,rxymezone.com,,?,,com,
Bit Flipping,shymezone.com,,?,,com,
Bit Flipping,vhymezone.com,,?,,com,
Bit Flipping,zhymezone.com,,?,,com,
Homoglyphs,rhymez0ne.com,,?,,com,
Homoglyphs,rhyrnezone.com,,?,,com,
Wrong TLD,rhymezone.ca,,?,,ca,
Wrong TLD,rhymezone.ch,,?,,ch,
Wrong TLD,rhymezone.de,185.53.178.9,,mail.h-email.net,de,
Wrong TLD,rhymezone.edu,,?,,edu,
Wrong TLD,rhymezone.es,,?,,es,
Wrong TLD,rhymezone.fr,,?,,fr,
Wrong TLD,rhymezone.it,,?,,it,
Wrong TLD,rhymezone.jp,,?,,jp,
Wrong TLD,rhymezone.net,72.52.4.90,US,UNITED STATES,mailgw.ns36.de,net,
Wrong TLD,rhymezone.nl,,?,,nl,
Wrong TLD,rhymezone.no,,?,,no,
Wrong TLD,rhymezone.org,70.32.1.32,US,UNITED STATES,mx92.m1bp.com,org,
Wrong TLD,rhymezone.ru,,?,,ru,
Wrong TLD,rhymezone.se,,?,,se,
Wrong TLD,rhymezone.us,,?,,us,

