Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,roalmail.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,royalail.com,76.74.212.106,CA,CANADA,,com,
Character Omission,royalmai.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,royalmail.cm,34.196.13.28,US,UNITED STATES,mail.happyisp.com,cm,
Character Omission,royalmal.com,192.64.147.196,,,com,
Character Omission,royalmil.com,199.191.50.73,,,com,
Character Omission,royamail.com,208.73.211.165,RU,RUSSIAN FEDERATION,,com,
Character Omission,roylmail.com,208.91.196.105,UA,UKRAINE,,com,
Character Omission,ryalmail.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,rooyalmail.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,royaalmail.com,103.224.182.243,,mx92.m1bp.com,com,
Character Repeat,royallmail.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Repeat,royalmaail.com,103.224.182.249,,park-mx.above.com,com,
Character Repeat,royalmaiil.com,103.224.182.251,,mx92.m1bp.com,com,
Character Repeat,royalmaill.com,185.53.177.30,,,com,
Character Repeat,royalmmail.com,141.8.224.93,DE,GERMANY,,com,
Character Repeat,royyalmail.com,108.59.12.98,US,UNITED STATES,,com,
Character Repeat,rroyalmail.com,184.168.221.104,US,UNITED STATES,,com,
Character Swap,oryalmail.com,,?,,com,
Character Swap,roaylmail.com,199.191.50.73,,,com,
Character Swap,royalamil.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,royalmali.com,199.59.242.150,GB,UNITED KINGDOM,mx76.m2bp.com,com,
Character Swap,royalmial.com,78.41.204.29,NL,NETHERLANDS,,com,
Character Swap,royamlail.com,,?,,com,
Character Swap,roylamail.com,69.64.147.32,US,UNITED STATES,,com,
Character Swap,ryoalmail.com,103.224.182.243,,mx92.m1bp.com,com,
Character Replacement,eoyalmail.com,,?,,com,
Character Replacement,riyalmail.com,185.53.178.7,,,com,
Character Replacement,rotalmail.com,199.191.50.73,,,com,
Character Replacement,roualmail.com,45.33.9.234,,mail.pickelhost.com,com,
Character Replacement,royakmail.com,45.33.9.234,,mail.pickelhost.com,com,
Character Replacement,royalmaik.com,67.55.92.184,US,UNITED STATES,mx7.royalmaik.com,com,
Character Replacement,royalmaol.com,185.53.179.8,,mail.h-email.net,com,
Character Replacement,royalmaul.com,103.224.182.249,,mx92.mb5p.com,com,
Character Replacement,royalmsil.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,royalnail.com,69.172.201.153,RU,RUSSIAN FEDERATION,,com,
Character Replacement,royslmail.com,,?,,com,
Character Replacement,rpyalmail.com,69.162.80.58,US,UNITED STATES,,com,
Character Replacement,toyalmail.com,185.53.179.8,,mail.h-email.net,com,
Character Insertion,reoyalmail.com,,?,,com,
Character Insertion,roiyalmail.com,,?,,com,
Character Insertion,ropyalmail.com,208.91.196.126,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,royalkmail.com,,?,,com,
Character Insertion,royalmailk.com,,?,,com,
Character Insertion,royalmaiol.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Insertion,royalmaiul.com,,?,,com,
Character Insertion,royalmasil.com,,?,,com,
Character Insertion,royalmnail.com,,?,,com,
Character Insertion,royaslmail.com,,?,,com,
Character Insertion,roytalmail.com,,?,,com,
Character Insertion,royualmail.com,,?,,com,
Character Insertion,rtoyalmail.com,,?,,com,
Missing Dot,royalmailcom.com,,?,,com,
Missing Dot,wwwroyalmail.com,103.224.182.243,,mx92.mb5p.com,com,
Singular or Pluralise,royalmails.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,royalmaal.com,,?,,com,
Vowel Swap,royalmael.com,,?,,com,
Vowel Swap,royelmeil.com,,?,,com,
Vowel Swap,royilmiil.com,,?,,com,
Vowel Swap,royolmoil.com,,?,,com,
Vowel Swap,royulmuil.com,,?,,com,
Homophones,roilmail.com,141.8.224.169,CH,SWITZERLAND,,com,
Homophones,royalmaayel.com,,?,,com,
Homophones,royalmaeyel.com,,?,,com,
Homophones,royalmale.com,104.152.111.193,,aspmx.l.google.com,com,
Bit Flipping,2oyalmail.com,,?,,com,
Bit Flipping,boyalmail.com,,?,,com,
Bit Flipping,poyalmail.com,,?,,com,
Bit Flipping,rgyalmail.com,,?,,com,
Bit Flipping,rkyalmail.com,,?,,com,
Bit Flipping,rmyalmail.com,,?,,com,
Bit Flipping,rnyalmail.com,,?,,com,
Bit Flipping,ro9almail.com,,?,,com,
