Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,rlist.com,50.63.202.33,US,UNITED STATES,,com,
Character Omission,rxist.com,72.52.4.119,PH,PHILIPPINES,localhost,com,
Character Omission,rxlis.com,199.191.50.73,,,com,
Character Omission,rxlist.cm,185.53.179.6,,,cm,
Character Omission,rxlit.com,,?,,com,
Character Omission,rxlst.com,72.52.4.119,GB,UNITED KINGDOM,localhost,com,
Character Repeat,rrxlist.com,,?,,com,
Character Repeat,rxliist.com,,?,,com,
Character Repeat,rxlisst.com,,?,,com,
Character Repeat,rxlistt.com,,?,,com,
Character Repeat,rxllist.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,rxxlist.com,,?,,com,
Character Swap,rlxist.com,,?,,com,
Character Swap,rxilst.com,,?,,com,
Character Swap,rxlits.com,103.224.182.243,,mx92.mb5p.com,com,
Character Swap,rxlsit.com,,?,,com,
Character Swap,xrlist.com,27.124.118.252,AU,AUSTRALIA,,com,
Character Replacement,exlist.com,176.74.176.187,ES,SPAIN,,com,
Character Replacement,rclist.com,52.90.77.119,US,UNITED STATES,inbound-smtp.us-east-1.amazonaws.com,com,
Character Replacement,rxkist.com,,?,,com,
Character Replacement,rxliat.com,,?,,com,
Character Replacement,rxlidt.com,,?,,com,
Character Replacement,rxlisr.com,,?,,com,
Character Replacement,rxlisy.com,,?,,com,
Character Replacement,rxlost.com,,?,,com,
Character Replacement,rxlust.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,rzlist.com,103.224.212.245,,park-mx.above.com,com,
Character Replacement,txlist.com,184.168.221.79,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,rexlist.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Insertion,rtxlist.com,,?,,com,
Character Insertion,rxclist.com,,?,,com,
Character Insertion,rxliost.com,,?,,com,
Character Insertion,rxlisat.com,,?,,com,
Character Insertion,rxlisdt.com,,?,,com,
Character Insertion,rxlistr.com,,?,,com,
Character Insertion,rxlisty.com,,?,,com,
Character Insertion,rxliust.com,,?,,com,
Character Insertion,rxlkist.com,,?,,com,
Character Insertion,rxzlist.com,,?,,com,
Missing Dot,rxlistcom.com,,?,,com,
Missing Dot,wwwrxlist.com,69.162.80.58,US,UNITED STATES,,com,
Singular or Pluralise,rxlists.com,96.125.131.80,CA,CANADA,mail.rxlists.com,com,
Vowel Swap,rxlast.com,,?,,com,
Vowel Swap,rxlest.com,,?,,com,
Homophones,rxlayest.com,,?,,com,
Homophones,rxleyest.com,,?,,com,
Bit Flipping,2xlist.com,66.147.240.177,US,UNITED STATES,mail.2xlist.com,com,
Bit Flipping,bxlist.com,52.71.185.125,US,UNITED STATES,,com,
Bit Flipping,pxlist.com,,?,,com,
Bit Flipping,r8list.com,,?,,com,
Bit Flipping,rhlist.com,,?,,com,
Bit Flipping,rplist.com,50.63.202.74,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,rxdist.com,,?,,com,
Bit Flipping,rxhist.com,,?,,com,
Bit Flipping,rxlhst.com,,?,,com,
Bit Flipping,rxli3t.com,,?,,com,
Bit Flipping,rxlict.com,,?,,com,
Bit Flipping,rxliqt.com,,?,,com,
Bit Flipping,rxlirt.com,,?,,com,
Bit Flipping,rxlis4.com,,?,,com,
Bit Flipping,rxlisd.com,,?,,com,
Bit Flipping,rxlisp.com,,?,,com,
Bit Flipping,rxlisu.com,,?,,com,
Bit Flipping,rxlisv.com,,?,,com,
Bit Flipping,rxliwt.com,,?,,com,
Bit Flipping,rxlkst.com,,?,,com,
Bit Flipping,rxlmst.com,,?,,com,
Bit Flipping,rxlyst.com,,?,,com,
Bit Flipping,rxmist.com,64.98.145.30,CA,CANADA,mx.hover.com.cust.hostedemail.com,com,
Bit Flipping,rxnist.com,,?,,com,
Bit Flipping,rylist.com,,?,,com,
Bit Flipping,sxlist.com,184.178.117.50,US,UNITED STATES,mx-caprica.easydns.com,com,
Bit Flipping,vxlist.com,,?,mail.vxlist.com,com,
Bit Flipping,zxlist.com,,?,,com,
Homoglyphs,rx1ist.com,,?,,com,
Homoglyphs,rxllst.com,,?,,com,
Wrong TLD,rxlist.ca,,?,,ca,
Wrong TLD,rxlist.ch,,?,,ch,
Wrong TLD,rxlist.de,,?,,de,
Wrong TLD,rxlist.edu,,?,,edu,
Wrong TLD,rxlist.es,,?,,es,
Wrong TLD,rxlist.fr,,?,,fr,
Wrong TLD,rxlist.it,,?,,it,
Wrong TLD,rxlist.jp,,?,,jp,
Wrong TLD,rxlist.net,176.74.176.187,GB,UNITED KINGDOM,,net,
Wrong TLD,rxlist.nl,,?,,nl,
Wrong TLD,rxlist.no,,?,,no,
Wrong TLD,rxlist.org,209.99.64.43,US,UNITED STATES,,org,
Wrong TLD,rxlist.ru,,?,,ru,
Wrong TLD,rxlist.se,,?,,se,
Wrong TLD,rxlist.us,,?,,us,

