Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,scencedirect.com,78.41.204.29,MT,MALTA,,com,
Character Omission,sciecedirect.com,78.41.204.26,NL,NETHERLANDS,,com,
Character Omission,sciencdirect.com,217.19.248.132,GB,UNITED KINGDOM,,com,
Character Omission,sciencediect.com,103.224.212.222,,mx92.mb5p.com,com,
Character Omission,sciencedirct.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Omission,sciencedirec.com,69.162.80.58,US,UNITED STATES,,com,
Character Omission,sciencedirect.cm,217.19.248.132,CN,CHINA,mail.idp365.net,cm,
Character Omission,sciencediret.com,158.69.143.113,US,UNITED STATES,,com,
Character Omission,sciencedrect.com,67.55.92.184,US,UNITED STATES,mx7.sciencedrect.com,com,
Character Omission,scienceirect.com,185.53.178.6,,mail.h-email.net,com,
Character Omission,scienedirect.com,185.53.179.8,,mail.h-email.net,com,
Character Omission,scincedirect.com,158.69.145.48,US,UNITED STATES,,com,
Character Omission,siencedirect.com,217.19.248.132,GB,UNITED KINGDOM,,com,
Character Repeat,scciencedirect.com,,?,,com,
Character Repeat,scieencedirect.com,,?,,com,
Character Repeat,scienccedirect.com,,?,,com,
Character Repeat,scienceddirect.com,69.162.80.51,US,UNITED STATES,,com,
Character Repeat,sciencediirect.com,,?,,com,
Character Repeat,sciencedirecct.com,199.191.50.73,,,com,
Character Repeat,sciencedirectt.com,,?,,com,
Character Repeat,sciencedireect.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,sciencedirrect.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,scienceedirect.com,,?,,com,
Character Repeat,scienncedirect.com,,?,,com,
Character Repeat,sciiencedirect.com,,?,,com,
Character Repeat,ssciencedirect.com,,?,,com,
Character Swap,csiencedirect.com,,?,,com,
Character Swap,sceincedirect.com,199.191.50.73,,,com,
Character Swap,sciecnedirect.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,sciencdeirect.com,,?,,com,
Character Swap,sciencedierct.com,141.8.224.169,BB,BARBADOS,,com,
Character Swap,sciencedircet.com,67.55.92.182,US,UNITED STATES,mx7.sciencedircet.com,com,
Character Swap,sciencediretc.com,,?,,com,
Character Swap,sciencedriect.com,158.69.143.113,US,UNITED STATES,,com,
Character Swap,scienceidrect.com,,?,,com,
Character Swap,scienecdirect.com,,?,,com,
Character Swap,scinecedirect.com,158.69.143.112,GB,UNITED KINGDOM,,com,
Character Swap,sicencedirect.com,103.224.182.217,,park-mx.above.com,com,
Character Replacement,aciencedirect.com,,?,,com,
Character Replacement,dciencedirect.com,,?,,com,
Character Replacement,sciebcedirect.com,,?,,com,
Character Replacement,sciemcedirect.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,sciencedieect.com,,?,,com,
Character Replacement,sciencedirecr.com,,?,,com,
Character Replacement,sciencedirecy.com,,?,,com,
Character Replacement,sciencedirevt.com,,?,,com,
Character Replacement,sciencedirext.com,,?,,com,
Character Replacement,sciencedirrct.com,,?,,com,
Character Replacement,sciencedirwct.com,,?,,com,
Character Replacement,scienceditect.com,,?,,com,
Character Replacement,sciencedorect.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Replacement,sciencedurect.com,,?,,com,
Character Replacement,sciencefirect.com,,?,,com,
Character Replacement,sciencesirect.com,,?,,com,
Character Replacement,sciencrdirect.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,sciencwdirect.com,,?,,com,
Character Replacement,scienvedirect.com,,?,,com,
Character Replacement,scienxedirect.com,,?,,com,
Character Replacement,scirncedirect.com,,?,,com,
Character Replacement,sciwncedirect.com,,?,,com,
Character Replacement,scoencedirect.com,,?,,com,
Character Replacement,scuencedirect.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,sviencedirect.com,,?,,com,
Character Replacement,sxiencedirect.com,,?,,com,
Character Insertion,saciencedirect.com,103.224.212.222,,mx92.m1bp.com,com,
Character Insertion,scienbcedirect.com,,?,,com,
Character Insertion,sciencedfirect.com,,?,,com,
Character Insertion,sciencediorect.com,,?,,com,
Character Insertion,sciencedirectr.com,,?,,com,
Character Insertion,sciencedirecty.com,,?,,com,
Character Insertion,sciencedirecvt.com,,?,,com,
Character Insertion,sciencedirecxt.com,,?,,com,
Character Insertion,sciencedirerct.com,,?,,com,
Character Insertion,sciencedirewct.com,,?,,com,
Character Insertion,sciencedirtect.com,,?,,com,
Character Insertion,sciencediurect.com,,?,,com,
Character Insertion,sciencedsirect.com,,?,,com,
Character Insertion,sciencerdirect.com,,?,,com,
Character Insertion,sciencewdirect.com,,?,,com,
Character Insertion,sciencvedirect.com,,?,,com,
Character Insertion,sciencxedirect.com,,?,,com,
Character Insertion,scienmcedirect.com,,?,,com,
Character Insertion,scierncedirect.com,,?,,com,
Character Insertion,sciewncedirect.com,,?,,com,
Character Insertion,scioencedirect.com,,?,,com,
Character Insertion,sciuencedirect.com,,?,,com,
Character Insertion,scviencedirect.com,,?,,com,
Character Insertion,scxiencedirect.com,,?,,com,
Character Insertion,sdciencedirect.com,,?,,com,
Missing Dot,sciencedirectcom.com,,?,,com,
Missing Dot,wwwsciencedirect.com,158.69.143.113,US,UNITED STATES,,com,
Singular or Pluralise,sciencedirects.com,,?,,com,
Vowel Swap,scaencedarect.com,,?,,com,
Vowel Swap,sceencederect.com,,?,,com,
Vowel Swap,sciancadiract.com,,?,,com,
Vowel Swap,sciincidirict.com,,?,,com,
Vowel Swap,scioncodiroct.com,,?,,com,
Vowel Swap,sciuncudiruct.com,,?,,com,
Vowel Swap,scoencedorect.com,,?,,com,
Vowel Swap,scuencedurect.com,,?,,com,
Homophones,scayeencedayerect.com,,?,,com,
Homophones,sceyeencedeyerect.com,,?,,com,
Homophones,sciencedyerct.com,,?,,com,
Bit Flipping,3ciencedirect.com,,?,,com,
Bit Flipping,cciencedirect.com,,?,,com,
Bit Flipping,qciencedirect.com,,?,,com,
Bit Flipping,rciencedirect.com,,?,,com,
Bit Flipping,saiencedirect.com,,?,,com,
Bit Flipping,sbiencedirect.com,,?,,com,
Bit Flipping,scaencedirect.com,,?,,com,
Bit Flipping,schencedirect.com,,?,,com,
Bit Flipping,sciancedirect.com,67.55.121.97,US,UNITED STATES,,com,
Bit Flipping,scidncedirect.com,,?,,com,
Bit Flipping,scie.cedirect.com,72.52.10.14,US,UNITED STATES,,com,
Bit Flipping,sciefcedirect.com,,?,,com,
Bit Flipping,sciejcedirect.com,,?,,com,
Bit Flipping,scielcedirect.com,,?,,com,
Bit Flipping,scienaedirect.com,,?,,com,
Bit Flipping,scienbedirect.com,,?,,com,
Bit Flipping,sciencadirect.com,,?,,com,
Bit Flipping,sciencddirect.com,,?,,com,
Bit Flipping,sciencedarect.com,,?,,com,
Bit Flipping,sciencedhrect.com,,?,,com,
Bit Flipping,sciencedi2ect.com,,?,,com,
Bit Flipping,sciencedibect.com,,?,,com,
Bit Flipping,sciencedipect.com,,?,,com,
Bit Flipping,sciencediract.com,95.211.219.65,NL,NETHERLANDS,,com,
Bit Flipping,sciencedirdct.com,,?,,com,
Bit Flipping,sciencedireat.com,,?,,com,
Bit Flipping,sciencedirebt.com,,?,,com,
Bit Flipping,sciencedirec4.com,,?,,com,
Bit Flipping,sciencedirecd.com,,?,,com,
Bit Flipping,sciencedirecp.com,,?,,com,
Bit Flipping,sciencedirecu.com,,?,,com,
Bit Flipping,sciencedirecv.com,,?,,com,
Bit Flipping,sciencediregt.com,,?,,com,
Bit Flipping,sciencedirekt.com,141.8.224.169,CH,SWITZERLAND,,com,
Bit Flipping,sciencedirest.com,,?,,com,
Bit Flipping,sciencedirgct.com,,?,,com,
Bit Flipping,sciencedirmct.com,,?,,com,
Bit Flipping,sciencediruct.com,,?,,com,
Bit Flipping,sciencedisect.com,,?,,com,
Bit Flipping,sciencedivect.com,,?,,com,
Bit Flipping,sciencedizect.com,,?,,com,
Bit Flipping,sciencedkrect.com,,?,,com,
Bit Flipping,sciencedmrect.com,,?,,com,
Bit Flipping,sciencedyrect.com,,?,,com,
Bit Flipping,scienceeirect.com,,?,,com,
Bit Flipping,sciencelirect.com,,?,,com,
Bit Flipping,sciencetirect.com,,?,,com,
Bit Flipping,sciencgdirect.com,,?,,com,
Bit Flipping,sciencmdirect.com,,?,,com,
Bit Flipping,sciencudirect.com,,?,,com,
Bit Flipping,sciengedirect.com,,?,,com,
Bit Flipping,scienkedirect.com,,?,,com,
Bit Flipping,sciensedirect.com,95.211.219.66,NL,NETHERLANDS,,com,
Bit Flipping,scieocedirect.com,,?,,com,
Bit Flipping,scigncedirect.com,,?,,com,
Bit Flipping,scimncedirect.com,,?,,com,
Bit Flipping,sciuncedirect.com,,?,,com,
Bit Flipping,sckencedirect.com,,?,,com,
Bit Flipping,scmencedirect.com,,?,,com,
Bit Flipping,scyencedirect.com,,?,,com,
Bit Flipping,sgiencedirect.com,,?,,com,
Bit Flipping,skiencedirect.com,,?,,com,
Bit Flipping,ssiencedirect.com,,?,,com,
Bit Flipping,wciencedirect.com,,?,,com,
Homoglyphs,scienceclirect.com,,?,,com,
Homoglyphs,sciencedlrect.com,,?,,com,
Homoglyphs,sclencedirect.com,,?,,com,
Homoglyphs,sclencedlrect.com,,?,,com,
Wrong TLD,sciencedirect.ca,,?,,ca,
Wrong TLD,sciencedirect.ch,,?,,ch,
Wrong TLD,sciencedirect.de,166.78.121.55,,,de,
Wrong TLD,sciencedirect.edu,,?,,edu,
Wrong TLD,sciencedirect.es,185.53.177.29,,,es,
Wrong TLD,sciencedirect.fr,185.53.177.29,,,fr,
Wrong TLD,sciencedirect.it,,?,,it,
Wrong TLD,sciencedirect.jp,217.19.248.132,GB,UNITED KINGDOM,,jp,
Wrong TLD,sciencedirect.net,207.24.42.235,US,UNITED STATES,,net,
Wrong TLD,sciencedirect.nl,,?,,nl,
Wrong TLD,sciencedirect.no,,?,,no,
Wrong TLD,sciencedirect.org,207.24.42.235,US,UNITED STATES,,org,
Wrong TLD,sciencedirect.ru,217.19.248.132,GB,UNITED KINGDOM,,ru,
Wrong TLD,sciencedirect.se,52.58.78.16,US,UNITED STATES,mx224.mb1p.com,se,
Wrong TLD,sciencedirect.us,199.184.144.27,US,UNITED STATES,,us,

