Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,scencemag.org,104.28.21.199,,,org,
Character Omission,sciecemag.org,68.178.213.61,US,UNITED STATES,,org,
Character Omission,scienceag.org,,?,,org,
Character Omission,sciencema.org,,?,,org,
Character Omission,sciencemg.org,,?,,org,
Character Omission,sciencmag.org,66.39.25.193,EX,,mailwash50.pair.com,org,
Character Omission,scienemag.org,,?,,org,
Character Omission,scincemag.org,70.32.1.32,US,UNITED STATES,mx92.m1bp.com,org,
Character Omission,siencemag.org,72.52.4.90,US,UNITED STATES,mailgw.ns36.de,org,
Character Repeat,scciencemag.org,,?,,org,
Character Repeat,scieencemag.org,,?,,org,
Character Repeat,scienccemag.org,,?,,org,
Character Repeat,scienceemag.org,,?,,org,
Character Repeat,sciencemaag.org,,?,,org,
Character Repeat,sciencemagg.org,,?,,org,
Character Repeat,sciencemmag.org,,?,,org,
Character Repeat,scienncemag.org,,?,,org,
Character Repeat,sciiencemag.org,,?,,org,
Character Repeat,ssciencemag.org,,?,,org,
Character Swap,csiencemag.org,,?,,org,
Character Swap,sceincemag.org,141.8.224.93,CH,SWITZERLAND,,org,
Character Swap,sciecnemag.org,,?,,org,
Character Swap,scienceamg.org,,?,,org,
Character Swap,sciencemga.org,,?,,org,
Character Swap,sciencmeag.org,,?,,org,
Character Swap,scienecmag.org,,?,,org,
Character Swap,scinecemag.org,,?,,org,
Character Swap,sicencemag.org,,?,,org,
Character Replacement,aciencemag.org,,?,,org,
Character Replacement,dciencemag.org,,?,,org,
Character Replacement,sciebcemag.org,,?,,org,
Character Replacement,sciemcemag.org,,?,,org,
Character Replacement,sciencemaf.org,,?,,org,
Character Replacement,sciencemah.org,,?,,org,
Character Replacement,sciencemsg.org,,?,,org,
Character Replacement,sciencenag.org,,?,,org,
Character Replacement,sciencrmag.org,,?,,org,
Character Replacement,sciencwmag.org,,?,,org,
Character Replacement,scienvemag.org,,?,,org,
Character Replacement,scienxemag.org,,?,,org,
Character Replacement,scirncemag.org,,?,,org,
Character Replacement,sciwncemag.org,,?,,org,
Character Replacement,scoencemag.org,,?,,org,
Character Replacement,scuencemag.org,,?,,org,
Character Replacement,sviencemag.org,,?,,org,
Character Replacement,sxiencemag.org,,?,,org,
Character Insertion,saciencemag.org,,?,,org,
Character Insertion,scienbcemag.org,,?,,org,
Character Insertion,sciencemagf.org,,?,,org,
Character Insertion,sciencemagh.org,,?,,org,
Character Insertion,sciencemasg.org,,?,,org,
Character Insertion,sciencemnag.org,,?,,org,
Character Insertion,sciencermag.org,,?,,org,
Character Insertion,sciencewmag.org,,?,,org,
Character Insertion,sciencvemag.org,,?,,org,
Character Insertion,sciencxemag.org,,?,,org,
Character Insertion,scienmcemag.org,,?,,org,
Character Insertion,scierncemag.org,,?,,org,
Character Insertion,sciewncemag.org,,?,,org,
Character Insertion,scioencemag.org,,?,,org,
Character Insertion,sciuencemag.org,,?,,org,
Character Insertion,scviencemag.org,,?,,org,
Character Insertion,scxiencemag.org,,?,,org,
Character Insertion,sdciencemag.org,,?,,org,
Missing Dot,sciencemagorg.com,,?,,com,
Missing Dot,wwwsciencemag.org,192.64.119.82,,eforward5.registrar-servers.com,org,
Singular or Pluralise,sciencemags.org,50.63.202.50,US,UNITED STATES,,org,
Vowel Swap,scaencemag.org,,?,,org,
Vowel Swap,sceencemag.org,,?,,org,
Vowel Swap,sciancamag.org,,?,,org,
Vowel Swap,sciencemeg.org,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,org,
Vowel Swap,sciencemig.org,,?,,org,
Vowel Swap,sciencemog.org,,?,,org,
Vowel Swap,sciencemug.org,,?,,org,
Vowel Swap,sciincimag.org,,?,,org,
Vowel Swap,scioncomag.org,,?,,org,
Vowel Swap,sciuncumag.org,,?,,org,
Homophones,scayeencemag.org,,?,,org,
Homophones,sceyeencemag.org,,?,,org,
Bit Flipping,3ciencemag.org,,?,,org,
Bit Flipping,cciencemag.org,,?,,org,
Bit Flipping,qciencemag.org,,?,,org,
Bit Flipping,rciencemag.org,,?,,org,
Bit Flipping,saiencemag.org,,?,,org,
Bit Flipping,sbiencemag.org,,?,,org,
Bit Flipping,schencemag.org,,?,,org,
Bit Flipping,sciancemag.org,,?,,org,
Bit Flipping,scidncemag.org,,?,,org,
Bit Flipping,scie.cemag.org,,?,,org,
Bit Flipping,sciefcemag.org,,?,,org,
Bit Flipping,sciejcemag.org,,?,,org,
Bit Flipping,scielcemag.org,,?,,org,
Bit Flipping,scienaemag.org,,?,,org,
Bit Flipping,scienbemag.org,,?,,org,
Bit Flipping,sciencamag.org,,?,,org,
Bit Flipping,sciencdmag.org,,?,,org,
