Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,sds.edu,,?,,edu,
Character Omission,sdsu.eu,109.106.167.8,EU,EUROPEAN UNION,mail1.cleanport.nl,eu,
Character Omission,sdu.edu,,?,,edu,
Character Omission,ssu.edu,50.87.144.168,US,UNITED STATES,ssu.edu,edu,
Character Repeat,sddsu.edu,,?,,edu,
Character Repeat,sdssu.edu,,?,,edu,
Character Repeat,sdsuu.edu,,?,,edu,
Character Repeat,ssdsu.edu,,?,,edu,
Character Swap,dssu.edu,,?,,edu,
Character Swap,sdus.edu,,?,,edu,
Character Swap,ssdu.edu,,?,,edu,
Character Replacement,adsu.edu,,?,,edu,
Character Replacement,ddsu.edu,,?,,edu,
Character Replacement,sdau.edu,,?,,edu,
Character Replacement,sddu.edu,,?,,edu,
Character Replacement,sdsi.edu,,?,,edu,
Character Replacement,sdsy.edu,,?,,edu,
Character Replacement,sfsu.edu,130.212.10.204,US,UNITED STATES,sfsu-edu.mail.protection.outlook.com,edu,
Character Replacement,sssu.edu,,?,,edu,
Character Insertion,sadsu.edu,,?,,edu,
Character Insertion,sdfsu.edu,,?,,edu,
Character Insertion,sdsau.edu,,?,,edu,
Character Insertion,sdsdu.edu,,?,,edu,
Character Insertion,sdsui.edu,,?,,edu,
Character Insertion,sdsuy.edu,,?,,edu,
Missing Dot,sdsuedu.com,103.224.182.247,,mx92.m1bp.com,com,
Missing Dot,wwwsdsu.edu,,?,,edu,
Singular or Pluralise,sdsus.edu,,?,,edu,
Bit Flipping,3dsu.edu,,?,,edu,
Bit Flipping,cdsu.edu,,?,,edu,
Bit Flipping,qdsu.edu,,?,,edu,
Bit Flipping,rdsu.edu,,?,,edu,
Bit Flipping,sd3u.edu,,?,,edu,
Bit Flipping,sdcu.edu,,?,,edu,
Bit Flipping,sdqu.edu,,?,,edu,
Bit Flipping,sdru.edu,,?,,edu,
Bit Flipping,sds5.edu,,?,,edu,
Bit Flipping,sdse.edu,,?,,edu,
Bit Flipping,sdsq.edu,,?,,edu,
Bit Flipping,sdst.edu,,?,,edu,
Bit Flipping,sdsw.edu,,?,,edu,
Bit Flipping,sdwu.edu,,?,,edu,
Bit Flipping,sesu.edu,,?,,edu,
Bit Flipping,slsu.edu,,?,,edu,
Bit Flipping,stsu.edu,,?,,edu,
Bit Flipping,wdsu.edu,,?,,edu,
Homoglyphs,sclsu.edu,,?,,edu,
Wrong TLD,sdsu.ca,,?,,ca,
Wrong TLD,sdsu.ch,,?,,ch,
Wrong TLD,sdsu.com,141.8.224.183,2\,,,com,
Wrong TLD,sdsu.de,94.102.212.172,DE,GERMANY,mail.sdsu.de,de,
Wrong TLD,sdsu.es,,?,,es,
Wrong TLD,sdsu.fr,,?,,fr,
Wrong TLD,sdsu.it,,?,,it,
Wrong TLD,sdsu.jp,,?,,jp,
Wrong TLD,sdsu.net,198.187.31.202,,,net,
Wrong TLD,sdsu.nl,,?,,nl,
Wrong TLD,sdsu.no,,?,,no,
Wrong TLD,sdsu.org,156.235.169.20,,,org,
Wrong TLD,sdsu.ru,194.58.112.165,Â;,,,ru,
Wrong TLD,sdsu.se,194.9.94.86,RU,RUSSIAN FEDERATION,,se,
Wrong TLD,sdsu.us,,?,,us,

