Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,sef.com,67.227.154.119,US,UNITED STATES,sef.com,com,
Character Omission,sel.com,66.207.136.35,EU,EUROPEAN UNION,mxb-001ec001.gslb.pphosted.com,com,
Character Omission,self.cm,185.53.179.6,,,cm,
Character Omission,slf.com,54.221.207.100,US,UNITED STATES,aspmx.l.google.com,com,
Character Repeat,seelf.com,69.172.201.153,ES,SPAIN,,com,
Character Repeat,selff.com,52.58.78.16,US,UNITED STATES,mail.mailer-host.com,com,
Character Repeat,sellf.com,68.178.213.61,US,UNITED STATES,,com,
Character Repeat,sself.com,69.172.201.153,US,UNITED STATES,,com,
Character Swap,eslf.com,69.172.201.153,Pó,,,com,
Character Swap,sefl.com,12.35.48.232,US,UNITED STATES,mxa-0021f301.gslb.pphosted.com,com,
Character Swap,slef.com,162.244.253.117,,scanner01.mail.supportedns.com,com,
Character Replacement,aelf.com,208.73.211.70,US,UNITED STATES,,com,
Character Replacement,delf.com,,?,,com,
Character Replacement,sekf.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Replacement,seld.com,69.172.201.153,€|,,,com,
Character Replacement,selg.com,98.124.199.106,AT,AUSTRIA,,com,
Character Replacement,srlf.com,72.9.105.30,US,UNITED STATES,,com,
Character Replacement,swlf.com,72.9.105.30,US,UNITED STATES,,com,
Character Insertion,saelf.com,80.67.17.249,DE,GERMANY,mxlb.ispgateway.de,com,
Character Insertion,sdelf.com,,?,,com,
Character Insertion,selfd.com,,?,,com,
Character Insertion,selfg.com,,?,,com,
Character Insertion,selkf.com,,?,,com,
Character Insertion,serlf.com,,?,,com,
Character Insertion,sewlf.com,,?,,com,
Missing Dot,selfcom.com,5.22.149.135,DE,GERMANY,,com,
Missing Dot,wwwself.com,,?,,com,
Singular or Pluralise,selves.com,178.62.135.48,RU,RUSSIAN FEDERATION,selves.com,com,
Vowel Swap,salf.com,98.124.199.26,E­,,,com,
Vowel Swap,silf.com,194.9.94.85,SE,SWEDEN,,com,
Vowel Swap,solf.com,,?,,com,
Vowel Swap,sulf.com,72.9.105.30,US,UNITED STATES,,com,
Bit Flipping,3elf.com,150.95.255.38,JP,JAPAN,,com,
Bit Flipping,celf.com,50.63.202.36,US,UNITED STATES,celf-com.mail.protection.outlook.com,com,
Bit Flipping,qelf.com,72.52.4.119,US,UNITED STATES,localhost,com,
Bit Flipping,relf.com,,?,aspmx.l.google.com,com,
Bit Flipping,sdlf.com,74.208.236.152,US,UNITED STATES,mx01.1and1.com,com,
Bit Flipping,sedf.com,,?,,com,
Bit Flipping,sehf.com,72.52.4.119,US,UNITED STATES,localhost,com,
Bit Flipping,selb.com,72.52.4.119,US,UNITED STATES,localhost,com,
Bit Flipping,seln.com,52.219.0.22,US,UNITED STATES,mail.seln.com,com,
Bit Flipping,selv.com,108.61.187.186,ES,SPAIN,,com,
Bit Flipping,semf.com,,?,,com,
Bit Flipping,senf.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,sglf.com,47.90.43.141,CA,CANADA,,com,
Bit Flipping,smlf.com,128.121.21.20,US,UNITED STATES,p.webcom.ctmail.com,com,
Bit Flipping,welf.com,69.172.201.153,US,UNITED STATES,,com,
Homoglyphs,se1f.com,31.13.79.17,IE,IRELAND,,com,
Wrong TLD,self.ca,198.58.118.244,,mail.self.ca,ca,
Wrong TLD,self.ch,80.74.149.78,CH,SWITZERLAND,mail.self.ch,ch,
Wrong TLD,self.de,185.53.179.7,,mail.h-email.net,de,
Wrong TLD,self.edu,,?,,edu,
Wrong TLD,self.es,,?,,es,
Wrong TLD,self.fr,199.175.50.137,PR,PUERTO RICO,self.fr,fr,
Wrong TLD,self.it,217.194.6.34,IT,ITALY,egg.oval.it,it,
Wrong TLD,self.jp,150.95.144.135,JP,JAPAN,mail.self.jp,jp,
Wrong TLD,self.net,64.99.80.121,CA,CANADA,mx.netidentity.com.cust.hostedemail.com,net,
Wrong TLD,self.nl,213.207.76.230,NL,NETHERLANDS,smx1.interconnect.nl,nl,
Wrong TLD,self.no,185.53.178.6,,,no,
Wrong TLD,self.org,192.254.185.254,,server2.inboundmx.com,org,
Wrong TLD,self.ru,80.243.10.163,RU,RUSSIAN FEDERATION,aspmx2.googlemail.com,ru,
Wrong TLD,self.se,,?,,se,
Wrong TLD,self.us,91.195.240.101,DE,GERMANY,mail.self.us,us,

