Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,setvx.com,85.17.25.214,BY,BELARUS,,com,
Character Omission,sextv.com,208.93.89.45,US,UNITED STATES,,com,
Character Omission,sextvx.cm,,?,,cm,
Character Omission,sextx.com,64.29.151.221,US,UNITED STATES,mx1c40.carrierzone.com,com,
Character Omission,sexvx.com,66.175.217.224,US,UNITED STATES,,com,
Character Omission,sxtvx.com,184.168.221.22,US,UNITED STATES,,com,
Character Repeat,seextvx.com,,?,,com,
Character Repeat,sexttvx.com,,?,,com,
Character Repeat,sextvvx.com,,?,,com,
Character Repeat,sextvxx.com,104.28.17.172,,,com,
Character Repeat,sexxtvx.com,,?,,com,
Character Repeat,ssextvx.com,,?,,com,
Character Swap,esxtvx.com,,?,,com,
Character Swap,setxvx.com,,?,,com,
Character Swap,sextxv.com,,?,,com,
Character Swap,sexvtx.com,,?,,com,
Character Swap,sxetvx.com,,?,,com,
Character Replacement,aextvx.com,,?,,com,
Character Replacement,dextvx.com,,?,,com,
Character Replacement,sectvx.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,sexrvx.com,173.239.8.164,US,UNITED STATES,mx7.sexrvx.com,com,
Character Replacement,sextbx.com,,?,,com,
Character Replacement,sextcx.com,,?,,com,
Character Replacement,sextvc.com,,?,,com,
Character Replacement,sextvz.com,,?,,com,
Character Replacement,sexyvx.com,75.126.104.239,US,UNITED STATES,,com,
Character Replacement,seztvx.com,,?,,com,
Character Replacement,srxtvx.com,173.239.8.164,US,UNITED STATES,mx7.srxtvx.com,com,
Character Replacement,swxtvx.com,,?,,com,
Character Insertion,saextvx.com,,?,,com,
Character Insertion,sdextvx.com,,?,,com,
Character Insertion,serxtvx.com,,?,,com,
Character Insertion,sewxtvx.com,,?,,com,
Character Insertion,sexctvx.com,,?,,com,
Character Insertion,sextrvx.com,,?,,com,
Character Insertion,sextvbx.com,,?,,com,
Character Insertion,sextvcx.com,,?,,com,
Character Insertion,sextvxc.com,,?,,com,
Character Insertion,sextvxz.com,,?,,com,
Character Insertion,sextyvx.com,,?,,com,
Character Insertion,sexztvx.com,,?,,com,
Missing Dot,sextvxcom.com,184.168.221.96,US,UNITED STATES,10,com,
Missing Dot,wwwsextvx.com,,?,,com,
Singular or Pluralise,sextvxes.com,,?,,com,
Vowel Swap,saxtvx.com,,?,,com,
Vowel Swap,sixtvx.com,103.224.212.222,,park-mx.above.com,com,
Vowel Swap,soxtvx.com,,?,,com,
Vowel Swap,suxtvx.com,,?,,com,
Homophones,sectstvx.com,,?,,com,
Bit Flipping,3extvx.com,,?,,com,
Bit Flipping,cextvx.com,,?,,com,
Bit Flipping,qextvx.com,,?,,com,
Bit Flipping,rextvx.com,,?,,com,
Bit Flipping,sdxtvx.com,,?,,com,
Bit Flipping,se8tvx.com,,?,,com,
Bit Flipping,sehtvx.com,,?,,com,
Bit Flipping,septvx.com,,?,,com,
Bit Flipping,sex4vx.com,,?,,com,
Bit Flipping,sexdvx.com,,?,,com,
Bit Flipping,sexpvx.com,,?,,com,
Bit Flipping,sext6x.com,,?,,com,
Bit Flipping,sextfx.com,,?,,com,
Bit Flipping,sextrx.com,,?,,com,
Bit Flipping,sexttx.com,,?,,com,
Bit Flipping,sextv8.com,,?,,com,
Bit Flipping,sextvh.com,,?,,com,
Bit Flipping,sextvp.com,,?,,com,
Bit Flipping,sextvy.com,,?,,com,
Bit Flipping,sextwx.com,,?,,com,
Bit Flipping,sexuvx.com,,?,,com,
Bit Flipping,sexvvx.com,,?,,com,
Bit Flipping,seytvx.com,,?,,com,
Bit Flipping,sgxtvx.com,,?,,com,
Bit Flipping,smxtvx.com,,?,,com,
Bit Flipping,wextvx.com,,?,,com,
Wrong TLD,sextvx.ca,,?,,ca,
Wrong TLD,sextvx.ch,,?,,ch,
Wrong TLD,sextvx.de,84.200.238.254,DE,GERMANY,,de,
Wrong TLD,sextvx.edu,,?,,edu,
Wrong TLD,sextvx.es,,?,,es,
Wrong TLD,sextvx.fr,185.53.177.29,,,fr,
Wrong TLD,sextvx.it,185.53.179.15,,mail.h-email.net,it,
Wrong TLD,sextvx.jp,,?,,jp,
Wrong TLD,sextvx.net,31.31.205.163,RU,RUSSIAN FEDERATION,,net,
Wrong TLD,sextvx.nl,,?,,nl,
Wrong TLD,sextvx.no,,?,,no,
Wrong TLD,sextvx.org,,?,,org,
Wrong TLD,sextvx.ru,,?,,ru,
Wrong TLD,sextvx.se,,?,,se,
Wrong TLD,sextvx.us,,?,,us,

