Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,sgmaaldrich.com,172.107.10.23,,,com,
Character Omission,sigaaldrich.com,172.107.9.179,,,com,
Character Omission,sigmaadrich.com,69.64.147.243,US,UNITED STATES,,com,
Character Omission,sigmaaldich.com,184.168.221.104,US,UNITED STATES,,com,
Character Omission,sigmaaldrch.com,172.107.11.188,,,com,
Character Omission,sigmaaldric.com,184.168.221.61,US,UNITED STATES,,com,
Character Omission,sigmaaldrich.cm,,?,,cm,
Character Omission,sigmaaldrih.com,172.107.11.187,,,com,
Character Omission,sigmaalrich.com,199.191.50.73,,,com,
Character Omission,sigmaldrich.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Omission,simaaldrich.com,104.202.158.168,,,com,
Character Repeat,siggmaaldrich.com,,?,,com,
Character Repeat,sigmaaaldrich.com,,?,,com,
Character Repeat,sigmaalddrich.com,,?,,com,
Character Repeat,sigmaaldricch.com,,?,,com,
Character Repeat,sigmaaldrichh.com,,?,,com,
Character Repeat,sigmaaldriich.com,,?,,com,
Character Repeat,sigmaaldrrich.com,,?,,com,
Character Repeat,sigmaalldrich.com,,?,,com,
Character Repeat,sigmmaaldrich.com,,?,,com,
Character Repeat,siigmaaldrich.com,,?,,com,
Character Repeat,ssigmaaldrich.com,,?,,com,
Character Swap,isgmaaldrich.com,,?,,com,
Character Swap,sgimaaldrich.com,,?,,com,
Character Swap,sigamaldrich.com,,?,,com,
Character Swap,sigmaadlrich.com,,?,,com,
Character Swap,sigmaaldirch.com,,?,,com,
Character Swap,sigmaaldrcih.com,,?,,com,
Character Swap,sigmaaldrihc.com,,?,,com,
Character Swap,sigmaalrdich.com,,?,,com,
Character Swap,sigmaladrich.com,199.191.50.73,,,com,
Character Swap,simgaaldrich.com,,?,,com,
Character Replacement,aigmaaldrich.com,,?,,com,
Character Replacement,digmaaldrich.com,,?,,com,
Character Replacement,sifmaaldrich.com,,?,,com,
Character Replacement,sigmaakdrich.com,,?,,com,
Character Replacement,sigmaaldeich.com,,?,,com,
Character Replacement,sigmaaldricg.com,,?,,com,
Character Replacement,sigmaaldricj.com,,?,,com,
Character Replacement,sigmaaldrivh.com,,?,,com,
Character Replacement,sigmaaldrixh.com,,?,,com,
Character Replacement,sigmaaldroch.com,,?,,com,
Character Replacement,sigmaaldruch.com,,?,,com,
Character Replacement,sigmaaldtich.com,,?,,com,
Character Replacement,sigmaalfrich.com,,?,,com,
Character Replacement,sigmaalsrich.com,,?,,com,
Character Replacement,sigmasldrich.com,,?,,com,
Character Replacement,sigmsaldrich.com,,?,,com,
Character Replacement,signaaldrich.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,sihmaaldrich.com,,?,,com,
Character Replacement,sogmaaldrich.com,,?,,com,
Character Replacement,sugmaaldrich.com,,?,,com,
