Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,siepoint.com,,?,,com,
Character Omission,siteoint.com,,?,,com,
Character Omission,sitepint.com,98.124.199.19,AU,AUSTRALIA,,com,
Character Omission,sitepoin.com,,?,,com,
Character Omission,sitepoint.cm,,?,,cm,
Character Omission,sitepoit.com,,?,,com,
Character Omission,sitepont.com,104.28.11.216,,,com,
Character Omission,sitpoint.com,89.31.143.1,PR,PUERTO RICO,mx00.udag.de,com,
Character Omission,stepoint.com,,?,,com,
Character Repeat,siitepoint.com,,?,,com,
Character Repeat,siteepoint.com,,?,,com,
Character Repeat,sitepoiint.com,,?,,com,
Character Repeat,sitepoinnt.com,,?,,com,
Character Repeat,sitepointt.com,,?,,com,
Character Repeat,sitepooint.com,,?,,com,
Character Repeat,siteppoint.com,,?,,com,
Character Repeat,sittepoint.com,,?,,com,
Character Repeat,ssitepoint.com,,?,,com,
Character Swap,istepoint.com,,?,,com,
Character Swap,sietpoint.com,,?,,com,
Character Swap,siteopint.com,,?,,com,
Character Swap,sitepiont.com,209.99.64.43,US,UNITED STATES,,com,
Character Swap,sitepoitn.com,,?,,com,
Character Swap,siteponit.com,,?,,com,
Character Swap,sitpeoint.com,,?,,com,
Character Swap,stiepoint.com,,?,,com,
Character Replacement,aitepoint.com,,?,,com,
Character Replacement,ditepoint.com,,?,,com,
Character Replacement,sirepoint.com,,?,,com,
Character Replacement,siteooint.com,,?,,com,
Character Replacement,sitepiint.com,,?,,com,
Character Replacement,sitepoibt.com,,?,,com,
Character Replacement,sitepoimt.com,,?,,com,
Character Replacement,sitepoinr.com,,?,,com,
Character Replacement,sitepoiny.com,,?,,com,
Character Replacement,sitepoont.com,,?,,com,
Character Replacement,sitepount.com,,?,,com,
Character Replacement,siteppint.com,,?,,com,
Character Replacement,sitrpoint.com,,?,,com,
Character Replacement,sitwpoint.com,,?,,com,
Character Replacement,siyepoint.com,,?,,com,
Character Replacement,sotepoint.com,,?,,com,
Character Replacement,sutepoint.com,,?,,com,
Character Insertion,saitepoint.com,,?,,com,
Character Insertion,sditepoint.com,,?,,com,
Character Insertion,siotepoint.com,,?,,com,
Character Insertion,sitepoinbt.com,,?,,com,
Character Insertion,sitepoinmt.com,,?,,com,
Character Insertion,sitepointr.com,,?,,com,
Character Insertion,sitepointy.com,,?,,com,
Character Insertion,sitepoiont.com,,?,,com,
Character Insertion,sitepoiunt.com,,?,,com,
Character Insertion,sitepopint.com,,?,,com,
Character Insertion,siterpoint.com,,?,,com,
Character Insertion,sitewpoint.com,,?,,com,
Character Insertion,sitrepoint.com,,?,,com,
Character Insertion,sityepoint.com,,?,,com,
Character Insertion,siutepoint.com,,?,,com,
Missing Dot,sitepointcom.com,,?,,com,
Missing Dot,wwwsitepoint.com,98.124.199.119,US,UNITED STATES,,com,
Singular or Pluralise,sitepoints.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,satepoant.com,,?,,com,
Vowel Swap,setepoent.com,,?,,com,
Vowel Swap,sitapoint.com,,?,,com,
Vowel Swap,sitipoint.com,,?,,com,
Vowel Swap,sitopoint.com,,?,,com,
Vowel Swap,situpoint.com,,?,,com,
Vowel Swap,sotepoont.com,,?,,com,
Vowel Swap,sutepount.com,,?,,com,
Homophones,citepoint.com,52.73.71.92,US,UNITED STATES,,com,
Homophones,sayetepoayent.com,,?,,com,
Homophones,seyetepoeyent.com,,?,,com,
Homophones,sightpoint.com,,?,,com,
Bit Flipping,3itepoint.com,,?,,com,
Bit Flipping,qitepoint.com,,?,,com,
Bit Flipping,ritepoint.com,176.74.176.187,JP,JAPAN,,com,
Bit Flipping,satepoint.com,216.239.32.21,US,UNITED STATES,,com,
Bit Flipping,shtepoint.com,,?,,com,
Bit Flipping,si4epoint.com,,?,,com,
Bit Flipping,sidepoint.com,50.63.202.32,US,UNITED STATES,aspmx3.googlemail.com,com,
Bit Flipping,sipepoint.com,,?,,com,
Bit Flipping,sitdpoint.com,,?,,com,
Bit Flipping,site0oint.com,,?,,com,
Bit Flipping,sitepgint.com,,?,,com,
Bit Flipping,sitepkint.com,,?,,com,
Bit Flipping,sitepmint.com,,?,,com,
Bit Flipping,sitepnint.com,,?,,com,
Bit Flipping,sitepoant.com,,?,,com,
Bit Flipping,sitepohnt.com,,?,,com,
Bit Flipping,sitepoi.t.com,,?,,com,
Bit Flipping,sitepoift.com,,?,,com,
Bit Flipping,sitepoijt.com,,?,,com,
Bit Flipping,sitepoilt.com,,?,,com,
Bit Flipping,sitepoin4.com,,?,,com,
Bit Flipping,sitepoind.com,,?,,com,
Bit Flipping,sitepoinp.com,,?,,com,
Bit Flipping,sitepoinu.com,,?,,com,
Bit Flipping,sitepoinv.com,,?,,com,
Bit Flipping,sitepoiot.com,,?,,com,
Bit Flipping,sitepoknt.com,,?,,com,
Bit Flipping,sitepomnt.com,,?,,com,
Bit Flipping,sitepoynt.com,,?,,com,
Bit Flipping,siteqoint.com,,?,,com,
Bit Flipping,siteroint.com,,?,,com,
Bit Flipping,sitetoint.com,,?,,com,
Bit Flipping,sitexoint.com,,?,,com,
Bit Flipping,sitgpoint.com,,?,,com,
Bit Flipping,sitmpoint.com,,?,,com,
Bit Flipping,siuepoint.com,,?,,com,
Bit Flipping,sivepoint.com,,?,,com,
Bit Flipping,sktepoint.com,,?,,com,
Bit Flipping,smtepoint.com,,?,,com,
Bit Flipping,sytepoint.com,104.239.182.75,,sytepoint-com.mail.protection.outlook.com,com,
Bit Flipping,witepoint.com,,?,,com,
Homoglyphs,sitep0int.com,,?,,com,
Homoglyphs,sitepolnt.com,,?,,com,
Homoglyphs,sltepoint.com,,?,,com,
Homoglyphs,sltepolnt.com,,?,,com,
Wrong TLD,sitepoint.ca,209.15.37.6,MK,MACEDONIA,,ca,
Wrong TLD,sitepoint.ch,144.76.27.83,VG,VIRGIN ISLANDS (BRITISH),in1-smtp.messagingengine.com,ch,
Wrong TLD,sitepoint.de,185.189.228.16,,mx1a.fritz-services.com,de,
Wrong TLD,sitepoint.edu,,?,,edu,
Wrong TLD,sitepoint.es,,?,,es,
Wrong TLD,sitepoint.fr,,?,,fr,
Wrong TLD,sitepoint.it,185.53.178.9,,mail.h-email.net,it,
Wrong TLD,sitepoint.jp,,?,,jp,
Wrong TLD,sitepoint.net,54.148.84.95,mj,,,net,
