Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,sk.com,65.202.15.202,US,UNITED STATES,spmail.sk.com,com,
Character Omission,sky.cm,158.69.143.113,US,UNITED STATES,,cm,
Character Omission,sy.com,208.91.197.160,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,skky.com,,?,,com,
Character Repeat,skyy.com,217.29.167.254,IT,ITALY,mx3.campari.com,com,
Character Repeat,ssky.com,184.168.221.10,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Swap,ksy.com,,?,,com,
Character Swap,syk.com,69.90.161.255,US,UNITED STATES,syk.com,com,
Character Replacement,aky.com,,?,,com,
Character Replacement,dky.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Replacement,sjy.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,skt.com,67.192.163.57,US,UNITED STATES,d98873a.ess.barracudanetworks.com,com,
Character Replacement,sku.com,198.57.247.147,,,com,
Character Replacement,sly.com,104.28.17.10,,secure141.inmotionhosting.com,com,
Character Insertion,saky.com,23.23.174.132,US,UNITED STATES,,com,
Character Insertion,sdky.com,45.34.56.145,,,com,
Character Insertion,skjy.com,,?,,com,
Character Insertion,skly.com,72.9.105.30,US,UNITED STATES,,com,
Character Insertion,skyt.com,208.91.197.128,VG,VIRGIN ISLANDS (BRITISH),mx1.netsolmail.net,com,
Character Insertion,skyu.com,,?,,com,
Missing Dot,skycom.com,80.92.65.144,LU,LUXEMBOURG,skycom-com.mail.protection.outlook.com,com,
Missing Dot,wwwsky.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Singular or Pluralise,skies.com,67.195.197.76,US,UNITED STATES,mx-biz.mail.am0.yahoodns.net,com,
Bit Flipping,3ky.com,,?,,com,
Bit Flipping,cky.com,199.85.71.129,E­,,qsmail4.chummail.net,com,
Bit Flipping,qky.com,120.92.3.51,CN,CHINA,,com,
Bit Flipping,rky.com,75.126.101.247,@d,,,com,
Bit Flipping,scy.com,75.126.101.248,US,UNITED STATES,,com,
Bit Flipping,siy.com,75.126.101.247,US,UNITED STATES,,com,
Bit Flipping,sk9.com,64.99.64.32,CA,CANADA,mx.sk9.com.cust.b.hostedemail.com,com,
Bit Flipping,ski.com,54.191.54.109,JM,JAMAICA,d19001b.ess.barracudanetworks.com,com,
Bit Flipping,skq.com,66.96.163.128,US,UNITED STATES,mx.skq.com,com,
Bit Flipping,skx.com,173.242.4.11,US,UNITED STATES,mx1.skechers.com,com,
Bit Flipping,soy.com,77.104.138.221,RO,ROMANIA,mx20.mailspamprotection.com,com,
Bit Flipping,wky.com,184.168.221.96,US,UNITED STATES,0,com,
Wrong TLD,sky.ca,66.196.36.78,CA,CANADA,sky.ca,ca,
Wrong TLD,sky.ch,212.98.60.118,CH,SWITZERLAND,webmail.homedia.ch,ch,
Wrong TLD,sky.de,90.222.208.170,GB,UNITED KINGDOM,sky-de.mail.protection.outlook.com,de,
Wrong TLD,sky.edu,,?,,edu,
Wrong TLD,sky.es,52.211.136.29,US,UNITED STATES,inbound-smtp.eu-west-1.amazonaws.com,es,
Wrong TLD,sky.fr,,?,mx01.sitadelle.com,fr,
Wrong TLD,sky.it,185.26.140.70,,sky-it.mail.protection.outlook.com,it,
Wrong TLD,sky.jp,219.94.232.142,JP,JAPAN,v6.sky.or.jp,jp,
Wrong TLD,sky.net,,?,mail.sky.net,net,
Wrong TLD,sky.nl,109.72.87.226,NL,NETHERLANDS,fallback.mail.pcextreme.nl,nl,
Wrong TLD,sky.no,144.76.249.236,DE,GERMANY,mail.sky.no,no,
Wrong TLD,sky.org,,?,mx2.kaapeli.fi,org,
Wrong TLD,sky.ru,217.114.0.81,RU,RUSSIAN FEDERATION,mail.sky.ru,ru,
Wrong TLD,sky.se,194.9.94.85,SE,SWEDEN,alt2.aspmx.l.google.com,se,
Wrong TLD,sky.us,93.190.235.135,DE,GERMANY,,us,

