Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,s.com,,?,,com,
Character Omission,so.cm,103.96.151.78,,,cm,
Character Repeat,soo.com,199.202.113.33,CA,CANADA,modemcable142.123-70-69.static.videotron.ca,com,
Character Repeat,sso.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Character Swap,os.com,120.24.50.124,CN,CHINA,mx.zoho.com,com,
Character Replacement,ao.com,104.79.137.161,,eu-smtp-inbound-2.mimecast.com,com,
Character Replacement,do.com,198.49.23.144,,aspmx3.googlemail.com,com,
Character Replacement,si.com,54.230.19.252,US,UNITED STATES,us-smtp-inbound-1.mimecast.com,com,
Character Replacement,sp.com,185.26.230.129,,,com,
Character Insertion,sao.com,162.159.211.86,,mxbiz2.qq.com,com,
Character Insertion,sdo.com,222.73.2.76,CN,CHINA,mx2.sdo.com,com,
Character Insertion,soi.com,198.135.131.41,PK,PAKISTAN,mx1.trinet.com,com,
Character Insertion,sop.com,65.18.195.170,US,UNITED STATES,mail1.sop.com,com,
Missing Dot,socom.com,160.33.51.68,US,UNITED STATES,,com,
Missing Dot,wwwso.com,,?,,com,
Singular or Pluralise,sos.com,198.54.116.172,,imap.sos.com,com,
Homophones,sew.com,23.23.86.44,US,UNITED STATES,0.0.0.0,com,
Homophones,sow.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,3o.com,,?,,com,
Bit Flipping,co.com,173.192.76.171,PR,PUERTO RICO,lastmx.spamexperts.net,com,
Bit Flipping,qo.com,162.242.150.89,,,com,
Bit Flipping,ro.com,60.205.85.2,CN,CHINA,mxbiz2.qq.com,com,
Bit Flipping,sg.com,50.57.203.223,US,UNITED STATES,sg-com.mail.protection.outlook.com,com,
Bit Flipping,sk.com,65.202.15.202,US,UNITED STATES,spmail.sk.com,com,
Bit Flipping,sm.com,184.168.221.2,UA,UKRAINE,mail3.smprime.com,com,
Bit Flipping,sn.com,96.45.83.49,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,wo.com,49.51.8.200,CN,CHINA,,com,
Homoglyphs,s0.com,208.91.197.26,VG,VIRGIN ISLANDS (BRITISH),,com,
Wrong TLD,so.ca,216.40.47.17,CA,CANADA,mx.so.ca.cust.hostedemail.com,ca,
Wrong TLD,so.ch,193.135.80.188,CH,SWITZERLAND,in-mail1.so.ch,ch,
Wrong TLD,so.de,185.53.179.8,,mail.h-email.net,de,
Wrong TLD,so.edu,,?,,edu,
Wrong TLD,so.es,,?,,es,
Wrong TLD,so.fr,62.210.105.203,FR,FRANCE,,fr,
Wrong TLD,so.it,,?,,it,
Wrong TLD,so.jp,,?,,jp,
Wrong TLD,so.net,72.52.4.119,US,UNITED STATES,localhost,net,
Wrong TLD,so.nl,95.170.95.24,NL,NETHERLANDS,mail.so.nl,nl,
Wrong TLD,so.no,104.236.44.118,,,no,
Wrong TLD,so.org,216.157.88.27,US,UNITED STATES,,org,
Wrong TLD,so.ru,91.230.208.18,RU,RUSSIAN FEDERATION,mail.so.ru,ru,
Wrong TLD,so.se,46.59.86.6,SE,SWEDEN,,se,
Wrong TLD,so.us,,?,,us,

