Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,shu.com,121.201.112.133,CN,CHINA,,com,
Character Omission,soh.com,45.33.14.247,,smtp.secureserver.net,com,
Character Omission,sohu.cm,,?,,cm,
Character Omission,sou.com,42.236.9.70,CN,CHINA,mail.ex.360.cn,com,
Character Repeat,sohhu.com,104.160.171.82,,,com,
Character Repeat,sohuu.com,60.205.33.82,CN,CHINA,mxbiz1.qq.com,com,
Character Repeat,soohu.com,67.227.167.29,US,UNITED STATES,,com,
Character Repeat,ssohu.com,52.4.209.250,US,UNITED STATES,,com,
Character Swap,oshu.com,176.74.176.187,UA,UKRAINE,,com,
Character Swap,shou.com,204.74.211.183,US,UNITED STATES,,com,
Character Swap,souh.com,184.154.126.180,US,UNITED STATES,,com,
Character Replacement,aohu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,dohu.com,185.53.179.6,,mail.h-email.net,com,
Character Replacement,sihu.com,,?,mxbiz1.qq.com,com,
Character Replacement,sogu.com,23.236.62.147,,freemail-g2.xinnetdns.com,com,
Character Replacement,sohi.com,199.59.242.150,US,UNITED STATES,mx76.m2bp.com,com,
Character Replacement,sohy.com,176.74.176.187,CA,CANADA,,com,
Character Replacement,soju.com,107.180.0.192,,mail.soju.com,com,
Character Replacement,sphu.com,72.9.105.30,US,UNITED STATES,,com,
Character Insertion,saohu.com,74.117.114.119,KY,CAYMAN ISLANDS,mx174.m1bp.com,com,
Character Insertion,sdohu.com,199.59.242.150,Ju,,mx76.mb1p.com,com,
Character Insertion,sohgu.com,,?,,com,
Character Insertion,sohju.com,52.73.71.92,US,UNITED STATES,,com,
Character Insertion,sohui.com,184.168.221.65,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,sohuy.com,103.232.215.131,,mail.skrimple.com,com,
Character Insertion,soihu.com,184.154.126.180,US,UNITED STATES,,com,
Character Insertion,sophu.com,52.71.185.125,US,UNITED STATES,,com,
Missing Dot,sohucom.com,185.53.179.6,,mail.h-email.net,com,
Missing Dot,wwwsohu.com,,?,,com,
Singular or Pluralise,sohus.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,soha.com,23.236.62.147,,soha-com.mail.protection.outlook.com,com,
Vowel Swap,sohe.com,66.96.149.22,US,UNITED STATES,mx.sohe.com,com,
Vowel Swap,soho.com,23.23.174.132,US,UNITED STATES,,com,
Homophones,sewhu.com,,?,,com,
Homophones,soweu.com,50.63.202.39,SE,SWEDEN,smtp.secureserver.net,com,
Homophones,sowhu.com,,?,,com,
Bit Flipping,3ohu.com,123.125.116.12,CN,CHINA,,com,
Bit Flipping,cohu.com,52.171.221.170,SG,SINGAPORE,cohu-com.mail.protection.outlook.com,com,
Bit Flipping,qohu.com,104.160.171.79,,,com,
Bit Flipping,rohu.com,107.180.113.150,,smtp.secureserver.net,com,
Bit Flipping,sghu.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,skhu.com,176.74.176.187,US,UNITED STATES,,com,
Bit Flipping,smhu.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,snhu.com,185.53.179.7,,mail.h-email.net,com,
Bit Flipping,soh5.com,,?,,com,
Bit Flipping,sohq.com,69.172.201.153,AT,AUSTRIA,,com,
Bit Flipping,soht.com,185.53.178.8,,mail.h-email.net,com,
Bit Flipping,sohw.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Bit Flipping,soiu.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,solu.com,50.63.126.106,US,UNITED STATES,,com,
Bit Flipping,soxu.com,98.124.199.26,US,UNITED STATES,,com,
Bit Flipping,wohu.com,103.59.164.125,,wohu.com,com,
Homoglyphs,s0hu.com,184.168.221.94,US,UNITED STATES,smtp.secureserver.net,com,
Wrong TLD,sohu.ca,184.168.221.47,NO,NORWAY,,ca,
Wrong TLD,sohu.ch,,?,,ch,
Wrong TLD,sohu.de,72.52.4.90,US,UNITED STATES,mailgw.ns36.de,de,
Wrong TLD,sohu.edu,,?,,edu,
Wrong TLD,sohu.es,217.13.124.102,ES,SPAIN,mail.sohu.es,es,
Wrong TLD,sohu.fr,185.98.131.46,,mail.sohu.fr,fr,
Wrong TLD,sohu.it,,?,,it,
Wrong TLD,sohu.jp,150.95.255.38,JP,JAPAN,,jp,
Wrong TLD,sohu.net,61.135.181.175,CN,CHINA,mx.mail.sohu.net,net,
Wrong TLD,sohu.nl,46.17.3.112,NL,NETHERLANDS,mxb.mailgun.org,nl,
Wrong TLD,sohu.no,,?,,no,
Wrong TLD,sohu.org,61.135.181.175,CN,CHINA,,org,
Wrong TLD,sohu.ru,90.156.201.16,RU,RUSSIAN FEDERATION,mx1.masterhost.ru,ru,
Wrong TLD,sohu.se,195.74.38.63,RU,RUSSIAN FEDERATION,mail2.sohu.se,se,
Wrong TLD,sohu.us,,?,mxdomain.qq.com,us,

