Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,sanishdict.com,199.191.50.73,,,com,
Character Omission,spaishdict.com,208.91.196.152,US,UNITED STATES,,com,
Character Omission,spanihdict.com,69.172.201.153,BD,BANGLADESH,,com,
Character Omission,spanisdict.com,199.191.50.73,,,com,
Character Omission,spanishdct.com,185.53.178.7,,mail.h-email.net,com,
Character Omission,spanishdic.com,50.63.202.14,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Omission,spanishdict.cm,162.255.119.225,,eforward2.registrar-servers.com,cm,
Character Omission,spanishdit.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,spanishict.com,95.211.219.67,NL,NETHERLANDS,,com,
Character Omission,spanshdict.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,spnishdict.com,207.244.67.139,US,UNITED STATES,,com,
Character Repeat,spaanishdict.com,,?,,com,
Character Repeat,spaniishdict.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,spanishddict.com,,?,,com,
Character Repeat,spanishdicct.com,,?,,com,
Character Repeat,spanishdictt.com,54.225.145.81,US,UNITED STATES,mx2.privateemail.com,com,
Character Repeat,spanishdiict.com,,?,,com,
Character Repeat,spanishhdict.com,198.58.122.166,,mail.mxproc.com,com,
Character Repeat,spanisshdict.com,,?,,com,
Character Repeat,spannishdict.com,69.162.80.57,US,UNITED STATES,,com,
Character Repeat,sppanishdict.com,,?,,com,
Character Repeat,sspanishdict.com,103.224.212.196,,park-mx.above.com,com,
Character Swap,psanishdict.com,,?,,com,
Character Swap,sapnishdict.com,185.53.178.8,,mail.h-email.net,com,
Character Swap,spainshdict.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Swap,spanihsdict.com,,?,,com,
Character Swap,spanisdhict.com,,?,,com,
Character Swap,spanishdcit.com,176.74.176.187,US,UNITED STATES,,com,
Character Swap,spanishditc.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,spanishidct.com,,?,,com,
Character Swap,spansihdict.com,199.191.50.73,,,com,
Character Swap,spnaishdict.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,apanishdict.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Replacement,dpanishdict.com,,?,,com,
Character Replacement,soanishdict.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,spabishdict.com,,?,,com,
Character Replacement,spamishdict.com,185.53.179.8,,mail.h-email.net,com,
Character Replacement,spaniahdict.com,,?,,com,
Character Replacement,spanidhdict.com,67.55.92.187,US,UNITED STATES,mx7.spanidhdict.com,com,
Character Replacement,spanisgdict.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,spanishdicr.com,,?,,com,
Character Replacement,spanishdicy.com,95.211.117.215,NL,NETHERLANDS,,com,
Character Replacement,spanishdivt.com,,?,,com,
Character Replacement,spanishdixt.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,spanishdoct.com,103.224.182.251,,mx92.m1bp.com,com,
Character Replacement,spanishduct.com,103.224.182.243,,mx92.m1bp.com,com,
Character Replacement,spanishfict.com,,?,,com,
Character Replacement,spanishsict.com,185.53.179.6,,,com,
Character Replacement,spanisjdict.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,spanoshdict.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,spanushdict.com,,?,,com,
Character Replacement,spsnishdict.com,,?,,com,
Character Insertion,sapanishdict.com,,?,,com,
Character Insertion,sdpanishdict.com,,?,,com,
Character Insertion,spanbishdict.com,141.8.224.93,Ñ,,,com,
Character Insertion,spanioshdict.com,,?,,com,
Character Insertion,spanisahdict.com,,?,,com,
Character Insertion,spanisdhdict.com,,?,,com,
Character Insertion,spanishdfict.com,,?,,com,
Character Insertion,spanishdictr.com,,?,,com,
Character Insertion,spanishdicty.com,,?,,com,
Character Insertion,spanishdicvt.com,,?,,com,
Character Insertion,spanishdicxt.com,,?,,com,
Character Insertion,spanishdioct.com,,?,,com,
