Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,sortingnews.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Character Omission,sporingnews.com,,?,,com,
Character Omission,sportignews.com,205.251.138.97,US,UNITED STATES,sportignews.com,com,
Character Omission,sportingews.com,24.89.132.150,US,UNITED STATES,,com,
Character Omission,sportingnes.com,69.64.147.34,US,UNITED STATES,,com,
Character Omission,sportingnew.com,144.76.1.130,DE,GERMANY,,com,
Character Omission,sportingnews.cm,,?,,cm,
Character Omission,sportingnws.com,,?,,com,
Character Omission,sportinnews.com,69.64.147.33,US,UNITED STATES,,com,
Character Omission,sportngnews.com,141.8.224.93,,,com,
Character Omission,spotingnews.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,sprtingnews.com,,?,,com,
Character Repeat,spoortingnews.com,,?,,com,
Character Repeat,sporrtingnews.com,,?,,com,
Character Repeat,sportiingnews.com,,?,,com,
Character Repeat,sportinggnews.com,,?,,com,
Character Repeat,sportingneews.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,sportingnewss.com,,?,,com,
Character Repeat,sportingnewws.com,,?,,com,
Character Repeat,sportingnnews.com,,?,,com,
Character Repeat,sportinngnews.com,,?,,com,
Character Repeat,sporttingnews.com,51.254.28.162,GB,UNITED KINGDOM,,com,
Character Repeat,spportingnews.com,,?,,com,
Character Repeat,ssportingnews.com,,?,,com,
Character Swap,psortingnews.com,,?,,com,
Character Swap,soprtingnews.com,,?,,com,
Character Swap,sporitngnews.com,,?,,com,
Character Swap,sportignnews.com,,?,,com,
Character Swap,sportingenws.com,,?,,com,
Character Swap,sportingnesw.com,,?,,com,
Character Swap,sportingnwes.com,,?,,com,
Character Swap,sportinngews.com,,?,,com,
Character Swap,sportnignews.com,,?,,com,
Character Swap,spotringnews.com,,?,,com,
Character Swap,sprotingnews.com,,?,,com,
Character Replacement,aportingnews.com,,?,,com,
Character Replacement,dportingnews.com,,?,,com,
Character Replacement,soortingnews.com,,?,,com,
Character Replacement,spirtingnews.com,,?,,com,
Character Replacement,spoetingnews.com,,?,,com,
Character Replacement,sporringnews.com,,?,,com,
Character Replacement,sportibgnews.com,,?,,com,
