Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,sqare-enix.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,squae-enix.com,209.15.13.134,RO,ROMANIA,mail.b-io.co,com,
Character Omission,squar-enix.com,185.53.178.8,,mail.h-email.net,com,
Character Omission,square-eix.com,,?,,com,
Character Omission,square-eni.com,,?,,com,
Character Omission,square-enix.cm,,?,,cm,
Character Omission,square-enx.com,,?,,com,
Character Omission,square-nix.com,,?,,com,
Character Omission,squareenix.com,202.67.63.148,JP,JAPAN,jp-exe012.squareenix.com,com,
Character Omission,squre-enix.com,199.191.50.73,,,com,
Character Omission,suare-enix.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,sqquare-enix.com,,?,,com,
Character Repeat,squaare-enix.com,,?,,com,
Character Repeat,square--enix.com,,?,,com,
Character Repeat,square-eenix.com,,?,,com,
Character Repeat,square-eniix.com,,?,,com,
Character Repeat,square-enixx.com,,?,,com,
Character Repeat,square-ennix.com,,?,,com,
Character Repeat,squaree-enix.com,,?,,com,
Character Repeat,squarre-enix.com,,?,,com,
Character Repeat,squuare-enix.com,,?,,com,
Character Repeat,ssquare-enix.com,,?,,com,
Character Swap,qsuare-enix.com,,?,,com,
Character Swap,sqaure-enix.com,199.191.50.73,,,com,
Character Swap,squaer-enix.com,,?,,com,
Character Swap,squar-eenix.com,,?,,com,
Character Swap,square-einx.com,,?,,com,
Character Swap,square-enxi.com,,?,,com,
Character Swap,square-neix.com,,?,,com,
Character Swap,squaree-nix.com,,?,,com,
Character Swap,squrae-enix.com,,?,,com,
Character Swap,suqare-enix.com,,?,,com,
Character Replacement,aquare-enix.com,,?,,com,
Character Replacement,dquare-enix.com,,?,,com,
Character Replacement,sqiare-enix.com,,?,,com,
Character Replacement,squaee-enix.com,,?,,com,
Character Replacement,square-ebix.com,,?,,com,
Character Replacement,square-emix.com,,?,,com,
Character Replacement,square-enic.com,,?,,com,
Character Replacement,square-eniz.com,,?,,com,
Character Replacement,square-enox.com,,?,,com,
Character Replacement,square-enux.com,,?,,com,
Character Replacement,square-rnix.com,,?,,com,
Character Replacement,square-wnix.com,,?,,com,
Character Replacement,square0enix.com,,?,,com,
Character Replacement,squarr-enix.com,,?,,com,
Character Replacement,squarw-enix.com,,?,,com,
Character Replacement,squate-enix.com,,?,,com,
Character Replacement,squsre-enix.com,,?,,com,
Character Replacement,sqyare-enix.com,,?,,com,
Character Replacement,swuare-enix.com,,?,,com,
Character Insertion,saquare-enix.com,,?,,com,
Character Insertion,sdquare-enix.com,,?,,com,
Character Insertion,square-0enix.com,,?,,com,
Character Insertion,square-enbix.com,,?,,com,
Character Insertion,square-eniox.com,,?,,com,
Character Insertion,square-eniux.com,,?,,com,
Character Insertion,square-enixc.com,,?,,com,
Character Insertion,square-enixz.com,,?,,com,
Character Insertion,square-enmix.com,,?,,com,
Character Insertion,square-ernix.com,,?,,com,
Character Insertion,square-ewnix.com,,?,,com,
