Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,seampowered.com,54.72.11.253,US,UNITED STATES,mail.h-email.net,com,
Character Omission,stampowered.com,199.191.50.73,,,com,
Character Omission,steamowered.com,199.191.50.73,,,com,
Character Omission,steampoered.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,steampoweed.com,199.191.50.73,,,com,
Character Omission,steampowerd.com,95.211.219.65,NL,NETHERLANDS,,com,
Character Omission,steampowere.com,199.191.50.73,,,com,
Character Omission,steampowered.cm,199.59.242.150,CN,CHINA,mx76.m2bp.com,cm,
Character Omission,steampowred.com,81.171.22.7,NL,NETHERLANDS,,com,
Character Omission,steampwered.com,208.91.196.152,US,UNITED STATES,,com,
Character Omission,steapowered.com,208.91.196.152,CA,CANADA,,com,
Character Omission,stempowered.com,207.244.67.216,US,UNITED STATES,,com,
Character Repeat,ssteampowered.com,67.55.92.184,US,UNITED STATES,mx7.ssteampowered.com,com,
Character Repeat,steaampowered.com,67.55.92.187,US,UNITED STATES,mx7.steaampowered.com,com,
Character Repeat,steammpowered.com,184.168.221.96,US,UNITED STATES,10,com,
Character Repeat,steampoowered.com,,?,,com,
Character Repeat,steampoweered.com,184.168.221.96,US,UNITED STATES,0,com,
Character Repeat,steampoweredd.com,,?,,com,
Character Repeat,steampowereed.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,steampowerred.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Repeat,steampowwered.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,steamppowered.com,217.160.0.78,DE,GERMANY,mx01.1and1.co.uk,com,
Character Repeat,steeampowered.com,95.211.219.66,NL,NETHERLANDS,,com,
Character Repeat,stteampowered.com,184.168.221.96,US,UNITED STATES,10,com,
Character Swap,setampowered.com,45.33.9.234,,mail.mxproc.com,com,
Character Swap,staempowered.com,81.171.22.7,NL,NETHERLANDS,,com,
Character Swap,steamopwered.com,185.53.178.6,,mail.h-email.net,com,
Character Swap,steampoewred.com,67.55.92.187,US,UNITED STATES,mx7.steampoewred.com,com,
Character Swap,steampoweerd.com,,?,,com,
Character Swap,steampowerde.com,104.24.106.241,,,com,
Character Swap,steampowreed.com,185.53.179.6,,mail.h-email.net,com,
Character Swap,steampwoered.com,199.191.50.73,,,com,
Character Swap,steapmowered.com,185.53.178.8,,mail.h-email.net,com,
Character Swap,stemapowered.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Swap,tseampowered.com,,?,,com,
Character Replacement,ateampowered.com,69.163.217.222,US,UNITED STATES,mx1.balanced.homie.mail.dreamhost.com,com,
Character Replacement,dteampowered.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Replacement,sreampowered.com,199.191.50.73,,,com,
Character Replacement,steamoowered.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,steampiwered.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,steampoeered.com,,?,,com,
Character Replacement,steampoqered.com,,?,,com,
Character Replacement,steampoweeed.com,,?,,com,
Character Replacement,steampoweref.com,,?,,com,
Character Replacement,steampoweres.com,67.55.121.97,US,UNITED STATES,,com,
Character Replacement,steampowerrd.com,213.247.47.190,SG,SINGAPORE,mx7.steampowerrd.com,com,
Character Replacement,steampowerwd.com,199.115.116.216,EU,EUROPEAN UNION,,com,
Character Replacement,steampoweted.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,steampowrred.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,steampowwred.com,,?,,com,
Character Replacement,steamppwered.com,,?,,com,
Character Replacement,steanpowered.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,stesmpowered.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,strampowered.com,185.53.178.8,,mail.h-email.net,com,
Character Replacement,stwampowered.com,185.53.178.8,,mail.h-email.net,com,
Character Replacement,syeampowered.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Insertion,sateampowered.com,,?,,com,
Character Insertion,sdteampowered.com,,?,,com,
Character Insertion,steamnpowered.com,,?,,com,
Character Insertion,steampoiwered.com,,?,,com,
Character Insertion,steampopwered.com,,?,,com,
Character Insertion,steampoweredf.com,,?,,com,
Character Insertion,steampowereds.com,54.72.130.67,US,UNITED STATES,,com,
Character Insertion,steampowererd.com,199.191.50.73,,,com,
Character Insertion,steampowerewd.com,,?,,com,
Character Insertion,steampowerted.com,173.239.8.164,US,UNITED STATES,mx7.steampowerted.com,com,
Character Insertion,steampowewred.com,,?,,com,
Character Insertion,steampowqered.com,,?,,com,
Character Insertion,steasmpowered.com,,?,,com,
Character Insertion,sterampowered.com,,?,,com,
Character Insertion,stewampowered.com,,?,,com,
Character Insertion,streampowered.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Insertion,styeampowered.com,,?,,com,
Missing Dot,steampoweredcom.com,,?,,com,
Missing Dot,wwwsteampowered.com,199.191.50.73,,,com,
Vowel Swap,staampowarad.com,,?,,com,
Vowel Swap,steempowered.com,199.191.50.73,,,com,
Vowel Swap,steimpowered.com,,?,,com,
Vowel Swap,steompowered.com,,?,,com,
Vowel Swap,steumpowered.com,,?,,com,
Vowel Swap,stiampowirid.com,,?,,com,
Vowel Swap,stoampoworod.com,,?,,com,
Vowel Swap,stuampowurud.com,,?,,com,
Homophones,steampohred.com,,?,,com,
Homophones,steampowaird.com,,?,,com,
Homophones,steampowe'red.com,,?,,com,
Homophones,steampoweird.com,,?,,com,
Homophones,steampoweread.com,,?,,com,
Homophones,steampowheird.com,,?,,com,
Bit Flipping,3teampowered.com,,?,,com,
Bit Flipping,cteampowered.com,,?,,com,
Bit Flipping,qteampowered.com,,?,,com,
Bit Flipping,rteampowered.com,,?,,com,
Bit Flipping,s4eampowered.com,,?,,com,
Bit Flipping,sdeampowered.com,,?,,com,
Bit Flipping,speampowered.com,103.224.212.222,,mx92.m1bp.com,com,
Bit Flipping,staampowered.com,,?,,com,
Bit Flipping,stdampowered.com,,?,,com,
Bit Flipping,stea-powered.com,,?,,com,
Bit Flipping,steaepowered.com,,?,,com,
Bit Flipping,steaipowered.com,,?,,com,
Bit Flipping,stealpowered.com,,?,,com,
Bit Flipping,steam0owered.com,,?,,com,
Bit Flipping,steampgwered.com,,?,,com,
Bit Flipping,steampkwered.com,,?,,com,
Bit Flipping,steampmwered.com,,?,,com,
Bit Flipping,steampnwered.com,,?,,com,
Bit Flipping,steampo7ered.com,,?,,com,
Bit Flipping,steampogered.com,,?,,com,
Bit Flipping,steamposered.com,,?,,com,
Bit Flipping,steampouered.com,,?,,com,
Bit Flipping,steampovered.com,141.8.224.169,CH,SWITZERLAND,,com,
Bit Flipping,steampowared.com,,?,,com,
Bit Flipping,steampowdred.com,,?,,com,
Bit Flipping,steampowe2ed.com,,?,,com,
Bit Flipping,steampowebed.com,,?,,com,
Bit Flipping,steampoweped.com,,?,,com,
Bit Flipping,steampowerad.com,,?,,com,
Bit Flipping,steampowerdd.com,,?,,com,
Bit Flipping,steampoweree.com,,?,,com,
Bit Flipping,steampowerel.com,,?,,com,
Bit Flipping,steampoweret.com,,?,,com,
Bit Flipping,steampowergd.com,,?,,com,
Bit Flipping,steampowermd.com,,?,,com,
Bit Flipping,steampowerud.com,,?,,com,
Bit Flipping,steampowesed.com,,?,,com,
Bit Flipping,steampoweved.com,,?,,com,
Bit Flipping,steampowezed.com,,?,,com,
Bit Flipping,steampowgred.com,,?,,com,
Bit Flipping,steampowmred.com,,?,,com,
Bit Flipping,steampowured.com,,?,,com,
Bit Flipping,steamqowered.com,,?,,com,
Bit Flipping,steamrowered.com,,?,,com,
Bit Flipping,steamtowered.com,,?,,com,
Bit Flipping,steamxowered.com,,?,,com,
Bit Flipping,steaopowered.com,,?,,com,
Bit Flipping,stecmpowered.com,,?,,com,
Bit Flipping,steqmpowered.com,,?,,com,
Bit Flipping,stgampowered.com,,?,,com,
Bit Flipping,stmampowered.com,,?,,com,
Bit Flipping,stuampowered.com,,?,,com,
Bit Flipping,sueampowered.com,,?,,com,
Bit Flipping,sveampowered.com,,?,,com,
Bit Flipping,wteampowered.com,,?,,com,
Homoglyphs,steamp0wered.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Homoglyphs,steampovvered.com,93.89.224.109,TR,TURKEY,mx01.steampovvered.com,com,
Homoglyphs,steampowerecl.com,74.220.215.76,US,UNITED STATES,steampowerecl.com,com,
Homoglyphs,stearnpowered.com,52.71.185.125,US,UNITED STATES,,com,
Wrong TLD,steampowered.ca,185.53.178.8,,,ca,
Wrong TLD,steampowered.ch,81.169.145.159,DE,GERMANY,smtpin.rzone.de,ch,
Wrong TLD,steampowered.de,217.160.231.248,DE,GERMANY,mx01.schlund.de,de,
Wrong TLD,steampowered.edu,,?,,edu,
Wrong TLD,steampowered.es,72.52.4.119,US,UNITED STATES,localhost,es,
Wrong TLD,steampowered.fr,,?,,fr,
Wrong TLD,steampowered.it,,?,,it,
Wrong TLD,steampowered.jp,,?,,jp,
Wrong TLD,steampowered.net,,?,mx-fwd-1.nearlyfreespeech.net,net,
Wrong TLD,steampowered.nl,91.198.87.15,NL,NETHERLANDS,mail.steampowered.nl,nl,
Wrong TLD,steampowered.no,194.63.248.70,NO,NORWAY,mx.domeneshop.no,no,
Wrong TLD,steampowered.org,149.202.120.35,DE,GERMANY,,org,
Wrong TLD,steampowered.ru,82.98.86.162,DE,GERMANY,,ru,
Wrong TLD,steampowered.se,45.32.232.250,,,se,
