Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,stdentdoctor.net,,?,,net,
Character Omission,studendoctor.net,199.191.50.73,,,net,
Character Omission,studentdctor.net,,?,,net,
Character Omission,studentdocor.net,,?,,net,
Character Omission,studentdocto.net,184.168.221.3,US,UNITED STATES,smtp.secureserver.net,net,
Character Omission,studentdoctor.ne,,?,,ne,
Character Omission,studentdoctr.net,5.22.149.135,2@,,,net,
Character Omission,studentdotor.net,,?,,net,
Character Omission,studentoctor.net,209.15.13.134,¸©,,mail.b-io.co,net,
Character Omission,studetdoctor.net,5.22.149.135,US,UNITED STATES,,net,
Character Omission,studntdoctor.net,,?,,net,
Character Omission,stuentdoctor.net,,?,,net,
Character Omission,sudentdoctor.net,50.63.202.16,US,UNITED STATES,mailstore1.secureserver.net,net,
Character Repeat,sstudentdoctor.net,,?,,net,
Character Repeat,sttudentdoctor.net,,?,,net,
Character Repeat,studdentdoctor.net,,?,,net,
Character Repeat,studeentdoctor.net,,?,,net,
Character Repeat,studenntdoctor.net,,?,,net,
Character Repeat,studentddoctor.net,,?,,net,
Character Repeat,studentdocctor.net,,?,,net,
Character Repeat,studentdoctoor.net,,?,,net,
Character Repeat,studentdoctorr.net,,?,,net,
Character Repeat,studentdocttor.net,,?,,net,
Character Repeat,studentdooctor.net,,?,,net,
Character Repeat,studenttdoctor.net,,?,,net,
Character Repeat,stuudentdoctor.net,,?,,net,
Character Swap,stduentdoctor.net,,?,,net,
Character Swap,studendtoctor.net,,?,,net,
Character Swap,studentdcotor.net,,?,,net,
Character Swap,studentdocotr.net,,?,,net,
Character Swap,studentdoctro.net,,?,,net,
Character Swap,studentdotcor.net,,?,,net,
Character Swap,studentodctor.net,,?,,net,
Character Swap,studetndoctor.net,,?,,net,
Character Swap,studnetdoctor.net,68.178.213.61,US,UNITED STATES,,net,
Character Swap,stuedntdoctor.net,,?,,net,
Character Swap,sutdentdoctor.net,,?,,net,
Character Swap,tsudentdoctor.net,,?,,net,
Character Replacement,atudentdoctor.net,,?,,net,
Character Replacement,dtudentdoctor.net,,?,,net,
Character Replacement,srudentdoctor.net,,?,,net,
Character Replacement,stidentdoctor.net,,?,,net,
Character Replacement,studebtdoctor.net,,?,,net,
Character Replacement,studemtdoctor.net,5.22.149.135,DE,GERMANY,,net,
Character Replacement,studenrdoctor.net,,?,,net,
Character Replacement,studentdictor.net,,?,,net,
Character Replacement,studentdocror.net,,?,,net,
Character Replacement,studentdoctir.net,,?,,net,
Character Replacement,studentdoctoe.net,,?,,net,
Character Replacement,studentdoctot.net,,?,,net,
Character Replacement,studentdoctpr.net,,?,,net,
Character Replacement,studentdocyor.net,,?,,net,
Character Replacement,studentdovtor.net,,?,,net,
Character Replacement,studentdoxtor.net,,?,,net,
Character Replacement,studentdpctor.net,,?,,net,
Character Replacement,studentfoctor.net,,?,,net,
Character Replacement,studentsoctor.net,,?,,net,
Character Replacement,studenydoctor.net,,?,,net,
Character Replacement,studrntdoctor.net,,?,,net,
Character Replacement,studwntdoctor.net,,?,,net,
Character Replacement,stufentdoctor.net,,?,,net,
Character Replacement,stusentdoctor.net,,?,,net,
Character Replacement,stydentdoctor.net,,?,,net,
Character Replacement,syudentdoctor.net,,?,,net,
Character Insertion,satudentdoctor.net,,?,,net,
Character Insertion,sdtudentdoctor.net,,?,,net,
Character Insertion,strudentdoctor.net,,?,,net,
Character Insertion,studenbtdoctor.net,,?,,net,
Character Insertion,studenmtdoctor.net,,?,,net,
Character Insertion,studentdfoctor.net,,?,,net,
Character Insertion,studentdoctoir.net,,?,,net,
Character Insertion,studentdoctopr.net,,?,,net,
Character Insertion,studentdoctore.net,,?,,net,
Character Insertion,studentdoctort.net,,?,,net,
Character Insertion,studentdoctror.net,,?,,net,
Character Insertion,studentdoctyor.net,,?,,net,
Character Insertion,studentdocvtor.net,,?,,net,
Character Insertion,studentdocxtor.net,,?,,net,
Character Insertion,studentdoictor.net,,?,,net,
Character Insertion,studentdopctor.net,,?,,net,
Character Insertion,studentdsoctor.net,,?,,net,
Character Insertion,studentrdoctor.net,,?,,net,
Character Insertion,studentydoctor.net,,?,,net,
Character Insertion,studerntdoctor.net,,?,,net,
Character Insertion,studewntdoctor.net,,?,,net,
Character Insertion,studfentdoctor.net,,?,,net,
Character Insertion,studsentdoctor.net,,?,,net,
Character Insertion,stuidentdoctor.net,,?,,net,
Character Insertion,stuydentdoctor.net,,?,,net,
Character Insertion,styudentdoctor.net,,?,,net,
Missing Dot,studentdoctornet.com,,?,,com,
Missing Dot,wwwstudentdoctor.net,,?,,net,
Singular or Pluralise,studentdoctors.net,50.63.202.29,US,UNITED STATES,smtp.secureserver.net,net,
Vowel Swap,stadentdoctor.net,,?,,net,
Vowel Swap,stedentdoctor.net,,?,,net,
Vowel Swap,stodentdoctor.net,,?,,net,
Vowel Swap,studentdactar.net,,?,,net,
Vowel Swap,studentdecter.net,,?,,net,
Vowel Swap,studentdictir.net,,?,,net,
Vowel Swap,studentductur.net,,?,,net,
Homophones,studentdewctor.net,,?,,net,
Homophones,studentdoctoar.net,,?,,net,
Homophones,studentdoctwor.net,,?,,net,
Homophones,studentduector.net,,?,,net,
Bit Flipping,3tudentdoctor.net,,?,,net,
Bit Flipping,ctudentdoctor.net,,?,,net,
Bit Flipping,qtudentdoctor.net,,?,,net,
Bit Flipping,rtudentdoctor.net,,?,,net,
Bit Flipping,s4udentdoctor.net,,?,,net,
Bit Flipping,sdudentdoctor.net,,?,,net,
Bit Flipping,spudentdoctor.net,,?,,net,
Bit Flipping,st5dentdoctor.net,,?,,net,
Bit Flipping,stqdentdoctor.net,,?,,net,
Bit Flipping,sttdentdoctor.net,,?,,net,
Bit Flipping,studantdoctor.net,,?,,net,
Bit Flipping,studdntdoctor.net,,?,,net,
Bit Flipping,stude.tdoctor.net,,?,,net,
Bit Flipping,studeftdoctor.net,,?,,net,
Bit Flipping,studejtdoctor.net,,?,,net,
Bit Flipping,studeltdoctor.net,,?,,net,
Bit Flipping,studen4doctor.net,,?,,net,
