Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,slekha.com,50.63.202.17,US,UNITED STATES,,com,
Character Omission,suekha.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,suleha.com,208.91.196.126,US,UNITED STATES,,com,
Character Omission,suleka.com,54.235.212.68,US,UNITED STATES,mail.suleka.com,com,
Character Omission,sulekh.com,173.248.159.154,US,UNITED STATES,mail.sulekh.com,com,
Character Omission,sulekha.cm,72.52.4.119,US,UNITED STATES,localhost,cm,
Character Omission,sulkha.com,199.191.50.73,,,com,
Character Repeat,ssulekha.com,,?,,com,
Character Repeat,suleekha.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,sulekhaa.com,,?,,com,
Character Repeat,sulekhha.com,,?,,com,
Character Repeat,sulekkha.com,68.178.213.61,NL,NETHERLANDS,,com,
Character Repeat,sullekha.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,suulekha.com,,?,,com,
Character Swap,sluekha.com,,?,,com,
Character Swap,suelkha.com,,?,,com,
Character Swap,sulehka.com,78.41.204.28,NL,NETHERLANDS,,com,
Character Swap,sulekah.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Swap,sulkeha.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,uslekha.com,,?,,com,
Character Replacement,aulekha.com,74.208.236.140,US,UNITED STATES,mx00.1and1.com,com,
Character Replacement,dulekha.com,,?,,com,
Character Replacement,silekha.com,103.224.212.222,,mx92.m1bp.com,com,
Character Replacement,sukekha.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Replacement,sulejha.com,,?,,com,
Character Replacement,sulekga.com,74.208.236.140,US,UNITED STATES,mx00.1and1.com,com,
Character Replacement,sulekhs.com,199.191.50.73,,,com,
Character Replacement,sulekja.com,74.208.236.140,US,UNITED STATES,mx01.1and1.com,com,
Character Replacement,sulelha.com,54.72.11.253,US,UNITED STATES,mail.h-email.net,com,
Character Replacement,sulrkha.com,103.224.182.251,,park-mx.above.com,com,
Character Replacement,sulwkha.com,,?,,com,
Character Replacement,sylekha.com,,?,,com,
Character Insertion,saulekha.com,23.236.62.147,,,com,
Character Insertion,sdulekha.com,,?,,com,
Character Insertion,suilekha.com,,?,,com,
Character Insertion,sulekhas.com,,?,,com,
Character Insertion,sulekhga.com,,?,,com,
Character Insertion,sulekhja.com,,?,,com,
Character Insertion,sulekjha.com,,?,,com,
Character Insertion,suleklha.com,,?,,com,
Character Insertion,sulerkha.com,,?,,com,
Character Insertion,sulewkha.com,,?,,com,
Character Insertion,sulkekha.com,103.224.212.222,,mx92.mb5p.com,com,
Character Insertion,suylekha.com,,?,,com,
Missing Dot,sulekhacom.com,,?,,com,
Missing Dot,wwwsulekha.com,103.224.182.251,,mx92.m1bp.com,com,
Vowel Swap,salekha.com,66.45.246.141,US,UNITED STATES,,com,
Vowel Swap,selekha.com,,?,,com,
Vowel Swap,solekha.com,,?,,com,
Vowel Swap,sulakha.com,141.8.224.169,CH,SWITZERLAND,,com,
Vowel Swap,sulekhe.com,,?,,com,
Vowel Swap,sulekhi.com,78.46.82.143,DE,GERMANY,sulekhi.com,com,
Vowel Swap,sulekho.com,,?,,com,
Vowel Swap,sulekhu.com,,?,,com,
Vowel Swap,sulikha.com,103.224.212.222,,mx92.mb5p.com,com,
Vowel Swap,sulokha.com,,?,,com,
Vowel Swap,sulukha.com,,?,,com,
Bit Flipping,3ulekha.com,,?,,com,
Bit Flipping,culekha.com,,?,,com,
Bit Flipping,qulekha.com,,?,,com,
Bit Flipping,rulekha.com,,?,,com,
Bit Flipping,s5lekha.com,,?,,com,
Bit Flipping,sqlekha.com,,?,,com,
Bit Flipping,stlekha.com,,?,,com,
Bit Flipping,sudekha.com,,?,,com,
Bit Flipping,suhekha.com,,?,,com,
Bit Flipping,suldkha.com,,?,,com,
Bit Flipping,sulecha.com,,?,,com,
Bit Flipping,suleiha.com,,?,,com,
Bit Flipping,sulekhc.com,,?,,com,
Bit Flipping,sulekhq.com,,?,,com,
Bit Flipping,sulekia.com,,?,,com,
Bit Flipping,sulekla.com,,?,,com,
Bit Flipping,sulekxa.com,,?,,com,
Bit Flipping,suleoha.com,,?,,com,
Bit Flipping,sulgkha.com,,?,,com,
Bit Flipping,sulmkha.com,,?,,com,
Bit Flipping,sumekha.com,,?,,com,
Bit Flipping,sunekha.com,,?,,com,
Bit Flipping,swlekha.com,,?,,com,
